Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,87.50,88.40,87.00,87.35,6965000,87.35
2017-03-23,87.10,87.80,86.70,87.05,8795700,87.05
2017-03-22,88.00,88.40,86.55,87.15,8997400,87.15
2017-03-21,89.20,89.20,88.10,88.75,6176000,88.75
2017-03-20,90.90,90.95,89.05,89.25,5646000,89.25
2017-03-17,92.15,92.40,90.35,90.90,8589400,90.90
2017-03-16,92.00,92.90,91.40,91.90,11583800,91.90
2017-03-15,90.60,91.85,90.30,91.10,5493500,91.10
2017-03-14,93.00,93.00,90.50,90.80,6472400,90.80
2017-03-13,90.55,90.55,90.55,90.55,000,90.55
2017-03-10,91.05,91.10,90.00,90.55,4731300,90.55
2017-03-09,90.35,91.35,90.00,90.45,4067300,90.45
2017-03-08,91.80,91.80,89.30,91.10,8249100,91.10
2017-03-07,92.00,93.40,91.00,91.20,21140100,91.20
2017-03-06,88.00,90.90,87.50,90.50,10795600,90.50
2017-03-03,87.65,88.40,86.20,87.35,6648100,87.35
2017-03-02,89.70,90.20,86.95,87.35,7239200,87.35
2017-03-01,91.45,91.85,89.00,89.20,8753900,89.20
2017-02-28,89.50,91.00,88.95,90.65,6712900,90.65
2017-02-27,91.00,91.25,88.65,89.00,10941200,89.00
2017-02-24,90.55,90.55,90.55,90.55,000,90.55
2017-02-23,92.50,92.75,90.20,90.55,12335100,90.55
2017-02-22,95.15,95.85,92.00,92.50,8164200,92.50
2017-02-21,94.80,96.00,94.00,95.10,6703100,95.10
2017-02-20,93.90,94.75,93.20,94.50,4353900,94.50
2017-02-17,94.25,94.90,93.25,93.90,4167800,93.90
2017-02-16,93.50,94.40,92.70,94.25,6246400,94.25
2017-02-15,92.45,94.60,91.30,93.20,15411400,93.20
2017-02-14,91.90,92.80,90.65,92.35,5806000,92.35
2017-02-13,93.35,93.60,91.40,92.10,7004200,92.10
2017-02-10,95.70,95.70,92.40,92.95,12076900,92.95
2017-02-09,96.20,96.75,94.40,95.30,8401400,95.30
2017-02-08,95.30,97.00,93.80,95.35,17150600,95.35
2017-02-07,95.00,95.35,92.90,94.05,9030500,94.05
2017-02-06,94.50,95.95,94.50,95.10,9884400,95.10
2017-02-03,95.00,95.70,93.70,94.50,9703400,94.50
2017-02-02,93.00,95.10,91.55,94.85,16589200,94.85
2017-02-01,91.60,93.10,90.60,92.15,20594000,92.15
2017-01-31,91.75,91.85,89.70,90.75,10318600,90.75
2017-01-30,91.75,93.15,91.30,92.05,10516400,92.05
2017-01-27,86.60,92.75,86.60,92.45,37997500,92.45
2017-01-26,86.55,86.55,86.55,86.55,000,86.55
2017-01-25,89.00,89.35,86.30,86.55,20149800,86.55
2017-01-24,86.35,89.00,86.35,88.70,10324300,88.70
2017-01-23,86.15,86.70,85.40,86.30,4001200,86.30
2017-01-20,86.70,87.40,85.25,85.55,6238300,85.55
2017-01-19,86.90,87.65,86.20,87.05,6301900,87.05
2017-01-18,85.90,87.10,85.05,86.90,7922400,86.90
2017-01-17,86.00,86.85,85.35,85.95,4294600,85.95
2017-01-16,84.10,86.10,84.05,85.60,4419200,85.60
2017-01-13,84.30,85.20,83.35,84.55,6292900,84.55
2017-01-12,85.50,85.60,83.80,84.30,4126400,84.30
2017-01-11,85.00,86.30,84.95,85.60,4205200,85.60
2017-01-10,85.20,85.30,84.20,84.95,3603900,84.95
2017-01-09,85.85,85.85,84.60,84.95,4664400,84.95
2017-01-06,84.20,85.70,83.15,85.30,10508400,85.30
2017-01-05,84.65,84.95,82.80,83.95,10474800,83.95
2017-01-04,81.50,84.55,81.25,83.85,14148200,83.85
2017-01-03,81.40,81.55,80.45,81.05,7610200,81.05
2017-01-02,80.50,81.50,79.15,81.00,12823600,81.00
2016-12-30,79.90,80.90,79.65,80.10,13540300,80.10
2016-12-29,77.25,79.40,77.25,79.00,7832900,79.00
2016-12-28,78.50,78.70,77.80,78.25,5706200,78.25
2016-12-27,76.50,78.40,75.05,78.05,7041000,78.05
2016-12-26,77.80,77.90,76.25,76.50,4475600,76.50
2016-12-23,77.20,78.65,76.15,77.70,7685700,77.70
2016-12-22,77.85,79.80,76.85,77.45,7630100,77.45
2016-12-21,77.50,78.45,77.30,77.55,4725000,77.55
2016-12-20,79.35,79.50,76.55,76.90,7059000,76.90
2016-12-19,77.90,79.90,77.30,78.70,9584500,78.70
2016-12-16,78.25,78.40,77.20,77.65,6095400,77.65
2016-12-15,76.05,78.75,76.05,77.80,4894000,77.80
2016-12-14,78.00,78.30,76.85,77.20,4617500,77.20
2016-12-13,79.80,79.95,77.10,77.90,5793100,77.90
2016-12-12,79.00,80.20,78.55,79.50,9402200,79.50
2016-12-09,78.00,79.95,77.80,79.55,7858700,79.55
2016-12-08,77.30,78.60,77.10,77.90,6327100,77.90
2016-12-07,78.15,78.50,76.15,76.70,7101800,76.70
2016-12-06,77.70,79.00,76.35,78.05,9658200,78.05
2016-12-05,75.55,77.50,74.80,77.20,9434000,77.20
2016-12-02,77.65,78.75,74.30,74.70,17264700,74.70
2016-12-01,80.00,80.10,77.30,77.55,14821600,77.55
2016-11-30,80.10,80.60,79.15,79.50,8910400,79.50
2016-11-29,78.60,81.15,78.25,79.90,10406000,79.90
2016-11-28,77.85,78.50,77.05,78.15,8574000,78.15
2016-11-25,76.40,77.70,75.65,77.00,9725100,77.00
2016-11-24,77.50,77.50,75.40,75.65,18199600,75.65
2016-11-23,76.20,77.75,74.85,77.20,10031800,77.20
