Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,491,495.7,484.85,489.35,5501200,489.35
23-03-2017,487.55,492,483,488.25,6942200,488.25
22-03-2017,485,502.4,484,485.45,12685200,485.45
21-03-2017,498.75,500,486.05,488.3,11017700,488.3
20-03-2017,518,518.25,501.3,502.85,4932900,502.85
17-03-2017,515.3,519,511.7,517.15,20296800,517.15
16-03-2017,513,516.8,511.3,513.65,5362100,513.65
15-03-2017,514.7,515.8,509.05,511.7,6248500,511.7
14-03-2017,524.9,525.65,509.55,510.9,7975700,510.9
13-03-2017,515.9,515.9,515.9,515.9,0,515.9
10-03-2017,519.2,520,513,515.9,5494100,515.9
09-03-2017,509.6,519.55,506.5,516.4,8560000,516.4
08-03-2017,504.6,512.8,500.25,510.15,8850800,510.15
07-03-2017,519,519.9,509.25,511.8,6043500,511.8
06-03-2017,514.7,520.8,512.3,518.65,6994400,518.65
03-03-2017,507.25,515,506.25,512.9,3965200,512.9
02-03-2017,515.1,519.8,503.7,506.3,7112600,506.3
01-03-2017,511,522,510.15,513.4,7624000,513.4
28-02-2017,509.4,512.5,504.6,506.65,5799400,506.65
27-02-2017,527.9,527.9,507.3,508.95,7372100,508.95
24-02-2017,528.15,528.15,528.15,528.15,0,528.15
23-02-2017,525,530,518.05,528.15,10360400,528.15
22-02-2017,508.5,528.05,507.8,525.3,20167300,525.3
21-02-2017,481.9,509.05,481.2,504.35,16440000,504.35
20-02-2017,489.4,490.65,479.65,481.05,5840600,481.05
17-02-2017,501,504,487.4,489.1,12983300,489.1
16-02-2017,487.7,494.35,486.55,493.15,5218900,493.15
15-02-2017,488,493.45,483.8,488.2,6242500,488.2
14-02-2017,490.3,491.45,482.1,486.9,4089000,486.9
13-02-2017,492.7,493.85,486.75,490.3,6626400,490.3
10-02-2017,489.75,492.5,486.2,488.9,10345800,488.9
09-02-2017,491,494.55,482.95,485.25,7938500,485.25
08-02-2017,492.4,492.7,481.85,487.6,9694100,487.6
07-02-2017,498.4,499.7,490.6,493.4,5242300,493.4
06-02-2017,494.75,500.2,492,498.3,8575100,498.3
03-02-2017,483.7,492.5,480.15,490.7,7134500,490.7
02-02-2017,476.25,486,473.35,482.55,7557500,482.55
01-02-2017,467.75,479.9,460,475.65,8340300,475.65
31-01-2017,472,472,464.3,466,10629000,466
30-01-2017,472,476.6,470.85,471.9,4525700,471.9
27-01-2017,465.25,478.85,465.25,472.85,8821100,472.85
26-01-2017,463.55,463.55,463.55,463.55,0,463.55
25-01-2017,452,465.1,452,463.55,14328000,463.55
24-01-2017,447.8,452.55,445.3,451.25,7103900,451.25
23-01-2017,445.25,448.95,441.1,445,16502800,445
20-01-2017,458,461.4,448,450.75,30189700,450.75
19-01-2017,486.7,487.9,479.3,483.8,7688300,483.8
18-01-2017,487.15,491.7,483.25,488.5,8789300,488.5
17-01-2017,477.3,488.2,476.95,487.2,11331100,487.2
16-01-2017,472.5,480.5,468.3,477.25,7430300,477.25
13-01-2017,457,475.2,455.2,472.8,12693500,472.8
12-01-2017,454.2,461.4,452.6,455.2,5106300,455.2
11-01-2017,451.85,457.55,448.2,453.6,5678000,453.6
10-01-2017,455.5,456.05,424.4,447.35,9436100,447.35
09-01-2017,456.9,459.35,451.55,452.75,2690400,452.75
06-01-2017,459.7,461.8,454.05,455.2,4431200,455.2
05-01-2017,454.6,463.9,453.25,458.05,5829300,458.05
04-01-2017,455,460,451.95,453.1,3703800,453.1
03-01-2017,449.6,457.8,443.5,455.25,4621700,455.25
02-01-2017,451.4,452,441.25,447.75,3054300,447.75
30-12-2016,445.5,452.2,445.05,449.95,4616800,449.95
29-12-2016,442,445.9,437.7,444.25,6082500,444.25
28-12-2016,439.7,448.25,438,440.05,5072500,440.05
27-12-2016,431.1,438.9,431.1,437.65,4694600,437.65
26-12-2016,435.1,435.85,427,432,4494200,432
23-12-2016,448,449.35,436,438.1,9018200,438.1
22-12-2016,455.8,455.8,445.05,447.55,6540100,447.55
