Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,1433,1434.45,1422,1424.35,952500,1424.35
23-03-2017,1434.4,1435,1422.9,1430.9,1230600,1430.9
22-03-2017,1427.7,1437,1425.8,1430.9,1409100,1430.9
21-03-2017,1434,1445,1434,1440.95,1389300,1440.95
20-03-2017,1426.65,1439.85,1425.95,1436.1,2035500,1436.1
17-03-2017,1418.55,1427.5,1412.85,1425.85,847600,1425.85
16-03-2017,1418.1,1422.85,1413.65,1417.35,1245000,1417.35
15-03-2017,1410.95,1420,1410.55,1416.6,1067900,1416.6
14-03-2017,1422.1,1424.15,1406.65,1410.7,1788700,1410.7
13-03-2017,1400.1,1400.1,1400.1,1400.1,0,1400.1
10-03-2017,1395,1408,1393.15,1400.1,1465100,1400.1
09-03-2017,1381.65,1398.7,1381.65,1394.2,877300,1394.2
08-03-2017,1387.9,1399.2,1381.05,1392.2,945500,1392.2
07-03-2017,1382.25,1387.5,1376.2,1386.2,778200,1386.2
06-03-2017,1376.8,1389.9,1373.1,1380.75,919700,1380.75
03-03-2017,1384.5,1384.5,1369,1377,623200,1377
02-03-2017,1394.55,1396,1376.25,1380.1,1150400,1380.1
01-03-2017,1396.45,1396.5,1386.4,1391.65,870400,1391.65
28-02-2017,1392.9,1396.25,1384.5,1390.1,732000,1390.1
27-02-2017,1390.9,1398.35,1378.6,1393.6,1170300,1393.6
24-02-2017,1394.3,1394.3,1394.3,1394.3,0,1394.3
23-02-2017,1403.8,1421.35,1387.05,1394.3,8623700,1394.3
22-02-2017,1415,1418.8,1394.85,1399.15,1324100,1399.15
21-02-2017,1406.05,1421.8,1397.4,1415.55,1565000,1415.55
20-02-2017,1361.2,1415.45,1359.15,1409.1,2641600,1409.1
17-02-2017,1445,1454,1360.45,1377.05,100564900,1377.05
16-02-2017,1323,1333,1320.25,1327.9,1260900,1327.9
15-02-2017,1312,1324,1307.45,1322.2,1531700,1322.2
14-02-2017,1314,1314,1304,1311.1,611500,1311.1
13-02-2017,1307.55,1315,1299.2,1310.2,698900,1310.2
10-02-2017,1298.35,1308.75,1298,1303.6,824100,1303.6
09-02-2017,1309.4,1319.9,1292.55,1297.65,1116300,1297.65
08-02-2017,1307.55,1318.7,1298.15,1305.65,1235200,1305.65
