Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,3299.1499,3321,3283.05,3298.1499,70600,3298.1499
23-03-2017,3327,3354.3501,3279.8999,3295.75,94100,3295.75
22-03-2017,3262,3345.75,3262,3325.75,220000,3325.75
21-03-2017,3240,3321,3240,3294.3501,396400,3294.3501
20-03-2017,3252.3999,3264.3501,3240,3251.75,55400,3251.75
17-03-2017,3225,3254.8999,3215,3247.55,88400,3247.55
16-03-2017,3197,3238.2,3196.3501,3225.05,112600,3225.05
15-03-2017,3180.05,3200,3135.5,3190.25,112100,3190.25
14-03-2017,3153.8,3190.55,3136.45,3176.75,133600,3176.75
13-03-2017,3122.5,3122.5,3122.5,3122.5,0,3122.5
10-03-2017,3085.1001,3131,3077,3122.5,137400,3122.5
09-03-2017,3086,3099.8999,3063,3078.6001,112200,3078.6001
08-03-2017,3065,3108,3045.3,3085.3999,263400,3085.3999
07-03-2017,3105,3105,3055.2,3059.1499,183600,3059.1499
06-03-2017,3112,3116.45,3059.3999,3086,159500,3086
03-03-2017,3123,3145.7,3066.45,3096.75,233000,3096.75
02-03-2017,3200,3217.5,3102.7,3114.1499,190900,3114.1499
01-03-2017,3232,3259.95,3175,3181,101900,3181
28-02-2017,3255.1001,3259,3212.3,3229.3999,95900,3229.3999
27-02-2017,3231,3268.8999,3218.8501,3259.1001,130500,3259.1001
24-02-2017,3227,3227,3227,3227,0,3227
23-02-2017,3242.05,3278.95,3213.55,3227,210400,3227
22-02-2017,3242,3264,3226.8501,3238.7,115200,3238.7
21-02-2017,3266.7,3275.5,3215.2,3239.05,98000,3239.05
20-02-2017,3262,3267.25,3236.05,3256.8999,57100,3256.8999
17-02-2017,3239.1001,3254.8,3205.55,3247.75,157400,3247.75
16-02-2017,3190,3238.3999,3182.75,3230.75,79900,3230.75
15-02-2017,3233,3243,3171,3194.3501,136300,3194.3501
14-02-2017,3280,3280,3210.2,3224.45,188400,3224.45
13-02-2017,3245,3296,3222.1001,3271.7,201900,3271.7
10-02-2017,3231,3270,3223.25,3239.3501,211100,3239.3501
09-02-2017,3228.3,3254.6499,3205.3,3225.95,112700,3225.95
08-02-2017,3230.8501,3266.2,3192.05,3233,129000,3233
07-02-2017,3290,3290,3210,3230.6001,113800,3230.6001
06-02-2017,3230.8501,3294.3999,3230.8501,3285,134100,3285
03-02-2017,3223.1001,3273.8501,3210,3230.8501,135600,3230.8501
02-02-2017,3240,3254.6499,3189.7,3231,230800,3231
01-02-2017,3133.7,3249.8,3112.75,3234.75,211200,3234.75
31-01-2017,3150,3150,3109,3130.45,154900,3130.45
30-01-2017,3128,3151.3999,3100.2,3145.7,130200,3145.7
27-01-2017,3134,3162,3091,3102.95,134700,3102.95
26-01-2017,3134.8999,3134.8999,3134.8999,3134.8999,0,3134.8999
25-01-2017,3125,3148,3098,3134.8999,95000,3134.8999
24-01-2017,3096.3,3150.5,3081.6499,3148.3501,151800,3148.3501
23-01-2017,3065.2,3115,3065.2,3093.1001,72000,3093.1001
20-01-2017,3117.8999,3135.1001,3064.1001,3078.3,112900,3078.3
19-01-2017,3091,3155,3066.75,3107.95,257500,3107.95
18-01-2017,3018,3098.7,3014.8999,3091.55,269600,3091.55
17-01-2017,2968.7,3020.2,2955.1001,3013.55,164700,3013.55
16-01-2017,2935,2979.8,2923,2965.75,106500,2965.75
13-01-2017,2969,2985,2925,2940,104300,2940
12-01-2017,2984.95,2994.95,2918.3999,2947.8,130000,2947.8
11-01-2017,2885,2985,2885,2970.1001,345800,2970.1001
10-01-2017,2899,2903,2875.95,2880.8,273000,2880.8
09-01-2017,2920,2922.3,2875.55,2897.8999,172100,2897.8999
06-01-2017,2865,2915,2845.8,2894.95,397700,2894.95
05-01-2017,2862,2875,2852.6001,2865.8,116300,2865.8
