Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,282.85001,284,280.29999,281.29999,699600,281.29999
23-03-2017,285.10001,286.39999,280.60001,281.35001,1601600,281.35001
22-03-2017,279.89999,285.5,279.75,284.04999,1796500,284.04999
21-03-2017,280.85001,283,279.54999,282.14999,1177100,282.14999
20-03-2017,280,283,277.79999,278.89999,2854300,278.89999
17-03-2017,275.29999,281,274.20001,278.10001,4253800,278.10001
16-03-2017,274.20001,275.60001,271.20001,274.89999,3142700,274.89999
15-03-2017,274.5,277.20001,271.25,273.85001,2610200,273.85001
14-03-2017,275.39999,277.89999,271.85001,273.60001,2533200,273.60001
13-03-2017,273.39999,273.39999,273.39999,273.39999,0,273.39999
10-03-2017,275.35001,276.95001,272.79999,273.39999,1229400,273.39999
09-03-2017,274.95001,276.14999,272.79999,274.95001,1053300,274.95001
08-03-2017,277,277,274.10001,274.95001,1164200,274.95001
07-03-2017,278.20001,279.25,275.14999,276.04999,1057600,276.04999
06-03-2017,277.5,279.29999,275,277.85001,902300,277.85001
03-03-2017,276.04999,278.85001,273.29999,277.25,1767900,277.25
02-03-2017,276.14999,278.95001,274.64999,276.54999,1160400,276.54999
01-03-2017,277.89999,278.75,274.35001,276.14999,1500900,276.14999
28-02-2017,274.79999,277.25,273.39999,276.89999,1541900,276.89999
27-02-2017,270,275.60001,270,272.70001,2053100,272.70001
24-02-2017,269.54999,269.54999,269.54999,269.54999,0,269.54999
23-02-2017,270.5,272.70001,268.75,269.54999,2750400,269.54999
22-02-2017,273.75,274.79999,269.39999,270.70001,1362600,270.70001
21-02-2017,265.04999,273.75,265,273,1902400,273
20-02-2017,266,266.25,264.10001,264.54999,538800,264.54999
17-02-2017,266.25,267.39999,264.10001,265.85001,477700,265.85001
16-02-2017,265.10001,266.45001,264.10001,266,613700,266
15-02-2017,269,269.79999,264.20001,265.10001,1179600,265.10001
14-02-2017,270,271.39999,268.10001,269.35001,1046000,269.35001
13-02-2017,265.04999,270.54999,263.64999,269.20001,1004100,269.20001
10-02-2017,266.5,267,263.60001,264.60001,868800,264.60001
09-02-2017,267,267.60001,264.10001,265.75,732600,265.75
08-02-2017,267,267.89999,264.39999,265.95001,975000,265.95001
07-02-2017,270,270.20001,266.20001,266.89999,1053800,266.89999
06-02-2017,269.89999,271.75,268.20001,270.04999,883600,270.04999
03-02-2017,275.39999,275.70001,267.75,268.20001,2088800,268.20001
02-02-2017,278.70001,278.70001,271.5,273.85001,1527300,273.85001
01-02-2017,277.75,278,274.29999,277.35001,1822800,277.35001
31-01-2017,280.20001,281,273.60001,276,1578400,276
30-01-2017,277,281,275.10001,280.20001,436900,280.20001
27-01-2017,283,284,276.10001,277.10001,998600,277.10001
26-01-2017,281.25,281.25,281.25,281.25,0,281.25
25-01-2017,277.54999,284,275.60001,281.25,1898200,281.25
24-01-2017,277,278.39999,275.25,277.29999,1147100,277.29999
23-01-2017,275.25,277.29999,274.20001,276.85001,552200,276.85001
20-01-2017,276.89999,278,274,275.89999,773700,275.89999
19-01-2017,279,280.10001,275.60001,276.89999,1091000,276.89999
18-01-2017,278.95001,282,277.95001,278.60001,679000,278.60001
17-01-2017,279.20001,282.95001,274.95001,277.89999,816800,277.89999
16-01-2017,281.10001,282.10001,277.04999,277.5,406300,277.5
13-01-2017,279.20001,282.60001,279.20001,281.64999,477400,281.64999
12-01-2017,278.5,284,278,278.85001,1149900,278.85001
11-01-2017,278.79999,280,277,278.5,1122700,278.5
10-01-2017,274,278.70001,274,277.64999,1585500,277.64999
09-01-2017,276.29999,278.39999,273,273.60001,739900,273.60001
06-01-2017,279.25,280.5,275.5,276.60001,782100,276.60001
05-01-2017,278.14999,279.95001,276.95001,278.85001,508900,278.85001
04-01-2017,275.10001,278.20001,272.89999,276.54999,2110300,276.54999
03-01-2017,277.5,278,274.39999,275.5,450100,275.5
02-01-2017,278,278.39999,274.39999,277.14999,265500,277.14999
30-12-2016,274,279.70001,273.54999,278.14999,469700,278.14999
29-12-2016,274,275.89999,272.54999,274.39999,1210800,274.39999
28-12-2016,271,275.60001,269.89999,274.10001,887100,274.10001
27-12-2016,260.29999,271,260.29999,270.5,482100,270.5
26-12-2016,260.75,264.10001,259.14999,259.95001,434000,259.95001
23-12-2016,265,266.20001,261.5,262.04999,752500,262.04999
22-12-2016,271.89999,272.20001,265,265.5,834900,265.5
21-12-2016,276,276.35001,270.89999,271.45001,643900,271.45001
