TICKER,Pass Score,Fail Score,Ratio
GESHIP,17,1,17
ALLCARGO,16,1,16
LYCOS,16,1,16
PAGEIND,16,1,16
SFL,16,1,16
SRIPIPES,15,1,15
TANLA,15,1,15
TRITURBINE,15,1,15
AJANTPHARM,14,1,14
EIHAHOTELS,14,1,14
AMRUTANJAN,13,1,13
KANSAINER,13,1,13
ALLSEC,9,1,9
PDMJEPAPER,9,1,9
SANDESH,16,2,8
WELSPUNIND,16,2,8
AKSHOPTFBR,15,2,7.5
BFUTILITIE,15,2,7.5
EMMBI,15,2,7.5
ARROWGREEN,14,2,7
ASIANPAINT,14,2,7
JOCIL,14,2,7
MENONBE,14,2,7
NCLIND,14,2,7
RBL,14,2,7
CADILAHC,13,2,6.5
HONDAPOWER,13,2,6.5
INDTERRAIN,13,2,6.5
LTTS,13,2,6.5
MARICO,13,2,6.5
RAIREKMOH,13,2,6.5
SPAL,13,2,6.5
SRHHYPOLTD,13,2,6.5
TIMETECHNO,13,2,6.5
TVSELECT,13,2,6.5
ADANITRANS,6,1,6
ALKYLAMINE,12,2,6
GIPCL,6,1,6
JYOTHYLAB,12,2,6
MELSTAR,12,2,6
MOREPENLAB,12,2,6
ORIENTREF,12,2,6
TECHNOFAB,12,2,6
BANG,10,2,5
ORIENTLTD,15,3,5
RAJESHEXPO,15,3,5
AMARAJABAT,14,3,4.6666666667
ARROWTEX,14,3,4.6666666667
AUTOAXLES,14,3,4.6666666667
CANTABIL,14,3,4.6666666667
FIEMIND,14,3,4.6666666667
GALLANTT,14,3,4.6666666667
ICIL,14,3,4.6666666667
INFINITE,14,3,4.6666666667
JINDWORLD,14,3,4.6666666667
KSL,14,3,4.6666666667
OCL,14,3,4.6666666667
STERTOOLS,14,3,4.6666666667
TVTODAY,14,3,4.6666666667
VINDHYATEL,14,3,4.6666666667
AJMERA,13,3,4.3333333333
BLS,13,3,4.3333333333
GARWALLROP,13,3,4.3333333333
HITECHGEAR,13,3,4.3333333333
JAYBARMARU,13,3,4.3333333333
LAOPALA,13,3,4.3333333333
LGBBROSLTD,13,3,4.3333333333
LOVABLE,13,3,4.3333333333
MAITHANALL,13,3,4.3333333333
MANGALAM,13,3,4.3333333333
NCC,13,3,4.3333333333
NILKAMAL,13,3,4.3333333333
PIDILITIND,13,3,4.3333333333
POKARNA,13,3,4.3333333333
RJL,13,3,4.3333333333
RMCL,13,3,4.3333333333
SRF,13,3,4.3333333333
SURYAROSNI,13,3,4.3333333333
TCS,13,3,4.3333333333
TMRVL,13,3,4.3333333333
ZEEL,13,3,4.3333333333
ADANIPORTS,12,3,4
ADVENZYMES,12,3,4
ASTRAL,12,3,4
BLISSGVS,12,3,4
BRFL,12,3,4
GALLISPAT,12,3,4
GRINDWELL,12,3,4
GULFOILLUB,12,3,4
HEROMOTOCO,12,3,4
