Revenue,6/30/2016
Total Revenue,14971000
Cost of Revenue,12251000
Gross Profit,2720000
Operating Expenses
Research Development,-
Selling General and Administrative,-
Non Recurring,-
Others,-
Total Operating Expenses,13252000
Operating Income or Loss,1719000
Income from Continuing Operations
Total Other Income/Expenses Net,-
Earnings Before Interest and Taxes,1719000
Interest Expense,-
Income Before Tax,-
Income Tax Expense,266000
Minority Interest,-
Net Income From Continuing Ops,-
Non-recurring Events
Discontinued Operations,-
Extraordinary Items,-
Effect Of Accounting Changes,-
Other Items,-
Net Income
Net Income,494000
Preferred Stock And Other Adjustments,-
Net Income Applicable To Common Shares,-
