Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,28.02,28.309999,27.82,28.17,4258400,28.17
23-03-2017,28.4,28.959999,28.200001,28.27,5434500,28.27
22-03-2017,28.389999,28.440001,27.83,28.370001,6532500,28.370001
21-03-2017,29.33,29.4,27.84,28.42,11558200,28.42
20-03-2017,30.59,30.59,29.309999,29.370001,7840400,29.370001
17-03-2017,30.559999,30.68,30.219999,30.540001,11769100,30.540001
16-03-2017,30,30.58,29.75,30.41,6385600,30.41
15-03-2017,30.780001,30.780001,29.889999,30.32,8595600,30.32
14-03-2017,31.07,31.75,30.5,30.950001,4737100,30.950001
13-03-2017,31.32,31.440001,30.799999,30.9,6127400,30.9
10-03-2017,31.76,31.969999,31.469999,31.73,3914600,31.352
09-03-2017,31.809999,31.870001,31.34,31.530001,4471700,31.154384
08-03-2017,30.84,32.16,30.74,31.77,7859800,31.391524
07-03-2017,30.76,31.02,30.559999,30.809999,6092000,30.44296
06-03-2017,31.32,31.35,30.209999,30.690001,10976100,30.324391
03-03-2017,32.939999,33.169998,31.18,31.77,13194700,31.391524
02-03-2017,33.130001,33.32,32.959999,33.220001,4489400,32.824251
01-03-2017,33.48,33.669998,32.880001,32.950001,6063300,32.557467
28-02-2017,33.150002,33.240002,32.66,33.220001,10276400,32.824251
27-02-2017,33.150002,33.73,33.110001,33.57,6298900,33.17008
24-02-2017,32.48,33.560001,32.27,33.169998,8149200,32.774844
23-02-2017,32.48,33.09,32.27,32.439999,8962200,32.053541
22-02-2017,32.299999,32.84,32.110001,32.360001,9381600,31.974496
21-02-2017,33.09,33.490002,32.130001,32.290001,16118500,31.90533
17-02-2017,31.959999,32.310001,31.860001,32.299999,8197200,31.915209
16-02-2017,32.700001,32.869999,31.719999,31.82,8813700,31.440928
15-02-2017,32.889999,33.02,32.41,32.740002,7325000,32.34997
14-02-2017,32.610001,32.990002,32.5,32.68,7542200,32.290683
13-02-2017,33.07,33.23,32.43,32.580002,14055000,32.191876
10-02-2017,32.439999,32.880001,31.549999,31.99,7894900,31.608903
09-02-2017,31.98,32.650002,31.639999,32.369999,7609600,31.984375
08-02-2017,31.049999,31.98,30.809999,31.98,6918200,31.599022
07-02-2017,31.74,32.150002,31.02,31.200001,10415500,30.828315
