Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,509.45001,514,509.45001,513.25,1511600,513.25
23-03-2017,503,512,500.89999,510,2798000,510
22-03-2017,493.5,503.39999,492,500.54999,1991200,500.54999
21-03-2017,493.10001,502,493.10001,498.64999,1115800,498.64999
20-03-2017,504,504.25,495.20001,497.5,703400,497.5
17-03-2017,504,507,498.95001,504.25,1664200,504.25
16-03-2017,497.29999,502.89999,495,500.54999,1659100,500.54999
15-03-2017,505.70001,505.89999,492.39999,494.79999,1801400,494.79999
14-03-2017,490,504.60001,489.39999,501.35001,1228700,501.35001
13-03-2017,487.04999,487.04999,487.04999,487.04999,0,487.04999
10-03-2017,485.10001,488.95001,483.60001,487.04999,546400,487.04999
09-03-2017,493,493,483.35001,484.5,704800,484.5
08-03-2017,494.64999,496.20001,489.29999,495.10001,574600,495.10001
07-03-2017,493.5,499.60001,491.89999,495.14999,1650200,495.14999
06-03-2017,491.29999,492.64999,488.60001,491.89999,589300,491.89999
03-03-2017,490.79999,495.64999,487.20001,493.85001,740100,493.85001
02-03-2017,494,495.45001,488.10001,490.20001,1016800,490.20001
01-03-2017,488,495.14999,485.79999,488.54999,1017400,488.54999
28-02-2017,490,492.20001,487.04999,488.79999,1012700,488.79999
27-02-2017,480,492.60001,479.64999,489.75,1411500,489.75
24-02-2017,486.10001,486.10001,486.10001,486.10001,0,486.10001
23-02-2017,474.5,489.25,471.54999,486.10001,1630100,486.10001
22-02-2017,475.10001,477.54999,470.20001,474.5,1042200,474.5
21-02-2017,475,480.75,474.14999,475.79999,1280500,475.79999
20-02-2017,475,477.39999,473.04999,475.64999,572700,475.64999
17-02-2017,482,483.64999,474.04999,475.35001,789500,475.35001
16-02-2017,473,481.89999,473,480.79999,1062500,480.79999
15-02-2017,476.54999,479.29999,468.60001,474.70001,1057500,474.70001
14-02-2017,477.14999,477.70001,472.20001,476.70001,866000,476.70001
13-02-2017,468,476,467.25,474.45001,848100,474.45001
10-02-2017,467.35001,472.20001,464.39999,469.25,767500,469.25
09-02-2017,458.29999,466.85001,457.35001,466,988900,466
08-02-2017,458.35001,465.14999,457.10001,460.5,1313900,460.5
07-02-2017,462,462,455.54999,458.54999,836200,458.54999
06-02-2017,458.64999,462.79999,454.5,461.10001,1237400,461.10001
03-02-2017,456,459.60001,454.10001,457.75,877900,457.75
02-02-2017,456,457.95001,446.10001,455.64999,1532200,455.64999
