Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,1190.45,1204.95,1182.35,1198.8,58000,1190.813
23-03-2017,1203.9,1203.9,1188.1,1190.3,15400,1182.37
22-03-2017,1196.5,1210.95,1185,1190.25,33400,1182.32
21-03-2017,1218.2,1221,1192.05,1196.7,21900,1188.727
20-03-2017,1220.1,1222.9,1208,1216,31700,1207.899
17-03-2017,1214,1225,1202,1214.6,59300,1206.508
16-03-2017,1215,1223.85,1201.1,1205.35,26200,1197.32
15-03-2017,1195,1228.8,1195,1210.35,103800,1202.286
14-03-2017,1214.9,1223.9,1186.8,1197.5,100100,1189.522
13-03-2017,1193.9,1193.9,1193.9,1193.9,0,1185.946
10-03-2017,1212.6,1212.6,1190,1193.9,10900,1185.946
09-03-2017,1202.6,1213.95,1193.05,1197.5,11400,1189.522
08-03-2017,1203.8,1225,1186,1202.6,62200,1194.588
07-03-2017,1208,1225,1201,1204,28300,1195.979
06-03-2017,1230,1237.95,1192.55,1200.4,26700,1192.403
03-03-2017,1211.85,1235,1210,1228.4,24300,1220.216
02-03-2017,1243,1244,1207.1,1211.85,42200,1203.776
01-03-2017,1199,1242.25,1186.6,1235.85,132400,1227.617
28-02-2017,1203.1,1218,1190.55,1198.2,32400,1190.217
27-02-2017,1195,1209.8,1175,1195.7,50100,1187.734
24-02-2017,1194.95,1194.95,1194.95,1194.95,0,1186.989
23-02-2017,1198.5,1210.9,1190.05,1194.95,33300,1186.989
22-02-2017,1223,1228.8,1195.55,1209.65,30600,1201.591
21-02-2017,1234.7,1235,1215,1225.85,16400,1217.683
20-02-2017,1239.4,1239.4,1223.1,1229.65,31500,1221.458
17-02-2017,1235,1239.5,1221.5,1231.8,64600,1223.594
16-02-2017,1176,1236,1171,1227.3,181300,1219.124
15-02-2017,1198,1198.1,1165.05,1170.4,41200,1162.603
14-02-2017,1224,1226,1186.25,1193.6,41500,1185.648
13-02-2017,1260,1260,1212,1220.55,60900,1212.419
10-02-2017,1230,1265,1225,1258,183000,1249.619
09-02-2017,1210,1230,1181.25,1225.6,353600,1217.435
08-02-2017,1186,1212,1185,1207.65,185400,1199.604
07-02-2017,1128,1194.95,1120.05,1183.15,377500,1175.268
06-02-2017,1108,1141.9,1108,1125.15,100300,1117.654
03-02-2017,1118.95,1118.95,1105,1106.55,20500,1099.178
02-02-2017,1119.5,1129.9,1098,1107.3,76600,1099.923
01-02-2017,1095,1123.95,1092.6,1108.55,41400,1101.165
31-01-2017,1112.8,1115,1091.3,1095.8,45600,1088.5
30-01-2017,1116.9,1122,1092,1103,32000,1095.652
27-01-2017,1117.6,1123.9,1107,1110.65,33700,1103.251
26-01-2017,1105.8,1105.8,1105.8,1105.8,0,1098.433
25-01-2017,1124.9,1127.9,1046.45,1105.8,63400,1098.433
24-01-2017,1117.1,1128.2,1113.2,1116.05,54600,1108.615
23-01-2017,1148.7,1148.7,1112.5,1117.7,28900,1110.254
20-01-2017,1148,1148,1123,1131.85,29200,1124.309
19-01-2017,1147,1160,1131,1149.55,69600,1141.892
18-01-2017,1110.9,1149,1105.3,1147.15,140300,1139.507
17-01-2017,1119,1132.95,1105,1111.55,36000,1104.145
16-01-2017,1134,1140,1120,1126.2,42000,1118.697
13-01-2017,1128,1144.95,1110,1132.5,65400,1124.955
12-01-2017,1133,1149.5,1103.4,1125.3,133100,1117.803
11-01-2017,1161,1169.4,1123.1,1132.5,380100,1124.955
10-01-2017,1039,1199,1029.15,1175.5,1148000,1167.669
09-01-2017,1054,1054,1034.5,1036.8,17800,1029.893
06-01-2017,1044.95,1049,1033.5,1044.35,26300,1037.392
05-01-2017,1049.7,1054.8,1031.2,1035.75,35700,1028.85
04-01-2017,1054,1054,1037,1038.65,14200,1031.73
03-01-2017,1040.2,1055,1037.05,1045.35,24200,1038.386
02-01-2017,1056.8,1056.8,1035,1036.9,13900,1029.992
30-12-2016,1032.05,1050,1030.1,1043.75,9800,1036.796
29-12-2016,1042.8,1042.8,1022,1028.05,19000,1021.201
28-12-2016,1046,1046,1026,1031.75,11900,1024.876
27-12-2016,1034.05,1045,1020,1034.6,9800,1027.707
26-12-2016,1028,1039,1017.55,1031.85,19000,1024.976
23-12-2016,1038,1040,1021,1026.4,7400,1019.562
22-12-2016,1043.2,1045.95,1026.05,1029.85,9800,1022.989
21-12-2016,1050.05,1055.95,1040.5,1043.2,5700,1036.25
20-12-2016,1059.95,1060,1043,1051.95,9500,1044.942
19-12-2016,1067,1067,1046.2,1051.45,9200,1044.445
16-12-2016,1050.55,1080,1043.25,1065.6,24200,1058.501
15-12-2016,1054.7,1054.7,1042.6,1050.65,8600,1043.65
14-12-2016,1055.05,1055.05,1042.6,1047.6,4500,1040.621
13-12-2016,1049.25,1052,1046,1050.2,7000,1043.203
12-12-2016,1047,1054.45,1026.65,1049.25,8100,1042.26
09-12-2016,1051.9,1056.95,1047,1049.85,18500,1042.856
08-12-2016,1045,1059.7,1045,1052.1,12500,1045.091
07-12-2016,1049.3,1051.95,1037,1042.75,14800,1035.803
06-12-2016,1059.75,1059.8,1042,1049.25,10300,1042.26
05-12-2016,1041.15,1053.45,1038.5,1042.8,104200,1035.853
02-12-2016,1059.95,1059.95,1045.1,1049.7,18500,1042.707
01-12-2016,1059.85,1061.1,1049.7,1052.5,25300,1045.488
30-11-2016,1055.05,1063,1051,1061.1,21100,1054.031
29-11-2016,1060.3,1069,1049.6,1051.5,32600,1044.495
28-11-2016,1065,1069,1058,1060.2,31800,1053.137
25-11-2016,1055,1065.95,1054.3,1060.5,15700,1053.435
24-11-2016,1060.05,1067,1051,1055.7,13500,1048.667
23-11-2016,1069.35,1078.95,1057,1064.9,19000,1057.805
22-11-2016,1047.5,1082.05,1040.2,1069.35,16600,1062.226
21-11-2016,1048.5,1056,1036.05,1049.6,19100,1042.607
18-11-2016,1063.9,1063.95,1043.95,1053.2,19600,1046.183
17-11-2016,1060,1083.6,1041.15,1053.1,24600,1046.084
16-11-2016,1085,1095,1042,1054.25,51800,1047.226
15-11-2016,1073,1082.45,1036.6,1071.55,26300,1064.411
14-11-2016,1070.9,1070.9,1070.9,1070.9,0,1063.765
11-11-2016,1060,1084,1046.25,1070.9,59400,1063.765
10-11-2016,1088,1088,1036.6,1062.2,126200,1055.123
09-11-2016,1049,1068.9,931.35,1051.65,91000,1044.644
08-11-2016,1106.8,1106.8,1067.25,1088.35,45000,1081.099
07-11-2016,1096,1123.7,1087.55,1100.2,42000,1092.87
04-11-2016,1090,1091,1044,1088.5,35600,1081.248
03-11-2016,1088,1095.95,1072,1085.9,31400,1078.666
02-11-2016,1090.1,1095,1071.05,1089.4,30200,1082.142
01-11-2016,1108.7,1111.1,1079,1098.1,52200,1090.784
31-10-2016,1089.1,1089.1,1089.1,1089.1,0,1081.844
28-10-2016,1061,1094,1050.1,1089.1,77300,1081.844
27-10-2016,1054.95,1085,1031.5,1066.2,251500,1059.097
26-10-2016,1085,1096.55,1050,1055.5,81900,1048.468
25-10-2016,1095,1110,1076,1080.6,46500,1073.401
24-10-2016,1125.8,1134.95,1089.2,1092.1,71500,1084.824
21-10-2016,1135,1140.45,1118,1124.2,38000,1116.71
20-10-2016,1148,1154,1125.1,1129.65,34700,1122.124
19-10-2016,1152,1155.6,1135.45,1148.05,90600,1140.402
18-10-2016,1156.55,1164.9,1137.35,1142.25,79000,1134.64
17-10-2016,1155,1158.75,1141.6,1154.15,37000,1146.461
14-10-2016,1160,1166.8,1150,1155.4,31000,1147.703
13-10-2016,1155,1171,1134.35,1160.8,70400,1153.067
12-10-2016,1149.6,1149.6,1149.6,1149.6,0,1141.941
11-10-2016,1149.6,1149.6,1149.6,1149.6,0,1141.941
10-10-2016,1154.9,1158.5,1147,1149.6,53300,1141.941
07-10-2016,1170,1170,1137.05,1147.5,30100,1139.855
06-10-2016,1171.35,1180,1162,1170.25,78400,1162.454
05-10-2016,1180.8,1187.95,1149,1171.35,63800,1163.546
04-10-2016,1169,1182,1158.25,1172.4,21800,1164.589
03-10-2016,1150,1174.5,1137.05,1169.7,24500,1161.907
30-09-2016,1124.95,1156.5,1107,1141.9,18100,1134.292
29-09-2016,1156.95,1167.95,1107,1123.2,30000,1115.717
28-09-2016,1152,1164.8,1146.5,1156.95,49100,1149.242
27-09-2016,1147.5,1171.5,1143,1151.7,42100,1144.027
26-09-2016,1159.8,1159.8,1131,1141.55,12400,1133.945
23-09-2016,1158.1,1163.5,1150,1151.8,8900,1144.127
22-09-2016,1170,1170,1152.65,1158,24200,1150.285
21-09-2016,1160,1173,1147.25,1150.6,36200,1142.934
20-09-2016,1164.9,1167.55,1156,1157.8,14400,1150.087
19-09-2016,1170,1180,1150.3,1158.7,31600,1150.98
16-09-2016,1185,1190,1157.35,1170.95,52400,1163.149
15-09-2016,1175.95,1181.05,1153.3,1178.1,39600,1170.251
14-09-2016,1149.1,1174.4,1149.1,1169.3,25800,1161.51
13-09-2016,1170.45,1170.45,1170.45,1170.45,0,1162.652
12-09-2016,1185,1185,1150,1170.45,51100,1162.652
09-09-2016,1185,1194,1175.1,1185.9,27500,1177.999
08-09-2016,1180,1199.85,1170.15,1185.25,110100,1177.354
07-09-2016,1175,1199,1168,1180,103700,1172.139
06-09-2016,1155,1175.55,1150,1167.85,74600,1160.07
05-09-2016,1147,1147,1147,1147,0,1139.358
02-09-2016,1161.9,1164,1145,1147,18100,1139.358
01-09-2016,1159.9,1169,1153.15,1157.15,37800,1149.441
31-08-2016,1154.7,1170.4,1154,1158.45,32500,1150.732
30-08-2016,1150,1167,1149.9,1154.7,26200,1147.007
29-08-2016,1149,1160.95,1144,1149.1,14200,1141.444
26-08-2016,1158,1169.9,1144.25,1148.2,19800,1140.55
25-08-2016,1169.9,1179.9,1151,1158.3,25100,1150.583
24-08-2016,1157.45,1169,1151.1,1160.15,24700,1152.421
23-08-2016,1166.5,1166.5,1148,1150.9,25900,1143.233
22-08-2016,1168.8,1168.8,1141.15,1153.25,19000,1145.567
19-08-2016,1167,1180,1158,1161,35200,1153.265
18-08-2016,1179,1189.5,1165.1,1167.95,25400,1160.169
17-08-2016,1174.45,1194,1161,1171.9,32000,1164.093
16-08-2016,1194,1197.95,1167.2,1169.8,29500,1162.007
15-08-2016,1193.7,1193.7,1193.7,1193.7,0,1185.747
12-08-2016,1194.4,1207,1186.15,1193.7,14200,1185.747
11-08-2016,1181.1,1202.7,1168,1194.4,21300,1186.443
10-08-2016,1212.75,1221.3,1171.1,1180.2,69200,1172.337
09-08-2016,1213,1225.5,1201.1,1203.7,43000,1195.681
08-08-2016,1219,1231.75,1210,1213.8,34000,1205.713
05-08-2016,1212,1234.5,1201.1,1219.45,62100,1211.326
04-08-2016,1206,1220,1200.05,1209.2,29600,1201.144
03-08-2016,1245,1245,1194,1200.2,45800,1192.204
02-08-2016,1255.25,1262.95,1225,1233.8,40700,1225.58
01-08-2016,1275,1280.05,1250,1254.2,26100,1245.844
29-07-2016,1268,1284,1261.05,1264.7,49400,1256.274
28-07-2016,1285.2,1301,1254,1262.7,32000,1254.288
27-07-2016,1299.75,1302.95,1278.65,1284.15,83800,1275.595
26-07-2016,1309.4,1309.4,1278.8,1287.1,61700,1278.525
25-07-2016,1301.2,1317,1285,1299.35,86800,1290.693
22-07-2016,1292.5,1311.9,1280.8,1287.75,138100,1279.171
21-07-2016,1299,1324,1265,1273.8,347100,1265.314
20-07-2016,1296.25,1313.5,1287.1,1301.4,145200,1292.73
19-07-2016,1271,1305,1271,1294.85,115900,1286.223
18-07-2016,1274.9,1292,1246.75,1271.8,62900,1263.327
15-07-2016,1263,1299.8,1260.25,1271.15,67100,1262.681
14-07-2016,1262.2,1268,1252,1258.95,19500,1250.563
13-07-2016,1277.05,1277.05,1256.05,1262.2,19800,1253.791
12-07-2016,1279.65,1285,1261,1277.75,65400,1269.237
11-07-2016,1273,1288,1268,1279.65,113100,1271.125
08-07-2016,1217.1,1264.9,1204,1256.8,120600,1248.427
07-07-2016,1212.5,1231.5,1206,1217.15,42200,1209.041
06-07-2016,1206.25,1206.25,1206.25,1206.25,0,1198.214
05-07-2016,1217,1228,1205,1206.25,29100,1198.214
04-07-2016,1222.55,1233.4,1214.1,1215.3,33500,1207.203
01-07-2016,1230,1240,1215.55,1222.5,38800,1214.355
30-06-2016,1215,1235,1214.6,1223.95,58500,1215.796
29-06-2016,1210,1221,1205,1210.95,25900,1202.882
28-06-2016,1227.5,1227.5,1187.05,1198.35,91100,1190.366
27-06-2016,1212,1226.15,1208.1,1213,22300,1204.919
24-06-2016,1220,1220,1178.9,1212.35,93600,1204.273
23-06-2016,1239,1239,1225,1230.8,15700,1222.6
22-06-2016,1237,1244,1222,1231.4,25100,1223.196
21-06-2016,1225.05,1244.45,1217.1,1237.15,26000,1228.908
20-06-2016,1227,1235.4,1219,1221.5,27000,1213.362
17-06-2016,1240,1254.5,1230.75,1238.85,65700,1230.597
16-06-2016,1241.5,1241.5,1215.1,1231.9,72100,1223.693
15-06-2016,1218,1243.5,1218,1239.1,60600,1230.845
14-06-2016,1219,1221.9,1211,1218.05,22100,1209.935
13-06-2016,1207,1219,1197,1211.65,37600,1203.578
10-06-2016,1211,1229,1203.5,1207.8,58600,1199.753
09-06-2016,1233,1249.8,1202.95,1210.55,97900,1202.485
08-06-2016,1212,1245,1195,1233.7,218900,1225.481
07-06-2016,1219,1223,1205.1,1210.7,27300,1202.634
06-06-2016,1218,1221,1210.15,1214.8,25700,1206.707
03-06-2016,1219.05,1234,1205,1212.8,54400,1204.72
02-06-2016,1239,1239,1208,1218.25,28700,1210.134
01-06-2016,1240,1246.15,1218.95,1234.35,42600,1226.127
31-05-2016,1215,1243,1212.1,1237,40200,1228.759
30-05-2016,1259.3,1259.3,1208,1212.75,88700,1204.67
27-05-2016,1241.8,1273.85,1234.4,1253.95,51100,1245.596
26-05-2016,1220.1,1249,1220.1,1243.3,47200,1235.017
25-05-2016,1195,1229.75,1192.6,1217.15,75200,1209.041
24-05-2016,1220.25,1228.5,1185.4,1190.65,30100,1182.718
23-05-2016,1218.45,1230,1201.65,1219.6,41100,1211.475
20-05-2016,1241,1260,1200.05,1209,17900,1200.945
19-05-2016,1257.9,1268,1237.85,1241.35,14400,1233.08
18-05-2016,1255,1264.9,1251.25,1257.8,21900,1249.42
17-05-2016,1267,1280,1255,1259.25,42000,1250.861
16-05-2016,1276,1276,1260,1263.7,13300,1255.281
13-05-2016,1290,1312,1260,1263.8,82200,1255.38
12-05-2016,1274.45,1295.4,1271.3,1284.35,36000,1275.793
11-05-2016,1274,1293.8,1266,1275.4,56600,1266.903
10-05-2016,1255,1320,1250.05,1284.2,259600,1275.644
09-05-2016,1247.9,1271.95,1241,1252.45,98300,1244.106
06-05-2016,1252,1252,1225,1244.65,19200,1236.358
05-05-2016,1230,1269.85,1218.1,1240.5,39000,1232.236
04-05-2016,1242,1247,1220,1225.4,58100,1217.236
03-05-2016,1267,1283.1,1235.15,1240,113700,1231.739
02-05-2016,1294,1294,1264.15,1268.5,33200,1260.049
29-04-2016,1270,1310,1257,1297.3,56800,1288.657
28-04-2016,1265,1294.9,1256,1273.35,56600,1264.867
27-04-2016,1295.6,1310,1264.45,1273.55,77600,1265.065
26-04-2016,1288,1303,1236.1,1289,290200,1280.412
25-04-2016,1349.4,1379,1326.1,1345.6,288900,1336.635
22-04-2016,1330,1352,1320,1337.35,69400,1328.44
21-04-2016,1330,1339.6,1325.4,1330.4,31600,1321.537
20-04-2016,1345,1368,1317.3,1323.75,59400,1314.931
19-04-2016,1342.9,1342.9,1342.9,1342.9,0,1333.953
18-04-2016,1363.3,1372.45,1330,1342.9,41800,1333.953
15-04-2016,1351.9,1351.9,1351.9,1351.9,0,1342.893
14-04-2016,1351.9,1351.9,1351.9,1351.9,0,1342.893
13-04-2016,1372.5,1380.55,1346.05,1351.9,51000,1342.893
12-04-2016,1389.8,1405,1350.2,1362.65,86900,1349.896
11-04-2016,1344,1434,1326.1,1381.2,207200,1368.273
08-04-2016,1308,1350,1300,1344.1,106900,1331.52
07-04-2016,1311,1315.65,1297.85,1308.2,45100,1295.956
06-04-2016,1282,1312.95,1276.15,1308.2,39800,1295.956
05-04-2016,1298.85,1314,1275.1,1280.7,31700,1268.713
04-04-2016,1310,1326.8,1297,1305.45,75600,1293.232
01-04-2016,1275,1315.4,1264.85,1294.95,139700,1282.83
31-03-2016,1245,1296.8,1231.05,1282.15,116100,1270.15
30-03-2016,1212,1246.9,1212,1239.55,36500,1227.949
29-03-2016,1240,1257.95,1203,1209.05,57100,1197.734
28-03-2016,1203,1249.9,1196.25,1242.9,156500,1231.267
25-03-2016,1206.45,1206.45,1206.45,1206.45,0,1195.158
24-03-2016,1206.45,1206.45,1206.45,1206.45,0,1195.158
23-03-2016,1190,1232,1170,1206.45,105000,1195.158
22-03-2016,1183.05,1190,1161,1182.75,39600,1171.68
21-03-2016,1155,1182,1148,1177.6,59900,1166.578
18-03-2016,1150,1165,1130.1,1156.05,38500,1145.23
17-03-2016,1132.6,1154.35,1130.1,1148.35,42900,1137.602
16-03-2016,1140,1151.5,1115.9,1126.1,27800,1115.56
15-03-2016,1138,1154.85,1130.1,1140.7,33700,1130.024
14-03-2016,1136.4,1160,1120,1133.6,42600,1122.99
11-03-2016,1152,1176,1140,1143.45,39500,1132.748
10-03-2016,1180,1180.1,1146.3,1151.1,48100,1140.326
