Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,298,300,295.65,297.85,9643900,297.85
23-03-2017,292.35,296.95,292.3,295.9,11221200,295.9
22-03-2017,291,293.3,289.5,292.15,4830700,292.15
21-03-2017,293,294.8,291,292.25,6910700,292.25
20-03-2017,290,292.4,288.05,291.8,7075100,291.8
17-03-2017,293.95,294.6,288.2,289.25,9065900,289.25
16-03-2017,294.6,295.5,291.2,291.95,8597000,291.95
15-03-2017,296.5,296.95,292,292.7,6245900,292.7
14-03-2017,302,302,293.9,294.95,9137400,294.95
13-03-2017,316.3,316.3,316.3,316.3,0,297.55
10-03-2017,319.55,320,315.25,316.3,5243600,297.55
09-03-2017,319.35,319.9,317.55,318.1,4365900,299.24
08-03-2017,325,325.7,319.3,320.2,4290000,301.22
07-03-2017,325,326.25,321.3,322.8,4787600,303.66
06-03-2017,325,327.9,320.6,322.9,4040900,303.76
03-03-2017,322,324.4,320.5,321.25,2402600,302.21
02-03-2017,318.35,326.35,318.35,321.4,4008100,302.35
01-03-2017,323,324.5,318.6,320.2,4131400,301.22
28-02-2017,330,331.4,320.1,321.9,5247300,302.82
27-02-2017,330,332.3,327.7,329.95,5619200,310.39
24-02-2017,327.7,327.7,327.7,327.7,0,308.27
23-02-2017,329.6,332,325.5,327.7,9869600,308.27
22-02-2017,322.3,329.7,320.55,328.35,3479700,308.89
21-02-2017,320.5,321.4,317.1,319.6,1678100,300.65
20-02-2017,316.25,320.9,314.1,319.9,2429300,300.94
17-02-2017,320,320,311,316.25,4292500,297.5
16-02-2017,317.5,319,315.8,318.3,2703800,299.43
15-02-2017,320.95,322.8,317.25,319.95,2649600,300.98
14-02-2017,319,320.7,315.25,320.2,2050700,301.22
13-02-2017,318,321.5,314.8,320.9,4142800,301.88
10-02-2017,324,325.25,321.4,324.5,2168000,305.26
09-02-2017,322.1,325,318.2,322.15,2390800,303.05
08-02-2017,313,322.5,313,321.75,4346500,302.68
07-02-2017,326,326.5,310.55,315.05,5669900,296.37
06-02-2017,326,329,322.4,325.05,1934500,305.78
03-02-2017,320.45,326.9,320.45,326.15,3778600,306.82
02-02-2017,311.4,322.8,308.75,320.45,3723500,301.45
01-02-2017,310,313.7,306.3,313.05,3168100,294.49
31-01-2017,313.4,314.35,303,309.2,17232900,290.87
30-01-2017,316.6,317.55,313.4,314.7,1713700,296.04
27-01-2017,318,320.4,316,317.75,2607400,298.91
26-01-2017,317.2,317.2,317.2,317.2,0,298.4
25-01-2017,309.8,319,307.5,317.2,5594600,298.4
24-01-2017,304.5,310.75,303.6,309.45,2508700,291.11
23-01-2017,303.9,306.2,302.55,303.4,1855800,285.41
20-01-2017,307,308.35,302.45,303.7,3784900,285.7
19-01-2017,309,310.45,306.6,307.35,2434000,289.13
18-01-2017,304.8,309.8,304.55,308.7,3680800,290.4
17-01-2017,314.55,315.45,306.05,307,3759600,288.8
16-01-2017,319,319,310.35,313.8,3866100,295.2
13-01-2017,316,319.3,313.55,315,3458400,296.33
12-01-2017,318,318.65,310.5,313.2,2316800,294.63
11-01-2017,301.6,318,301.6,316.85,7657600,298.07
10-01-2017,301.05,303.25,299.1,300.6,1455300,282.78
09-01-2017,305.85,305.95,299.6,300,1947800,282.22
06-01-2017,309,310.55,305,306.2,940100,288.05
05-01-2017,307.1,311.4,306.6,308.3,1845900,290.02
04-01-2017,306,310,305.45,306.15,1954800,288
03-01-2017,301,307.3,299.5,305.3,1459900,287.2
02-01-2017,300.05,302.65,297,300.05,1729500,282.26
30-12-2016,298,301.3,296.1,300,3733300,282.22
29-12-2016,292.7,301.7,292.7,298.65,7139900,280.95
28-12-2016,290,296.4,288.7,295.2,3946000,277.7
27-12-2016,282.5,290.25,282.5,288.95,3419400,271.82
26-12-2016,288.4,288.4,282.6,285,2446500,268.11
23-12-2016,289,289,286,287.85,1478200,270.79
22-12-2016,291,291.9,287.05,287.65,1586000,270.6
21-12-2016,291.6,294.5,289.15,292.2,2448400,274.88
20-12-2016,290,292.6,289.2,290.6,2428400,273.37
19-12-2016,288.45,289.8,286.5,287.35,2396800,270.32
16-12-2016,292.15,292.5,287.1,288.25,4139100,271.16
15-12-2016,290,293.8,289.3,290.15,2606600,272.95
14-12-2016,297,298.9,291.05,292,7916300,274.69
13-12-2016,303.1,307.85,303.1,305.95,4145400,287.81
12-12-2016,305.9,309.7,304.65,305.3,1861300,287.2
09-12-2016,312.95,313.25,305.9,306.45,2583300,288.28
08-12-2016,307.8,313.65,306.5,312.1,2985500,293.6
07-12-2016,306.65,308,304.3,305.3,1896300,287.2
06-12-2016,306.55,309.5,304.55,305.7,3262800,287.58
05-12-2016,305.1,307.15,301.9,305.35,2694500,287.25
02-12-2016,308.15,311.7,304.5,305.85,3374200,287.72
01-12-2016,309.2,310.3,305.35,306.3,1906300,288.14
30-11-2016,310.65,310.7,305.05,308.6,3289100,290.31
29-11-2016,306.4,314,306,308.4,3068100,290.12
28-11-2016,304.9,305.7,302.1,304.9,1677000,286.83
25-11-2016,302.4,305.25,300.9,304.25,1621900,286.21
24-11-2016,304,304.5,298.6,300.35,3596300,282.55
23-11-2016,306,306.95,302.15,304.05,1537200,286.03
22-11-2016,302,304.95,298.85,303.4,2497300,285.41
21-11-2016,306.7,310.35,299.3,300.75,2929400,282.92
18-11-2016,307.2,309.35,304,306.7,2226300,288.52
