Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,193.5,197,192.25,194.9,11748100,194.9
23-03-2017,194.4,195.2,192.7,193.7,10680500,193.7
22-03-2017,194.9,196.5,192,193.4,17762500,193.4
21-03-2017,196,199.8,193.25,198.3,8832700,198.3
20-03-2017,196.7,197.1,191.65,196.2,7107000,196.2
17-03-2017,200,200.35,194.65,196.2,12329300,196.2
16-03-2017,194,199.4,192.7,198.75,17634000,198.75
15-03-2017,192.4,192.9,190.05,190.85,11000100,190.85
14-03-2017,193.5,194,188.45,190.4,15425400,190.4
13-03-2017,187.6,187.6,187.6,187.6,0,187.6
10-03-2017,190.8,191.35,187,187.6,9745800,187.6
09-03-2017,191,192,187.8,189.2,11667400,189.2
08-03-2017,192.9,193.4,186.8,190.2,19426700,190.2
07-03-2017,199.35,199.35,191.6,192.55,17607800,192.55
06-03-2017,198.7,202.3,196.35,199.55,17600800,199.55
03-03-2017,188.45,199.75,187.95,198.55,31030500,198.55
02-03-2017,191.2,196.15,188.2,189.45,22934100,189.45
01-03-2017,185.15,192,184.6,189.25,19044700,189.25
28-02-2017,181,185.5,180.3,184.35,10009500,184.35
27-02-2017,182.35,183.15,179.2,180.75,7419900,180.75
24-02-2017,182.1,182.1,182.1,182.1,0,182.1
23-02-2017,179.8,183.5,179.3,182.1,11393300,182.1
22-02-2017,183,184,179.1,180.05,8976500,180.05
21-02-2017,183.35,186.9,181.8,182.45,13307100,182.45
20-02-2017,184,185.9,179.75,183.3,17874200,183.3
17-02-2017,187.95,189.3,183,183.65,9231400,183.65
16-02-2017,184,188.8,182.25,187.75,10429000,187.75
15-02-2017,187.1,189.95,182.05,184.45,11976000,184.45
14-02-2017,187,188,184.2,187.25,11938800,187.25
13-02-2017,184.5,187.9,181.6,185,17458600,185
10-02-2017,185.6,185.7,180.8,182.05,11598500,182.05
09-02-2017,189.95,190.25,181.95,183.7,13995900,183.7
08-02-2017,187.5,192.25,186.3,189,10372700,189
07-02-2017,190.7,192.95,184.05,185.9,10634800,185.9
06-02-2017,192.5,195.5,189.3,190.1,7376700,190.1
03-02-2017,194,195.4,188.25,191.75,11316500,191.75
02-02-2017,198.5,198.5,191.5,193.3,12723700,193.3
01-02-2017,190.9,200,186.55,198.85,12602800,198.85
31-01-2017,191.95,193.2,189.2,189.95,9510100,189.95
30-01-2017,190.05,195.3,186.95,191.5,12048500,191.5
27-01-2017,190.5,195,188.05,190.75,19584300,190.75
26-01-2017,190.75,190.75,190.75,190.75,0,190.75
25-01-2017,187.4,191.65,187.15,190.75,21241900,190.75
24-01-2017,182.6,187.85,181.05,187.15,17125700,187.15
23-01-2017,173,182.4,172.25,181.7,18223100,181.7
20-01-2017,175.6,178.35,169.5,171.65,12034300,171.65
19-01-2017,176.3,177.25,173.5,176.1,8384300,176.1
18-01-2017,171.8,177.35,171.6,177,13047900,177
17-01-2017,173.6,174.8,169.3,171.05,7373700,171.05
16-01-2017,172,174.35,169.9,172.6,9673400,172.6
13-01-2017,178.8,178.8,170.85,172.25,17430500,172.25
12-01-2017,175.6,178.6,172.4,177,14225100,177
11-01-2017,167.1,175.65,166.45,174.95,24145100,174.95
10-01-2017,159.15,165.4,158,164.4,15806800,164.4
09-01-2017,161.6,162.2,157.65,158,6143200,158
06-01-2017,162.45,163.8,160.1,160.75,6830900,160.75
05-01-2017,160,162.65,159.9,162,9921300,162
04-01-2017,158.9,161.6,157.45,158.9,7732000,158.9
03-01-2017,159.85,161,157.05,158.85,6841100,158.85
02-01-2017,155.85,159.75,154.2,158.85,9537100,158.85
30-12-2016,155,156.2,153.25,155.05,8199700,155.05
29-12-2016,153.1,155.55,152.3,154.75,7714000,154.75
28-12-2016,156.5,158.25,152.6,153.6,9007100,153.6
27-12-2016,150.3,156.6,147.85,155.55,10782100,155.55
26-12-2016,157.5,157.5,149.7,151.5,10229400,151.5
23-12-2016,161,162.1,158.85,159.3,9804100,159.3
22-12-2016,168.7,168.7,160.25,161.25,9593000,161.25
21-12-2016,168,171,166.55,168.8,6539500,168.8
20-12-2016,169.7,169.75,165.35,167.15,5435700,167.15
19-12-2016,169.4,171.75,168.1,169.15,5526600,169.15
16-12-2016,176.9,176.9,169.1,170.2,9584300,170.2
15-12-2016,173.4,177.4,173.2,176.1,6165300,176.1
14-12-2016,177.25,178.2,174.85,176,6198900,176
13-12-2016,181.55,182.65,175.25,176.95,9690900,176.95
12-12-2016,180.8,183.2,179.25,181.95,8051000,181.95
09-12-2016,180.45,183.45,179.05,182.1,9543300,182.1
08-12-2016,177.45,181.4,176.3,179.2,9432700,179.2
07-12-2016,176.5,176.8,172.45,175.05,6213800,175.05
06-12-2016,176.95,177.85,174.2,175.4,8668100,175.4
05-12-2016,168.5,175.4,167.8,174.5,9144400,174.5
02-12-2016,170.95,174.15,167.5,168.75,11034600,168.75
01-12-2016,176.8,177.5,169.7,171.35,7638000,171.35
30-11-2016,175,178.7,172.8,175.75,15095700,175.75
29-11-2016,179.7,180.85,174.8,175.4,9819400,175.4
28-11-2016,180.3,182.35,177.7,178.65,12519400,178.65
25-11-2016,182.9,184.8,178.85,180.5,17338800,180.5
24-11-2016,173.5,181.15,172.15,180.45,24353500,180.45
23-11-2016,168.95,174.3,168,173.7,15975500,173.7
22-11-2016,158.85,167.3,158.65,166.55,15431900,166.55
21-11-2016,166.5,170.8,156.1,157.35,16027100,157.35
18-11-2016,169,169.3,163.6,165.35,8775500,165.35
17-11-2016,164,169.8,162,168.3,10560500,168.3
16-11-2016,171.8,172.7,161.2,162.8,11909700,162.8
15-11-2016,175.7,180.65,166.5,167.75,30748000,167.75
14-11-2016,172.3,172.3,172.3,172.3,0,172.3
11-11-2016,174.1,178.1,171.05,172.3,13455000,172.3
10-11-2016,168.5,177.35,167,175.75,16275400,175.75
