Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,186.9,190.75,186,186.8,3979800,186.8
23-03-2017,186.7,189,185.5,186.85,2749800,186.85
22-03-2017,189.5,189.5,185.1,186.7,3999100,186.7
21-03-2017,194.65,194.65,191,192.4,3832600,192.4
20-03-2017,192.75,194.75,190.2,194.1,2608100,194.1
17-03-2017,194.25,195.9,190.15,192,5143500,192
16-03-2017,185.6,194.3,185.2,192.45,8053800,192.45
15-03-2017,181.9,184.9,180.05,183.5,2518600,183.5
14-03-2017,179.95,183.35,177.5,181.9,3552400,181.9
13-03-2017,176.25,176.25,176.25,176.25,0,176.25
10-03-2017,177,178.9,175.15,176.25,1965400,176.25
09-03-2017,176.7,178.85,175.65,176.85,2814000,176.85
08-03-2017,181.65,182.15,177,178.05,5030500,178.05
07-03-2017,185.4,185.65,181,181.45,2337700,181.45
06-03-2017,184.05,186.3,183.15,184.85,2405400,184.85
03-03-2017,183,185.3,181.95,184,3072500,184
02-03-2017,190.55,190.9,181.9,183.5,5014500,183.5
01-03-2017,188.05,192.6,186.75,189.8,6984800,189.8
28-02-2017,185.3,188.05,185,186.95,2568300,186.95
27-02-2017,187,189.9,185,185.3,2479100,185.3
24-02-2017,186.95,186.95,186.95,186.95,0,186.95
23-02-2017,185.6,187.55,184.1,186.95,3565700,186.95
22-02-2017,187.2,187.65,182.2,185,3420900,185
21-02-2017,189,191.75,185.65,186.95,2738200,186.95
20-02-2017,184.95,189.8,183.6,188.3,3116600,188.3
17-02-2017,188.1,189.1,184.1,184.9,2679500,184.9
16-02-2017,184.05,188,182.25,187.45,2742000,187.45
15-02-2017,182.9,184.45,178.75,183.3,4927800,183.3
14-02-2017,187.75,189.45,180.4,181.85,5326700,181.85
13-02-2017,194.6,195.25,178.3,187.75,5882500,187.75
10-02-2017,194.1,195,191.4,193.25,2393100,193.25
09-02-2017,190.2,194,185.85,193.65,4280600,193.65
08-02-2017,190.95,191.7,188.3,189.3,4093000,189.3
07-02-2017,192.8,195,187.95,189,4271000,189
06-02-2017,193.65,194.4,190.5,192.35,3509700,192.35
03-02-2017,193,196.4,188.75,191.65,7158500,191.65
02-02-2017,197.45,198,192.4,193.9,4882800,193.9
01-02-2017,199.5,199.65,191.1,197.3,7991200,197.3
31-01-2017,197.1,201.4,195,198.15,9791700,198.15
