Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,595,598.25,591.5,593.95001,930100,593.95001
23-03-2017,595.79999,598.20001,582.20001,596.25,1555800,596.25
22-03-2017,588.90002,598.45001,587.90002,595.20001,1018300,595.20001
21-03-2017,598.5,598.5,590.29999,591.84998,861600,591.84998
20-03-2017,597.5,601.5,593.45001,596.29999,1027000,596.29999
17-03-2017,604.5,604.5,594.25,597.29999,2189700,597.29999
16-03-2017,605.09998,605.90002,598.04999,601.40002,852000,601.40002
15-03-2017,602,605.84998,598.54999,600.20001,1479300,600.20001
14-03-2017,597,601.5,590.34998,600.20001,1324700,600.20001
13-03-2017,589.09998,589.09998,589.09998,589.09998,0,589.09998
10-03-2017,589.20001,591.5,587.04999,589.09998,558400,589.09998
09-03-2017,588.79999,593.45001,585.25,589.20001,690600,589.20001
08-03-2017,591.75,593.34998,583.04999,591.84998,1055400,591.84998
07-03-2017,591.70001,591.70001,586.09998,588.04999,475200,588.04999
06-03-2017,592,595,588.20001,590.09998,943400,590.09998
03-03-2017,588.95001,596.70001,585,588.59998,759400,588.59998
02-03-2017,588.29999,591.95001,586.40002,589.25,1571500,589.25
01-03-2017,585.70001,592.90002,584.20001,586.29999,808000,586.29999
28-02-2017,587.70001,592.79999,582.59998,583.70001,749800,583.70001
27-02-2017,592,594.90002,581.34998,585.25,867600,585.25
24-02-2017,592.40002,592.40002,592.40002,592.40002,0,592.40002
23-02-2017,589.29999,594.20001,586.04999,592.40002,1263800,592.40002
22-02-2017,592.20001,592.90002,586,589.25,942700,589.25
21-02-2017,591.90002,595,588.5,593.09998,712000,593.09998
20-02-2017,593.20001,597.75,582,592.75,1008000,592.75
17-02-2017,585.90002,596.45001,580.65002,593.25,1209200,593.25
16-02-2017,575,585.40002,574.5,584.59998,1156800,584.59998
15-02-2017,577.5,578.65002,571.15002,574.25,1441900,574.25
14-02-2017,582,586.59998,574.09998,576.04999,816700,576.04999
13-02-2017,582.70001,585.40002,576.04999,582.65002,946900,582.65002
10-02-2017,592,593.75,576.79999,579.95001,1485200,579.95001
09-02-2017,611,611.54999,584.45001,587.65002,4192700,587.65002
08-02-2017,600,609,597.75,603.20001,2122200,603.20001
07-02-2017,601.79999,608,594.59998,597.54999,1084800,597.54999
06-02-2017,610.34998,621.25,599.09998,601.59998,2513800,601.59998
03-02-2017,584.29999,611.5,580.40002,607.90002,2491000,607.90002
02-02-2017,575,587,567.04999,584.34998,1033100,584.34998
01-02-2017,573,579.25,566.29999,572.15002,873300,572.15002
31-01-2017,581.54999,583,572.59998,575.34998,712900,575.34998
30-01-2017,578.70001,584.54999,577.15002,582.25,589500,582.25
27-01-2017,584.70001,591.40002,579.45001,580.15002,622100,580.15002
26-01-2017,585.65002,585.65002,585.65002,585.65002,0,585.65002
25-01-2017,581.25,588.84998,577.65002,585.65002,888900,585.65002
24-01-2017,574.70001,581.29999,574.09998,579.90002,527000,579.90002
23-01-2017,574.45001,583.45001,573,575.75,1197300,575.75
20-01-2017,583.79999,592.5,574.40002,577.59998,1100500,577.59998
19-01-2017,582.29999,587.40002,573.34998,580.34998,772600,580.34998
18-01-2017,588.79999,593.40002,577.34998,580.79999,591400,580.79999
17-01-2017,590.5,592,581.20001,587.25,737900,587.25
16-01-2017,577.40002,592,577.40002,588.79999,634500,588.79999
13-01-2017,587,589.09998,579.45001,583.40002,557000,583.40002
12-01-2017,573.95001,587.79999,567.29999,586.25,1086000,586.25
11-01-2017,576.95001,579,569.5,576.95001,543700,576.95001
10-01-2017,577.5,582.90002,573.59998,574.90002,430600,574.90002
09-01-2017,583.54999,588.95001,574.90002,576.70001,545900,576.70001
06-01-2017,580.04999,591,577.20001,582.84998,851700,582.84998
05-01-2017,570.20001,581.5,569.29999,579.84998,919500,579.84998
04-01-2017,572.95001,576,567.5,568.25,729300,568.25
03-01-2017,566.79999,576.79999,562,573.65002,626800,573.65002
02-01-2017,569.75,572.45001,563.25,566,520100,566
30-12-2016,565.59998,573.45001,565.59998,568.79999,673900,568.79999
29-12-2016,563.09998,569,562.75,564.84998,985900,564.84998
28-12-2016,567,572,560.79999,562.40002,743200,562.40002
27-12-2016,559,566.20001,555.15002,563.65002,1063400,563.65002
26-12-2016,581.29999,581.29999,548.09998,554.95001,2106300,554.95001
