Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,703.5,709.65002,700.20001,703.90002,1357500,703.90002
23-03-2017,704,705,699.25,703.15002,1294400,703.15002
22-03-2017,694,703,690.84998,701.45001,2414200,701.45001
21-03-2017,704,705.90002,684.15002,698.04999,3691900,698.04999
20-03-2017,709,711,704.5,706.54999,1418600,706.54999
17-03-2017,715,716.40002,702,707.5,3067000,707.5
16-03-2017,711,719.5,707.09998,710.79999,3087300,710.79999
15-03-2017,713,717.45001,704.25,705.84998,3046800,705.84998
14-03-2017,693.5,729.04999,677.09998,708.20001,9857200,708.20001
13-03-2017,682.95001,682.95001,682.95001,682.95001,0,682.95001
10-03-2017,680.04999,691.09998,680,682.95001,1987700,682.95001
09-03-2017,680.34998,686,676.09998,685.15002,2408800,685.15002
08-03-2017,675,688.84998,673,680.40002,3480800,680.40002
07-03-2017,683.59998,684.84998,675.25,679.65002,2152300,679.65002
06-03-2017,684,684.5,675.09998,683,2858100,683
03-03-2017,672,688.45001,671.09998,686.45001,2495200,686.45001
02-03-2017,700,701.29999,672.90002,676.15002,4783000,676.15002
01-03-2017,681.09998,697.40002,679,694.65002,4972100,694.65002
28-02-2017,675,682.29999,675,679,2711500,679
27-02-2017,674.09998,685.5,671.09998,674.45001,3477000,674.45001
24-02-2017,674.54999,674.54999,674.54999,674.54999,0,674.54999
23-02-2017,673.90002,681.29999,667.04999,674.54999,4522300,674.54999
22-02-2017,674,675.40002,662.75,670.34998,2662200,670.34998
21-02-2017,681.70001,685,670.09998,673.20001,2972100,673.20001
20-02-2017,678,686.40002,672.5,679.65002,4597800,679.65002
17-02-2017,653.5,677.95001,649.09998,675.5,6165100,675.5
16-02-2017,624,652,623.45001,649.29999,6158000,649.29999
15-02-2017,650.20001,651.75,621.5,623.04999,10352700,623.04999
14-02-2017,659,662.84998,640.90002,649.29999,3393600,649.29999
13-02-2017,656.5,659.45001,648,654.70001,1885700,654.70001
10-02-2017,655.5,662.09998,650.09998,655.04999,2814300,655.04999
09-02-2017,665,669,653.34998,655.5,3295400,655.5
08-02-2017,668.65002,677,659.20001,662.20001,2959200,662.20001
07-02-2017,675,689.54999,667.20001,669.59998,4274100,669.59998
06-02-2017,650,677.29999,645,675.15002,5835900,675.15002
03-02-2017,644.5,649.79999,640.25,647.25,2048000,647.25
02-02-2017,626.20001,644.70001,620,641.40002,3819300,641.40002
01-02-2017,631,637.45001,618.40002,625.54999,3507200,625.54999
31-01-2017,644.5,649,630,631.5,1926900,631.5
30-01-2017,640.04999,654.90002,639,644.75,2406000,644.75
27-01-2017,638.29999,643,633.79999,640.5,2362300,640.5
26-01-2017,635.84998,635.84998,635.84998,635.84998,0,635.84998
25-01-2017,644,646.70001,634.20001,635.84998,3068000,635.84998
24-01-2017,636,644.5,636,641.40002,2187700,641.40002
23-01-2017,640,645.25,632.5,633.65002,2955800,633.65002
20-01-2017,642.84998,647.40002,640,641.54999,3671300,641.54999
19-01-2017,647,653.70001,641.09998,643.45001,2089600,643.45001
18-01-2017,649,654,644.5,649.95001,4013600,649.95001
17-01-2017,645,652.70001,644.45001,649.70001,3016400,649.70001
16-01-2017,651,654.90002,642.20001,643.5,1349600,643.5
13-01-2017,647,657.40002,642.45001,653,3524900,653
12-01-2017,629,646.90002,629,644.75,6269900,644.75
11-01-2017,640,649.54999,639.29999,648.20001,2784800,648.20001
10-01-2017,635,639.90002,627.09998,638.54999,2559600,638.54999
09-01-2017,641.09998,646.90002,631,632.04999,1827400,632.04999
06-01-2017,648.09998,649.75,639.45001,640.75,1864300,640.75
05-01-2017,646.09998,647.90002,641.5,643.45001,2589500,643.45001
04-01-2017,638,643.79999,634.79999,637.34998,2500400,637.34998
03-01-2017,637,641.95001,631.84998,636.09998,2821800,636.09998
02-01-2017,633,640.34998,627,634.04999,2266200,634.04999
30-12-2016,619,632,616.65002,630,3523500,630
29-12-2016,621.5,624.95001,611.84998,614.70001,4788900,614.70001
28-12-2016,624,628.65002,619.04999,621.34998,2516700,621.34998
27-12-2016,614,622.20001,612.59998,621.09998,2289000,621.09998
26-12-2016,624.54999,624.90002,610,611.25,3005500,611.25
23-12-2016,614,629.5,611.20001,623.5,6105600,623.5
22-12-2016,616.25,625,608,609.15002,5479100,609.15002
21-12-2016,632,633.90002,613.04999,614.45001,7404100,614.45001
20-12-2016,635,638,622.09998,627.90002,3984200,627.90002
19-12-2016,644,644,630.09998,632.25,4214700,632.25
16-12-2016,650.84998,651.90002,633.59998,647.34998,10780800,647.34998
15-12-2016,672.79999,673.59998,645,649.95001,9539100,649.95001
14-12-2016,685.95001,692.65002,675,678.40002,3202300,678.40002
