Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,982.7,986.1,976,979.9,138100,979.9
23-03-2017,981.25,989.45,980,981.6,200400,981.6
22-03-2017,975,984.7,971.25,980.15,433100,980.15
21-03-2017,981.55,993,978.8,980.65,753700,980.65
20-03-2017,990,993,978.25,981.5,326800,981.5
17-03-2017,980,995.8,977.5,988.9,615000,988.9
16-03-2017,965,981.8,964.4,978.7,650400,978.7
15-03-2017,959.95,961.45,949.05,956.7,239600,956.7
14-03-2017,950,964.8,948.05,953.1,581100,953.1
13-03-2017,946.1,946.1,946.1,946.1,0,946.1
10-03-2017,945.1,948.8,936.6,946.1,200100,946.1
09-03-2017,938,947.6,927.3,944.4,495100,944.4
08-03-2017,933.1,940,928.55,933.75,574400,933.75
07-03-2017,911.5,929,907.3,927.3,634500,927.3
06-03-2017,909,915.65,905.9,909.75,108200,909.75
03-03-2017,892.9,914,889.55,910.35,308600,910.35
02-03-2017,896.9,906.3,890.05,892.2,426300,892.2
01-03-2017,900.5,900.95,888.6,897.3,496100,897.3
28-02-2017,890,915.95,890,900.25,561700,900.25
27-02-2017,895.1,901.7,887.25,889.85,394300,889.85
24-02-2017,893.2,893.2,893.2,893.2,0,893.2
23-02-2017,901.15,902.95,886.15,893.2,641800,893.2
22-02-2017,913,913,895.1,899.85,241600,899.85
21-02-2017,924,927.3,910.3,913.55,406900,913.55
20-02-2017,904.6,928.8,904.6,923.1,595300,923.1
17-02-2017,910,923.95,901.1,911.5,501700,911.5
16-02-2017,885,912.25,879.95,907.35,5167800,907.35
15-02-2017,883.7,884.65,878,883.15,216900,883.15
14-02-2017,894.5,894.5,880,881.8,237400,881.8
13-02-2017,891,895,886.25,889.55,212900,889.55
10-02-2017,891.9,898.5,885.6,890.9,322300,890.9
09-02-2017,887,891,879.6,884.2,389000,884.2
08-02-2017,896.1,897,880.5,884.35,401800,884.35
07-02-2017,897,902,889.8,893.15,933900,893.15
06-02-2017,902,914.4,889,892.85,455500,892.85
03-02-2017,906,908.55,898.3,902.7,591400,902.7
02-02-2017,890,910.6,885.7,905.65,452700,905.65
01-02-2017,887,897.9,885.4,894.5,217000,894.5
31-01-2017,882,895,880,887.65,316900,887.65
30-01-2017,864.55,887.2,861.3,885.65,802100,885.65
27-01-2017,900,914.7,875.85,878.9,864400,878.9
26-01-2017,897.45,897.45,897.45,897.45,0,897.45
25-01-2017,900.6,903.45,892.1,897.45,354600,897.45
24-01-2017,904.6,906.3,895.05,898.8,234900,898.8
23-01-2017,902.5,910.85,895.6,903.55,91800,903.55
20-01-2017,910.2,910.2,900.65,902.35,180700,902.35
19-01-2017,917,919.95,906.55,908.15,113300,908.15
18-01-2017,912.45,924,907.25,915.35,278700,915.35
17-01-2017,912,915.95,905.3,912.45,136500,912.45
16-01-2017,897.65,913.95,895.55,911,192200,911
13-01-2017,892,903.9,892,899.35,212200,899.35
12-01-2017,898,898,884.05,890.65,247000,890.65
11-01-2017,893,898.8,886.2,895,275300,895
10-01-2017,891,894.85,882,891.9,511300,891.9
09-01-2017,900.2,901,890.05,893.55,88100,893.55
06-01-2017,898.1,903.95,896.3,899.15,499400,899.15
05-01-2017,898.1,902.95,896.9,898.65,302900,898.65
04-01-2017,899.5,904.9,892,897.65,334800,897.65
03-01-2017,901.35,901.35,891.9,898.3,201400,898.3
02-01-2017,905.7,907.25,897.6,900.3,177000,900.3
30-12-2016,894.95,908,894.95,904.6,195100,904.6
29-12-2016,891,898.85,889.15,892,326600,892
28-12-2016,891,897.7,884,890.9,201800,890.9
