Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,327.2,327.8,321.7,323.25,4636700,323.25
23-03-2017,324,327,322.1,325.6,3911100,325.6
22-03-2017,321.9,324.8,319.35,323.65,2518100,323.65
21-03-2017,325,327.3,320.05,325.75,2802300,325.75
20-03-2017,327.05,329.8,324.7,325.45,4103200,325.45
17-03-2017,326.8,328.9,321.3,325.4,6779600,325.4
16-03-2017,312,327.35,311.5,325.7,7051900,325.7
15-03-2017,308,313.8,308,310.3,4865500,310.3
14-03-2017,305.65,311.2,304.1,309.25,5102300,309.25
13-03-2017,298.8,298.8,298.8,298.8,0,298.8
10-03-2017,302.45,306,297.05,298.8,2684700,298.8
09-03-2017,306.5,306.5,299.7,300.9,2564900,300.9
08-03-2017,308.25,309,300.85,306.5,2786100,306.5
07-03-2017,303,309.4,301.95,308.25,4069900,308.25
06-03-2017,297.85,304.9,296.45,303.15,1877900,303.15
03-03-2017,293,297.4,291,296.35,2871800,296.35
02-03-2017,303.75,305.7,292,293.85,2458200,293.85
01-03-2017,302.95,305,301.15,302.5,1892500,302.5
28-02-2017,297.65,303.35,296.8,301.75,2570300,301.75
27-02-2017,297,300.7,295,296.65,2116100,296.65
24-02-2017,297.25,297.25,297.25,297.25,0,297.25
23-02-2017,300.35,303.4,295.8,297.25,6593400,297.25
22-02-2017,305,306.5,297.45,300.3,3507400,300.3
21-02-2017,300.5,305.4,298.3,304.15,2559000,304.15
20-02-2017,298.2,302.9,296.1,300.3,1690800,300.3
17-02-2017,300.1,302.5,295.8,297.25,2264000,297.25
16-02-2017,300,303,294,298.6,2837500,298.6
15-02-2017,308.1,313.5,297,299.95,4562400,299.95
14-02-2017,310,315.9,305.25,307,6996000,307
13-02-2017,313.2,314.8,304.6,309.55,2291100,309.55
10-02-2017,305.6,313.7,305.1,311.25,5313000,311.25
09-02-2017,306.5,308.1,300.85,304.8,2032200,304.8
08-02-2017,306.05,306.9,299,305.55,1581000,305.55
07-02-2017,309.3,310.4,301.25,303.65,1803400,303.65
06-02-2017,305.85,311,302.6,309.2,2426400,309.2
03-02-2017,304.55,311.25,301.7,303.55,3352400,303.55
02-02-2017,305.45,308.6,301.2,304.15,3018200,304.15
01-02-2017,295.55,306,293.65,304.6,3158500,304.6
31-01-2017,303.5,305.95,292.5,293.35,3859700,293.35
30-01-2017,303.75,305.85,301.35,302.6,2241400,302.6
27-01-2017,305,308.95,302.1,303.95,3386600,303.95
26-01-2017,304.65,304.65,304.65,304.65,0,304.65
25-01-2017,295.25,306.1,294.45,304.65,4477000,304.65
24-01-2017,287,294.95,286,293.15,1945200,293.15
23-01-2017,285.15,289.35,284.15,286.25,2261700,286.25
20-01-2017,295,296.35,283.4,284.15,3279600,284.15
19-01-2017,292.1,297.5,292,295.35,2290500,295.35
18-01-2017,296.75,300.55,290.05,291.9,2613200,291.9
17-01-2017,302.45,302.45,292.6,294.85,2231200,294.85
16-01-2017,294.7,302.95,292.4,300.65,3614700,300.65
13-01-2017,294.5,295.15,290.55,294.05,1699900,294.05
12-01-2017,297,298.85,289.55,292.75,3420700,292.75
11-01-2017,295.9,299.75,294.5,295.65,3323800,295.65
10-01-2017,285.1,294.7,285,293.9,5779700,293.9
09-01-2017,286.35,289,282.6,284.7,2877200,284.7
06-01-2017,288.8,291.8,285,286.05,5651400,286.05
05-01-2017,276.3,288.9,275.5,287.5,5997000,287.5
04-01-2017,275.15,276.9,272.2,274.9,2741200,274.9
03-01-2017,275.2,277.7,272.05,273.95,2064800,273.95
02-01-2017,269.8,276.9,267,273.8,2622100,273.8
30-12-2016,265,271.15,264.4,268.45,3744100,268.45
29-12-2016,268,268.1,262.65,264.65,4400300,264.65
28-12-2016,267.9,271.85,267.1,268.5,3862400,268.5
27-12-2016,261,269.65,258.2,266.95,5604700,266.95
26-12-2016,262,262,257.25,260,2684600,260
23-12-2016,262.15,268.5,259.05,262.9,3336800,262.9
22-12-2016,271.75,273.5,261.1,263.55,2771600,263.55
21-12-2016,274.4,275.65,270.1,274.2,2500100,274.2
20-12-2016,276.1,276.1,268.45,272.4,1657300,272.4
19-12-2016,280.9,281,275.25,276.45,2479200,276.45
16-12-2016,286,286,279.2,280.25,3752200,280.25
15-12-2016,290.1,291.65,283.05,284.25,4952500,284.25
14-12-2016,287.45,288.35,282.1,283.85,2454500,283.85
13-12-2016,281.4,287.2,278.45,286,2703300,286
12-12-2016,285,285.45,279.3,281.35,1781300,281.35
