Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,496.05,499.9,491.1,493.2,3082100,493.2
23-03-2017,487.5,496.6,487.5,495.5,4126900,495.5
22-03-2017,490,493.8,486.4,488.1,4652300,488.1
21-03-2017,496.9,501.3,492.35,496.4,4967600,496.4
20-03-2017,502.5,502.7,492,496.65,3995500,496.65
17-03-2017,503.85,508.75,498.1,502.2,6800300,502.2
16-03-2017,484.85,501,481.95,499.65,10391700,499.65
15-03-2017,473.95,480,470.4,479.05,5561800,479.05
14-03-2017,479,479,470.45,472.55,5565500,472.55
13-03-2017,467.75,467.75,467.75,467.75,0,467.75
10-03-2017,468.5,474.4,462.2,467.75,4523600,467.75
09-03-2017,471.9,475.35,467.7,469.45,4495700,469.45
08-03-2017,484.9,486.4,470.1,472.45,5935300,472.45
07-03-2017,493.5,494,480.65,482,5123100,482
06-03-2017,495.1,501,490.25,492.7,4153400,492.7
03-03-2017,494.55,497.75,489.55,495.1,3357900,495.1
02-03-2017,502,505.6,492.25,494.65,5722500,494.65
01-03-2017,485,502.5,483.4,500.35,7716500,500.35
28-02-2017,481.5,485.75,480.45,482.7,3402800,482.7
27-02-2017,485.2,488.15,479.5,480.6,2730800,480.6
24-02-2017,485.75,485.75,485.75,485.75,0,485.75
23-02-2017,485.1,487.9,478.15,485.75,4810400,485.75
22-02-2017,490.45,491.45,480.6,484.05,5010500,484.05
21-02-2017,488.95,495.9,485,490.95,8063700,490.95
20-02-2017,468,489,464.75,487.05,8441100,487.05
17-02-2017,472.3,474.85,466.65,468.2,3922100,468.2
16-02-2017,464.7,471.5,455.65,469.95,4820300,469.95
15-02-2017,472.7,474.75,457.25,460.1,4228700,460.1
14-02-2017,473.9,474.85,466.1,472.4,3251700,472.4
13-02-2017,473.15,477,470.1,472.6,4898700,472.6
10-02-2017,467,471.8,460.55,468.2,7912000,468.2
09-02-2017,469.65,473.4,456.5,459.85,6485700,459.85
08-02-2017,485,485.4,467.45,470.65,11287400,470.65
07-02-2017,475.1,479.8,470.05,472.8,4836600,472.8
06-02-2017,474.4,477.6,469.15,473.4,4806800,473.4
03-02-2017,476.9,480,468.15,472.8,5284700,472.8
02-02-2017,473.5,480.9,466.25,476.95,5988100,476.95
