Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,650,652,645.1,649.7,1835100,649.7
23-03-2017,655,660,648.1,655.05,3828800,655.05
22-03-2017,636.65,648.5,628.05,645,1964100,645
21-03-2017,642,649,633.8,641.9,1860300,641.9
20-03-2017,640,648,635.35,643.6,1194200,643.6
17-03-2017,650,650,638.05,642.1,2234600,642.1
16-03-2017,639,649.4,637.05,647.75,1874800,647.75
15-03-2017,635.25,643.85,632.85,636.5,1504200,636.5
14-03-2017,636,641,629,636.7,3122000,636.7
13-03-2017,623.35,623.35,623.35,623.35,0,623.35
10-03-2017,635.9,636.95,620.1,623.35,2435400,623.35
09-03-2017,644.15,644.4,630.45,632,2103600,632
08-03-2017,645.5,650.35,630.1,639,2149000,639
07-03-2017,641,648.7,638.8,645.9,2302700,645.9
06-03-2017,637.3,643.4,632.4,637.55,3298600,637.55
03-03-2017,633.9,635.4,615.25,632.8,7891400,632.8
02-03-2017,661.95,665.4,630.85,635.15,5939500,635.15
01-03-2017,675,676.9,653.4,659.45,3655200,659.45
28-02-2017,690,694.9,668,670.05,5014100,670.05
27-02-2017,714,724.8,700.9,707.7,2186400,688.2
24-02-2017,717.65,717.65,717.65,717.65,0,697.8759
23-02-2017,715,721.65,706.65,717.65,3012400,697.8759
22-02-2017,705,718,703.6,714.3,2467500,694.6181
21-02-2017,705,717,701.1,703.95,1625600,684.5533
20-02-2017,682.5,702,680.05,700.25,1947000,680.9553
17-02-2017,670.6,683.45,665.05,679,1945600,660.2908
16-02-2017,670.55,677.15,662,669.4,3426800,650.9554
15-02-2017,692,699.8,668,674.7,3226800,656.1093
14-02-2017,716.7,716.8,686.8,692.05,1815600,672.9812
13-02-2017,715,718.9,710.05,714.55,965800,694.8613
10-02-2017,733,733,712,715.55,2511300,695.8337
09-02-2017,725,729,721.05,726.85,1978200,706.8223
08-02-2017,718.7,727,714.1,720.5,2335000,700.6473
07-02-2017,707.7,722.95,704.05,716.65,2278900,696.9034
