Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,193.35,193.4,191.35,191.9,9289700,191.9
23-03-2017,193.55,194.5,192.75,193.6,4208100,193.6
22-03-2017,192.5,193.9,191,192.5,4960400,192.5
21-03-2017,191,194.45,191,194.05,6715200,194.05
20-03-2017,190.05,191.7,189.7,190.85,5070000,190.85
17-03-2017,192,192.4,189.45,190,7462500,190
16-03-2017,193,193.6,191.25,191.8,6732700,191.8
15-03-2017,191.3,192.95,190.5,190.7,4219900,190.7
14-03-2017,194.6,194.6,191.5,191.9,8850000,191.9
13-03-2017,191.6,191.6,191.6,191.6,0,191.6
10-03-2017,189.7,192.45,188.3,191.6,7822800,191.6
09-03-2017,191.5,191.7,189.1,189.65,6323800,189.65
08-03-2017,197,197.2,192.3,192.95,6553200,192.95
07-03-2017,194,196.95,193.5,196.4,7768600,196.4
06-03-2017,193.5,194.75,193,193.8,3847900,193.8
03-03-2017,192.35,193.5,191.6,193.05,4294800,193.05
02-03-2017,194.8,194.9,192.15,192.7,6978500,192.7
01-03-2017,196.7,196.7,193.4,193.85,11243700,193.85
28-02-2017,197.1,197.3,192.65,193.55,10367500,193.55
27-02-2017,197,198,193.8,194.7,7881100,194.7
24-02-2017,196,196,196,196,0,196
23-02-2017,195.9,197.6,194.35,196,20504500,196
22-02-2017,198,198.5,195.1,195.6,5671300,195.6
21-02-2017,195.75,196.75,194.5,196.25,3280200,196.25
20-02-2017,194.7,196.2,192.25,195.3,8954700,195.3
17-02-2017,195,195.2,193.5,194.4,3230800,194.4
16-02-2017,196.05,196.3,193.75,194.1,3343400,194.1
15-02-2017,195.9,197.8,194.15,194.95,5793100,194.95
14-02-2017,193,196.2,191.85,195.7,7785900,195.7
13-02-2017,194.3,194.5,190.8,192.25,4083900,192.25
10-02-2017,194,195.45,193.1,193.65,6287800,193.65
09-02-2017,195.45,196.2,192.45,192.9,6092200,192.9
08-02-2017,194,196,192.55,194.4,7106800,194.4
07-02-2017,198,199.5,192.65,193.3,10805600,193.3
06-02-2017,202.8,202.85,198.75,199,5926200,196.75
03-02-2017,201.7,203.2,200.55,200.95,4940800,198.678
02-02-2017,201,204.5,200.4,200.85,8549900,198.5791
01-02-2017,203,205,199.5,200.2,11271100,197.9364
31-01-2017,210,211.8,201,202.55,39669800,200.2599
30-01-2017,204.5,205.45,200.8,201.85,4594000,199.5678
27-01-2017,206,208,203.15,204.5,5089800,202.1878
26-01-2017,204.9,204.9,204.9,204.9,0,202.5833
25-01-2017,201.95,205.7,201.95,204.9,11413500,202.5833
24-01-2017,201.15,202.2,199.35,201.6,3600700,199.3206
23-01-2017,197.3,201.8,197.3,199.9,5350400,197.6398
20-01-2017,200.85,202,195.45,197.3,7834300,195.0692
19-01-2017,197.85,201.45,196.85,200.85,11378600,198.5791
18-01-2017,195.5,198.4,193.75,198,9444900,195.7613
17-01-2017,199,199.65,193,194.8,4631500,192.5975
16-01-2017,201,201.8,198.05,198.35,4070800,196.1074
13-01-2017,203,203.95,200.05,201.3,7173200,199.024
12-01-2017,198.5,201.7,198.5,199.55,7180300,197.2938
11-01-2017,198.6,200,197.3,197.65,3657800,195.4153
10-01-2017,198.9,203,197.7,198.45,6865300,196.2062
09-01-2017,203.95,204.95,197.1,198,4783900,195.7613
06-01-2017,200,206.95,200,202.55,8399500,200.2599
05-01-2017,195.3,200.25,195.3,199.65,6831300,197.3926
04-01-2017,193.5,196.75,192.1,194.8,7507700,192.5975
03-01-2017,193.4,193.75,191.15,192.5,4764300,190.3235
02-01-2017,191.8,193,191.35,192.25,2690400,190.0763
30-12-2016,192.7,193.35,190.25,191.35,3664000,189.1865
29-12-2016,190,193.75,189.95,191.6,13079100,189.4337
28-12-2016,189.5,192.1,189.25,189.9,4245000,187.7529
27-12-2016,190,190.9,187.7,190.3,4972700,188.1484
26-12-2016,192,192.75,188.15,189,4468700,186.8631
23-12-2016,196.95,197.25,192.5,192.95,5637400,190.7684
22-12-2016,200.9,200.9,194.1,194.9,5073900,192.6964
21-12-2016,200.6,202.35,199.65,201.5,4699900,199.2217
20-12-2016,201.4,201.45,197.5,199.85,4487600,197.5904
19-12-2016,203.1,203.4,200.1,201.4,6134600,199.1229
16-12-2016,207.7,207.95,200.8,201.7,6046000,199.4195
15-12-2016,202.8,208.6,201.35,206.45,10011100,204.1158
14-12-2016,206.767,207.633,202.733,203.533,14303500,134.1545
13-12-2016,209.3,209.3,205.833,208,11867700,137.0988
12-12-2016,206.667,209.733,206.667,207.633,7390600,136.8569
09-12-2016,202.767,205.2,202.733,204.533,5012300,134.8136
08-12-2016,198.7,202.933,198.7,202.2,7229700,133.2759
07-12-2016,299.8995,300.45,296.2005,297.1005,6324700,195.8276
06-12-2016,297.3,299.7495,296.6505,298.7505,6281900,196.9151
05-12-2016,289.2,296.6505,289.2,295.3995,5358300,194.7064
02-12-2016,293.7,295.8,290.4,291.2505,7668500,191.9717
01-12-2016,295.0005,298.6005,291,292.1505,12753500,192.5649
30-11-2016,283.9995,291.1995,282.6495,288.9,10633400,190.4224
29-11-2016,284.25,287.8005,281.2995,284.8005,6467500,187.7203
28-11-2016,275.2995,285.4995,274.5495,283.9995,6170100,187.1923
25-11-2016,276.75,279.8505,275.4,277.4505,4391600,182.8757
24-11-2016,280.0005,281.7,275.1,277.2495,7236100,182.7432
23-11-2016,279,281.4495,276,279.9,6432600,184.4902
22-11-2016,280.95,283.5,275.1,277.9005,8852800,183.1723
21-11-2016,275.5995,278.2005,272.6505,276.0495,7038100,181.9522
18-11-2016,273.45,277.7505,273.45,275.1,6513800,181.3264
17-11-2016,271.2495,277.9995,270.1995,273.2505,5879100,180.1073
16-11-2016,279,284.5995,271.0995,272.4,8986900,179.5467
15-11-2016,270.2505,286.4505,269.5005,275.5995,12179900,181.6556
14-11-2016,273.45,273.45,273.45,273.45,0,180.2388
11-11-2016,273,278.8005,270.1005,273.45,6617500,180.2388
10-11-2016,273,279.45,271.2,276,5849200,181.9196
09-11-2016,252.1995,271.0005,250.0005,269.8995,7471700,177.8986
08-11-2016,268.3995,271.6995,265.35,270.6,5654500,178.3603
07-11-2016,273,274.0005,266.3505,267.1995,4419200,176.1189
04-11-2016,267.7995,271.95,265.0005,269.5005,7203400,177.6356
03-11-2016,273.6495,274.0005,267,267.5505,10778100,176.3503
02-11-2016,285,285.7995,275.7495,277.2495,14774700,178.2941
01-11-2016,290.2995,290.2995,281.8005,289.1505,11064300,185.9474
31-10-2016,286.9005,286.9005,286.9005,286.9005,0,184.5004
28-10-2016,292.95,294.45,285.7995,286.9005,10070300,184.5004
27-10-2016,292.0005,297.4005,284.1,290.8005,24448200,187.0085
26-10-2016,288.4995,292.8495,286.3005,290.1,6344100,186.558
25-10-2016,292.9995,293.7,287.5995,288.75,11650000,185.6898
24-10-2016,280.05,293.6505,278.5005,292.35,15753500,188.0049
21-10-2016,280.9995,281.0505,276.0495,279.7995,3639400,179.9339
20-10-2016,280.9005,283.1505,278.0505,281.3505,6078400,180.9313
19-10-2016,277.0005,280.3995,276.4005,278.55,7137400,179.1304
18-10-2016,279.1995,280.9995,274.65,276.4995,7430600,177.8117
17-10-2016,277.05,280.0005,275.55,278.4495,7432500,179.0658
14-10-2016,274.0005,279.1995,271.8,277.05,9532500,178.1658
13-10-2016,268.3995,274.9005,265.2495,272.7495,14122900,175.4002
12-10-2016,266.9505,266.9505,266.9505,266.9505,0,171.671
11-10-2016,266.9505,266.9505,266.9505,266.9505,0,171.671
10-10-2016,269.4,270,263.55,266.9505,7032300,171.671
07-10-2016,270.4005,273.7005,266.7,267.3495,11598600,171.9276
06-10-2016,268.9995,273.45,265.9995,269.1495,9511000,173.0851
05-10-2016,274.0005,275.25,265.65,266.6505,9426800,171.478
04-10-2016,262.0005,274.9005,261.3495,273.5505,17825000,175.9153
03-10-2016,256.9995,261.9495,252.4005,260.25,6960200,167.362
30-09-2016,251.4,257.3505,249.6,256.65,9438700,165.0469
29-09-2016,256.0005,258,248.25,250.1505,14336400,160.8672
28-09-2016,247.9995,252.4005,245.4,251.6505,9666900,161.8318
27-09-2016,249.9,251.8005,246.3495,247.5495,10949900,159.1945
26-09-2016,259.5,260.5005,248.1495,249.5505,13915500,160.4813
23-09-2016,259.05,263.3505,258.45,260.55,7589700,167.5549
22-09-2016,258.9,261.15,258,259.5,8053000,166.8797
21-09-2016,256.9995,259.5,253.6995,255.3495,6438300,164.2106
20-09-2016,254.5005,260.4,253.2495,257.7495,12886200,165.754
19-09-2016,250.7505,255.4995,250.3005,254.1495,6271900,163.4389
16-09-2016,249.4005,253.0005,247.9995,250.3005,12910000,160.9637
15-09-2016,250.05,250.3005,245.1,248.5005,3706200,159.8061
14-09-2016,250.05,252.6,245.2005,248.2005,8058100,159.6132
13-09-2016,250.9995,250.9995,250.9995,250.9995,0,161.4132
12-09-2016,250.0005,252.8505,248.2005,250.9995,7995600,161.4132
09-09-2016,247.0005,257.5005,247.0005,254.9505,17437100,163.954
08-09-2016,250.0005,254.8995,244.0995,246.3,15232800,158.391
07-09-2016,239.2005,246.3,238.3005,244.95,17504200,157.5228
06-09-2016,239.7495,241.6995,238.0005,238.5495,3884500,153.4068
05-09-2016,238.7505,238.7505,238.7505,238.7505,0,153.5361
02-09-2016,237,240.15,235.1505,238.7505,4273100,153.5361
01-09-2016,237,239.1495,235.0995,236.5995,4602400,152.1528
31-08-2016,238.9995,241.2,235.1505,236.2995,9766900,151.9599
30-08-2016,238.5495,242.5005,237.1995,241.6995,4245700,152.2975
29-08-2016,238.3995,239.5005,236.7495,237.3,2465300,149.5253
26-08-2016,238.0995,238.8495,235.9995,238.3995,2902100,150.2181
25-08-2016,241.5,242.7495,237,237.7995,4189700,149.8401
24-08-2016,239.8005,243,239.25,241.0005,3600700,151.857
23-08-2016,237.4995,239.7,236.5995,238.3995,5012400,150.2181
22-08-2016,241.6005,243.9,238.3005,239.3505,3785400,150.8174
19-08-2016,242.2995,243.4995,240.5505,241.6005,5606300,152.2351
18-08-2016,238.3005,242.1495,237.4995,241.35,5751200,152.0773
17-08-2016,235.3995,238.3995,234.2505,237.7995,5430900,149.8401
16-08-2016,235.0005,236.3505,232.3005,235.2,5039500,148.2021
15-08-2016,233.5995,233.5995,233.5995,233.5995,0,147.1936
12-08-2016,232.3005,234.4005,229.8,233.5995,5870200,147.1936
11-08-2016,228.75,231.9,227.25,231.4005,9320200,145.808
10-08-2016,229.0005,231,226.5,229.05,10287900,144.3269
09-08-2016,228.7995,229.8495,227.1,229.0005,11431800,144.2957
08-08-2016,226.3995,226.9995,224.1495,226.0995,3995100,142.4678
05-08-2016,220.9995,226.6995,220.3005,225.9495,4722400,142.3732
04-08-2016,223.9005,223.9005,218.6505,219.8505,5368000,138.5302
03-08-2016,222,222.9,217.9995,218.7495,6926800,137.8364
02-08-2016,218.7495,221.8995,217.6005,221.1,5714400,139.3175
01-08-2016,222.3,223.4505,217.9995,218.8005,4868100,137.8686
29-07-2016,222,223.8495,219.6495,220.0995,4943500,138.6871
28-07-2016,223.2495,225.3,220.6005,221.3505,12199300,139.4754
27-07-2016,224.2005,227.5005,220.05,223.2495,3982900,140.6719
26-07-2016,226.9005,229.6005,223.0995,224.3505,6075600,141.3657
25-07-2016,221.8005,227.2005,221.7,226.8,5161300,142.9091
22-07-2016,222.9,223.65,220.8,222.45,4734100,140.1682
21-07-2016,224.8005,226.7505,222,222.6,4614300,140.2627
20-07-2016,220.9995,224.4,219.75,223.9005,9715800,141.0821
19-07-2016,217.5,222.4995,217.0005,220.9995,10601100,139.2542
18-07-2016,229.0005,229.0005,217.0995,218.5995,11088200,137.7419
15-07-2016,231.1005,232.3005,228.5505,230.25,8673300,145.083
14-07-2016,234.4005,234.75,229.0995,230.55,9416400,145.2721
13-07-2016,233.6505,241.5495,232.1505,234.15,17397400,147.5405
12-07-2016,225.1005,229.4505,225.1005,227.8995,4319600,143.6019
11-07-2016,225,227.5995,223.5495,225,6210100,141.7749
08-07-2016,225,225.3,222.2505,223.3005,3248200,140.7041
07-07-2016,230.7495,231.8505,226.1505,226.6005,5971800,142.7834
06-07-2016,230.7495,230.7495,230.7495,230.7495,0,145.3978
05-07-2016,230.5995,236.4,228.5505,230.7495,6551500,145.3978
04-07-2016,229.5,235.3005,229.5,232.05,16861300,146.2172
01-07-2016,216.9,229.8,216.45,225,8428400,141.7749
30-06-2016,215.8005,219.4995,214.9995,216.3,7536600,136.293
29-06-2016,212.7495,215.1495,212.1,214.7505,3248800,135.3166
28-06-2016,210,211.8495,209.5005,211.35,3242200,133.1739
27-06-2016,208.0005,212.3505,207.7005,210.15,3541800,132.4178
24-06-2016,213.6,213.9,207,209.4,6098500,131.9452
23-06-2016,217.9995,219.5505,214.2,218.5005,4451100,137.6795
22-06-2016,217.4505,219.4005,216,218.3505,4300100,137.585
21-06-2016,215.8005,218.2005,214.9995,217.5495,4754000,137.0803
20-06-2016,210.6495,215.25,210.3495,213.8505,5253300,134.7495
17-06-2016,212.6505,212.7495,210.1995,210.75,4717600,132.7959
16-06-2016,213,213.0495,210.5505,211.6995,3296100,133.3941
15-06-2016,213.3,214.5,212.55,213.7005,2865500,134.655
14-06-2016,213.9495,214.8,211.2,212.8005,3050000,134.0879
13-06-2016,216,216.4005,212.5005,213.2505,2914800,134.3715
10-06-2016,220.0005,222.7005,217.0005,218.2005,4451900,137.4905
09-06-2016,217.05,222.3,217.0005,220.65,10532600,139.034
08-06-2016,214.5,217.2495,214.0005,215.7495,5491900,135.9461
07-06-2016,211.9995,213.9495,211.7505,212.9505,5568400,134.1824
06-06-2016,212.7,213.3495,210.3,210.7995,3665300,132.8271
03-06-2016,213.7995,214.5,211.0995,211.8495,4345900,133.4887
02-06-2016,210.4995,213.8505,209.1495,212.8005,4079500,134.0879
01-06-2016,211.3995,213.3,210.1005,210.6495,4521800,132.7325
31-05-2016,214.9995,215.5005,209.8005,210.75,8791200,132.7959
30-05-2016,214.0005,215.7,213,213.45,4589100,134.4972
27-05-2016,217.9995,218.8995,211.8,213,10044000,134.2136
26-05-2016,211.0005,221.1495,210.7005,216.0495,13519800,136.1351
25-05-2016,208.6995,210.75,208.1505,210.15,3108400,132.4178
24-05-2016,208.5,208.6995,204.5505,206.6505,4087500,130.2127
23-05-2016,214.2,214.5,207.4995,208.1505,5845600,131.1579
20-05-2016,211.8,214.65,210.45,213.1005,4576900,134.2769
19-05-2016,213,213.2505,209.2005,210.0495,6740300,132.3545
18-05-2016,210.3,215.2995,209.5995,214.2495,8832200,135.0009
17-05-2016,205.6005,211.9995,205.0995,210.2505,14657400,132.4811
16-05-2016,204.4005,204.9,199.9995,202.6005,10092500,127.6608
13-05-2016,205.95,205.95,202.0005,203.7495,7262000,128.3848
12-05-2016,208.0995,208.4505,204.75,206.2995,7061300,129.9916
11-05-2016,206.9505,206.9505,203.1,205.2495,5481000,129.3299
10-05-2016,211.95,211.95,206.2995,207.9,3924100,131.0001
09-05-2016,209.8995,212.5005,209.1,211.6005,4008600,133.3318
06-05-2016,210.5505,210.6495,207.1005,208.4505,3327800,131.3469
05-05-2016,211.95,213.2505,210,210.4995,4590100,132.638
04-05-2016,214.8,215.2995,210,210.6495,4247700,132.7325
03-05-2016,219.0495,219.7005,213,215.2995,5806300,135.6626
02-05-2016,217.9995,220.9005,216,217.7505,4911800,137.207
29-04-2016,218.0505,220.7505,215.5995,217.2495,6088400,136.8913
28-04-2016,222.3,225.4005,215.25,216.8505,11597800,136.6399
27-04-2016,216,223.7505,215.8995,221.8005,10536400,139.7589
26-04-2016,212.2005,215.5995,210.9495,214.3005,4140000,135.0331
25-04-2016,216.45,216.45,211.6995,212.2995,2813800,133.7722
22-04-2016,215.8995,217.35,212.6505,216.1005,4497200,136.1673
21-04-2016,212.1495,214.4505,211.7505,212.9505,7037100,134.1824
20-04-2016,208.9005,210.7005,208.05,209.85,4820400,132.2288
19-04-2016,207.5505,207.5505,207.5505,207.5505,0,130.7798
18-04-2016,211.7505,211.7505,206.1,207.5505,4950200,130.7798
15-04-2016,213.3495,213.3495,213.3495,213.3495,0,134.4338
14-04-2016,213.3495,213.3495,213.3495,213.3495,0,134.4338
13-04-2016,214.9995,215.4,212.8005,213.3495,6437600,134.4338
12-04-2016,207.8505,212.6505,207.15,211.35,6343200,133.1739
11-04-2016,208.6005,209.25,205.2,207.6,5192600,130.811
08-04-2016,207.7995,209.4495,205.65,206.1495,2418200,129.897
07-04-2016,209.0505,209.5005,206.7,207.75,5045000,130.9055
06-04-2016,206.7,208.0005,204,206.1,4317500,129.8658
05-04-2016,205.9995,208.5,204.0495,205.5,4906700,129.4878
04-04-2016,208.4505,208.65,204.5505,207.3,5494000,130.622
01-04-2016,214.5,214.95,208.0995,208.8,10266100,131.5671
31-03-2016,214.6995,217.5495,212.1495,214.0995,18261600,134.9064
30-03-2016,213,219,212.2995,217.9005,5849800,137.3015
29-03-2016,215.9505,216,210.7005,212.25,5003100,133.741
28-03-2016,216.4995,218.7,212.4,213.9495,7205900,134.8119
25-03-2016,214.6005,214.6005,214.6005,214.6005,0,135.2221
24-03-2016,214.6005,214.6005,214.6005,214.6005,0,135.2221
23-03-2016,216.4005,217.7505,211.9005,214.6005,5978200,135.2221
22-03-2016,216.6495,219.15,214.9995,216.1005,6610500,136.1673
21-03-2016,214.0005,217.5,213,216.6495,5801700,136.5132
18-03-2016,213.75,214.9995,212.5005,214.6005,6776200,135.2221
17-03-2016,208.5495,214.9005,208.5,212.25,8394300,133.741
16-03-2016,207.3,208.7505,204.9,206.5005,5188600,130.1182
15-03-2016,205.9995,207.9,205.05,207.4005,5504400,129.9764
14-03-2016,207.4995,208.9995,205.7505,208.2495,7498600,130.5085
11-03-2016,207.6,207.6,202.2,205.0995,14262100,128.5344
10-03-2016,208.95,208.95,204.3495,205.6995,13467800,128.9104
09-03-2016,202.0005,205.9995,201.3,205.2495,7688800,128.6284
08-03-2016,202.7505,206.3505,201,201.8505,12258700,126.4983
07-03-2016,200.7,200.7,200.7,200.7,0,125.7773
04-03-2016,199.9005,204.4005,199.0005,200.7,22523000,125.7773
03-03-2016,196.5,200.85,193.7505,197.2005,16866700,123.5842
02-03-2016,194.4,197.2995,192.1005,194.9505,15524900,122.1741
01-03-2016,193.9005,193.9005,188.55,191.5005,23118100,120.012
29-02-2016,217.2495,221.1,192.4995,194.1,23809800,121.6411
26-02-2016,217.3995,218.55,214.0995,216.0495,4205800,135.3967
25-02-2016,212.4,217.8,209.5995,216.2505,5778400,135.5227
24-02-2016,212.8005,212.8005,208.2,209.4,2618100,131.2295
23-02-2016,215.7,217.8,211.8495,214.6005,3593300,134.4886
22-02-2016,211.9995,215.1,210.7005,214.3995,3601800,134.3627
19-02-2016,206.9505,212.1,205.9995,211.1505,5419000,132.3265
18-02-2016,203.6505,210.6,202.9995,209.1,7799600,131.0415
17-02-2016,199.9995,202.0005,197.2005,200.3505,7290000,125.5583
16-02-2016,203.6505,206.1,198.1005,199.95,10491000,125.3073
15-02-2016,198.6,201.1995,194.6505,200.3505,7157800,125.5583
12-02-2016,199.9995,199.9995,187.7505,193.2495,10102600,121.1081
11-02-2016,213.7995,213.9,200.0505,203.1495,8787000,127.3124
10-02-2016,213.8505,216,210.7995,213.4995,4066700,133.7986
09-02-2016,210.9,219.5505,210.4995,218.1495,3651700,136.7128
08-02-2016,220.0005,220.2,211.65,214.05,2764100,134.1436
05-02-2016,220.3005,221.85,217.5495,219.9495,5710600,137.8408
04-02-2016,217.9005,220.5,216.2505,220.0005,6016500,137.8728
03-02-2016,213.7005,217.0005,210.3,213.0495,4843900,133.5166
02-02-2016,222.1995,224.4,215.4,216.5505,6900400,135.7107
01-02-2016,227.8005,227.8005,221.55,225.0495,3822700,141.0369
29-01-2016,221.2995,227.85,220.9995,226.2495,12759700,141.789
28-01-2016,217.9995,220.8,215.25,219.9,8761000,137.8098
27-01-2016,219.7005,221.7495,217.0005,218.4,6744000,136.8698
26-01-2016,219.6495,219.6495,219.6495,219.6495,0,137.6528
25-01-2016,220.3995,221.25,216.5505,219.6495,4864000,137.6528
22-01-2016,211.95,217.0005,209.8005,216.2505,7253700,135.5227
21-01-2016,213.6495,214.7505,205.95,207.3,8879500,129.9134
20-01-2016,214.0995,215.1,209.2005,213.3,6518900,133.6736
19-01-2016,215.5995,219.4005,211.5,217.9995,3797900,136.6187
18-01-2016,217.0005,217.9995,211.2495,214.3995,5734000,134.3627
15-01-2016,224.4,224.4,217.8,219.45,4512500,137.5278
14-01-2016,220.95,225.4995,216.6,223.2495,6523500,139.9089
13-01-2016,223.0005,223.95,217.5495,223.2,5384500,139.8779
12-01-2016,223.9995,224.2995,220.0005,221.3505,5543600,138.7188
11-01-2016,226.0005,227.25,222.15,225.4995,6413300,141.3189
08-01-2016,228,231.7995,225.6495,230.1495,6898300,144.2331
07-01-2016,231,233.8995,224.0505,226.6005,7609300,142.0089
06-01-2016,241.9995,242.2995,234.6495,237.5505,3007200,148.8712
05-01-2016,240,244.2495,239.0505,241.8495,3646300,151.5654
04-01-2016,241.0005,244.8,235.65,238.05,3125100,149.1843
01-01-2016,239.8995,243.4005,238.0995,242.5005,2771900,151.9734
31-12-2015,239.5005,243.7995,235.1505,241.7505,6598600,151.5033
30-12-2015,240,242.8005,239.4,239.8995,3927800,150.3433
29-12-2015,240,241.8495,237.45,239.7495,3552800,150.2493
28-12-2015,234,241.3005,234,240.1995,5296600,150.5313
25-12-2015,233.85,233.85,233.85,233.85,0,146.5521
24-12-2015,238.0005,239.8005,233.2995,233.85,4388500,146.5521
23-12-2015,232.9005,236.4,231.2505,235.5495,6021300,147.6172
22-12-2015,230.4495,232.5,228.3,230.55,4596800,144.4841
21-12-2015,223.0005,231.0495,221.7,230.4495,4999300,144.4211
