Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,87.65,88.1,86.05,86.55,4159100,86.55
23-03-2017,87.05,87.7,86.7,87.1,4769600,87.1
22-03-2017,87,87.5,86.3,86.95,3390600,86.95
21-03-2017,87.8,87.9,86.5,87.65,3260800,87.65
20-03-2017,86.5,87.9,86.3,87.15,4079000,87.15
17-03-2017,87,87.2,85.7,86.35,5676600,86.35
16-03-2017,85.5,86.65,84,86.2,3900900,86.2
15-03-2017,84,85.75,83.45,85.05,6653300,85.05
14-03-2017,84,84,82.4,83.65,3935400,83.65
13-03-2017,81.95,81.95,81.95,81.95,0,81.95
10-03-2017,82.3,83.2,81.3,81.95,1925900,81.95
09-03-2017,82,82.65,81.5,82.2,4968100,82.2
08-03-2017,83.25,83.35,81.95,82.1,3008700,82.1
07-03-2017,82.9,83.75,82.7,83,7309700,83
06-03-2017,82,82.75,81.9,82.45,4706500,82.45
03-03-2017,80.95,82.95,80.8,81.9,5871200,81.9
02-03-2017,82.35,82.7,80.75,81.05,2051100,81.05
01-03-2017,82.75,83.3,81.65,81.95,3931600,81.95
28-02-2017,82.85,84.6,82.35,82.6,4371200,82.6
27-02-2017,83.8,84,82.45,82.7,2257500,82.7
24-02-2017,83.45,83.45,83.45,83.45,0,83.45
23-02-2017,84.05,85.5,83,83.45,5234900,83.45
22-02-2017,84.2,85.8,83.4,84.15,3266600,84.15
21-02-2017,85.95,85.95,83.8,84.25,3393300,84.25
20-02-2017,84.45,86,84.15,85.35,4558800,85.35
17-02-2017,83.7,85,82.7,84.1,4841200,84.1
16-02-2017,82,83.45,81.1,83.15,2925700,83.15
15-02-2017,83.5,84.15,81.25,81.7,2627300,81.7
14-02-2017,83.7,84.15,82.65,83.5,3619600,83.5
13-02-2017,82,83.65,81.5,83.4,3417000,83.4
10-02-2017,82,83,81,81.6,7624400,81.6
09-02-2017,82,82.5,80.55,81.6,3367700,81.6
08-02-2017,81.3,82.4,81,81.65,3418300,81.65
07-02-2017,82.45,82.6,80.7,81.2,2860700,81.2
06-02-2017,81.05,82.5,80.85,82.25,2498800,82.25
03-02-2017,81.05,82,80.25,80.65,2963900,80.65
02-02-2017,80.7,82,79.45,80.45,2895200,80.45
01-02-2017,80.1,80.8,79,80.5,2843700,80.5
31-01-2017,80.5,82.75,79.4,79.8,5627700,79.8
30-01-2017,81,81.8,80.25,80.55,1829000,80.55
27-01-2017,80.2,81.5,80.1,81,2690700,81
26-01-2017,80.1,80.1,80.1,80.1,0,80.1
25-01-2017,80.05,81.3,79.3,80.1,5123900,80.1
24-01-2017,77.65,80.4,77.6,79.9,2965200,79.9
23-01-2017,77.5,78.55,77.3,77.55,4403300,77.55
20-01-2017,79,79.35,77.15,77.55,2916400,77.55
19-01-2017,79.25,79.55,78.5,79.3,4536800,79.3
18-01-2017,78.05,79.15,77.9,78.65,2845200,78.65
17-01-2017,78.15,78.5,77.45,77.85,1536400,77.85
16-01-2017,79.5,79.65,77.55,77.75,2584500,77.75
13-01-2017,80,80.2,78.65,79.3,4239200,79.3
12-01-2017,77,80.25,77,79.3,10133200,79.3
11-01-2017,77.9,77.95,76.7,76.85,2098600,76.85
10-01-2017,76.3,77.35,76.3,77.1,2121600,77.1
09-01-2017,77.4,77.4,76.25,76.4,1185500,76.4
06-01-2017,77.4,77.8,76.8,77.1,2891400,77.1
05-01-2017,76.1,77,76,76.85,2567500,76.85
04-01-2017,75.8,76.7,75.35,75.8,2803900,75.8
03-01-2017,75.8,76.35,75.05,75.65,2334200,75.65
02-01-2017,75.9,76.3,75.2,75.4,2053500,75.4
30-12-2016,76.2,78.05,75,75.9,5312600,75.9
29-12-2016,73.95,75.95,73.5,75.15,2634400,75.15
28-12-2016,73.7,74.95,73.65,73.9,1410500,73.9
27-12-2016,73.5,73.9,72.85,73.6,1190900,73.6
26-12-2016,73.8,74.25,73.3,73.5,2706300,73.5
23-12-2016,75.5,75.5,72.55,73.95,3375400,73.95
22-12-2016,75.8,76.35,74.4,74.75,1979300,74.75
21-12-2016,77.05,77.3,75.7,76.05,4125500,76.05
20-12-2016,77.7,79.3,76.3,76.55,4427900,76.55
19-12-2016,76.6,78,76.55,77.15,2739900,77.15
16-12-2016,78.4,78.45,76.3,76.6,3776000,76.6
15-12-2016,78,80.25,77.65,78.15,18054400,78.15
14-12-2016,77.9,78.9,77.35,78.7,8826400,78.7
13-12-2016,77.95,78,76.6,77.6,3380600,77.6
12-12-2016,76.85,77,75.65,76.65,4574900,76.65
09-12-2016,75.7,77.5,75.15,77.05,9503900,77.05
08-12-2016,75,75.8,74.8,75.55,3878700,75.55
07-12-2016,75.3,78,73.9,74.3,14527200,74.3
06-12-2016,74.9,75.8,74.35,75.2,8017400,75.2
05-12-2016,73.45,74.35,72.75,73.15,3703900,73.15
02-12-2016,72.65,74.65,72.3,73.45,6273500,73.45
01-12-2016,74.8,75.1,72.5,72.85,4458500,72.85
30-11-2016,72.2,74.5,70.9,74.05,10053500,74.05
29-11-2016,73.35,73.45,72,72.25,4671900,72.25
28-11-2016,70.5,73.2,70.1,72.7,4400600,72.7
25-11-2016,69.55,70.8,69.3,70.05,1479400,70.05
24-11-2016,69,70.05,68.5,69.4,7541300,69.4
23-11-2016,69.7,69.85,68.75,69.3,3746400,69.3
22-11-2016,69.1,69.7,68.4,68.95,3736600,68.95
21-11-2016,70.15,70.5,68.05,68.6,6898200,68.6
18-11-2016,70.6,70.95,69.45,70.05,4256700,70.05
17-11-2016,71.5,72.55,69.95,70.15,3410100,70.15
16-11-2016,69.7,71.35,69.3,70.7,4243000,70.7
15-11-2016,72.5,72.5,68.6,69.25,4954900,69.25
14-11-2016,72.1,72.1,72.1,72.1,0,72.1
