Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,38.2,39,37.9,38.65,12317000,38.65
23-03-2017,37.45,38.4,36.5,37.85,10897100,37.85
22-03-2017,37.9,37.95,37.25,37.45,8367200,37.45
21-03-2017,38.4,38.45,37.5,38.25,9062900,38.25
20-03-2017,38.65,39.75,37.2,38.25,22978700,38.25
17-03-2017,38.2,38.45,37.3,38.25,19090200,38.25
16-03-2017,37.25,38.4,37.15,38.2,25905700,38.2
15-03-2017,36.45,38.1,36.2,36.8,22697000,36.8
14-03-2017,36.75,37.25,36.1,36.35,16264600,36.35
13-03-2017,36.05,36.05,36.05,36.05,0,36.05
10-03-2017,35.75,36.4,35.35,36.05,24667400,36.05
09-03-2017,34.5,35.9,33.75,35.5,81214600,35.5
08-03-2017,36.3,36.4,34.15,34.55,21443700,34.55
07-03-2017,37.45,37.65,35.6,36.15,19333200,36.15
06-03-2017,37.25,38.05,37.15,37.5,10034500,37.5
03-03-2017,37.35,37.85,36.85,37.45,13842800,37.45
02-03-2017,38.65,39.25,37.15,37.3,18863800,37.3
01-03-2017,39.2,40.1,38.35,38.75,24030500,38.75
28-02-2017,36.9,39.95,36.75,38.9,40706000,38.9
27-02-2017,37,37.5,36.5,36.7,17095700,36.7
24-02-2017,36.9,36.9,36.9,36.9,0,36.9
23-02-2017,36.1,38.1,36.1,36.9,56125900,36.9
22-02-2017,35.35,36.4,35.2,35.75,22752900,35.75
21-02-2017,34.75,36.5,34.45,35.35,32546400,35.35
20-02-2017,33.65,35.5,33.55,34.65,23735600,34.65
17-02-2017,33.6,33.7,32.85,33.15,11724100,33.15
16-02-2017,32.45,33.4,32.35,33.25,11576500,33.25
15-02-2017,34.5,34.6,32.25,32.7,25989800,32.7
14-02-2017,33.6,34.8,33.3,34.5,16145600,34.5
13-02-2017,34.2,34.2,33,33.55,13140500,33.55
10-02-2017,35.5,35.9,34.3,34.6,16611300,34.6
09-02-2017,35.8,36.1,35.05,35.45,13002700,35.45
08-02-2017,35.6,36.65,35.4,35.65,15871500,35.65
07-02-2017,35.85,36.65,35.4,35.55,13623900,35.55
06-02-2017,36.75,37.4,35.7,35.85,23914600,35.85
03-02-2017,34.75,40.4,34.2,36.65,87824900,36.65
