Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,341.4,347.7,338.2,340.5,4784500,340.5
23-03-2017,338.8,341.7,335.55,338.5,4291800,338.5
22-03-2017,347,348.5,325.8,338.2,8071200,338.2
21-03-2017,349,351.8,345.05,349.9,2263100,349.9
20-03-2017,346,352.3,339.25,349.4,4270000,349.4
17-03-2017,361.15,363,344,346.85,5748700,346.85
16-03-2017,364,365.6,359.1,360.65,2407100,360.65
15-03-2017,360,366.15,356.2,363.2,6660000,363.2
14-03-2017,366,369.8,358.6,361.1,5336600,361.1
13-03-2017,364.9,364.9,364.9,364.9,0,364.9
10-03-2017,360.85,366.5,359.95,364.9,2090700,364.9
09-03-2017,359.85,361.9,356.65,360.2,1175400,360.2
08-03-2017,360.2,364.1,358.5,360.7,2725800,360.7
07-03-2017,361,362.45,356.35,361.1,2858100,361.1
06-03-2017,360,364,357.2,361.5,2976600,361.5
03-03-2017,356.85,361.5,353.3,356.15,3624500,356.15
02-03-2017,364,366,352.2,356.85,4197800,356.85
01-03-2017,368.55,368.85,361.45,362.75,3448500,362.75
28-02-2017,357,373.1,356.4,365.15,12156300,365.15
27-02-2017,367,367.45,352.55,355.7,9082200,355.7
24-02-2017,366.25,366.25,366.25,366.25,0,366.25
23-02-2017,371,401,363.7,366.25,35600100,366.25
22-02-2017,362.9,372.5,359.1,361,6787500,361
21-02-2017,372.1,377.9,359.5,362.85,6334100,362.85
20-02-2017,370.15,379,370.15,375.35,3493300,375.35
17-02-2017,367,372.2,362.3,369.5,2299800,369.5
16-02-2017,361.3,368.9,360.3,365.7,3650000,365.7
15-02-2017,369.9,372.5,360.1,365.3,3582000,365.3
14-02-2017,357.5,369.9,355,368.95,4271200,368.95
13-02-2017,353.45,360,353.35,358.05,3306700,358.05
10-02-2017,357,360.4,355.05,357.55,1986200,357.55
09-02-2017,352.05,357,350.8,355.25,1842100,355.25
08-02-2017,355,355.85,346.9,352.2,4405600,352.2
07-02-2017,354.2,358.8,350.8,353.15,3660900,353.15
06-02-2017,354,356.95,352.65,355.25,1355800,355.25
03-02-2017,353.3,362,352.2,353.8,2399700,353.8
02-02-2017,345,359.8,344.25,353.3,6277200,353.3
01-02-2017,346,349.9,340.15,345.1,3698700,345.1
31-01-2017,349.05,353,343.05,348.2,10573600,348.2
30-01-2017,323.1,369.95,322.1,345.65,20946100,345.65
27-01-2017,310.3,328,310.3,323.75,3191300,323.75
26-01-2017,311.35,311.35,311.35,311.35,0,311.35
25-01-2017,305,314.7,305,311.35,13456800,311.35
24-01-2017,318,319,314.65,316.5,2157200,316.5
23-01-2017,321,322,315.4,319.65,1789200,319.65
20-01-2017,314.05,327.5,314.05,320.55,3411100,320.55
19-01-2017,314,322.6,311,317.1,2277300,317.1
18-01-2017,318,318.8,311.25,313.9,3307700,313.9
17-01-2017,318.9,319.8,317.1,318.5,1848400,318.5
16-01-2017,320,323.4,317.3,318.6,1686800,318.6
13-01-2017,322.4,325,316,320.2,2356000,320.2
12-01-2017,323.45,325.35,320,321.8,1514300,321.8
11-01-2017,321.1,324.65,318.8,322.75,2352000,322.75
10-01-2017,319,321,317.05,320.1,953600,320.1
09-01-2017,320.6,321.4,316.2,317.95,2374900,317.95
06-01-2017,319.15,330,318.3,319.75,2394500,319.75
05-01-2017,313.15,323,310.05,321.1,3846800,321.1
04-01-2017,302.4,315.2,299.15,313.9,5205800,313.9
03-01-2017,311.95,313.95,300,304.45,2961800,304.45
02-01-2017,303.1,312,303.1,311,1480900,311
30-12-2016,301.3,307.1,300.1,305.65,1761900,305.65
29-12-2016,301.4,304.45,297.5,303,3200800,303
28-12-2016,299,303.1,296.8,299.5,2613000,299.5
27-12-2016,296,300.8,291.15,299.6,2296500,299.6
26-12-2016,294.5,297,288.7,296.1,2451000,296.1
23-12-2016,295.4,297.15,291.15,295.55,1845200,295.55
22-12-2016,299.5,300.95,290.25,292.25,2844500,292.25
21-12-2016,304.1,306.35,300,301.7,2389800,301.7
20-12-2016,306,306.75,299.1,302.55,3241000,302.55
19-12-2016,310.4,311.5,304.1,305.5,3718500,305.5
16-12-2016,319,319.6,308.45,310.25,3967000,310.25
15-12-2016,320.8,322.35,317.5,318.45,2769700,318.45
14-12-2016,328.1,329.75,321.5,322.6,1335100,322.6
13-12-2016,326,330.95,326,330,958800,330
12-12-2016,329.5,330,326.55,329.15,698600,329.15
09-12-2016,334.15,337.45,329.1,332,2385000,332
08-12-2016,330.8,334,328.4,332.45,1857700,332.45
07-12-2016,329.7,334.95,325.1,328.15,2613200,328.15
06-12-2016,326.9,331.95,324.75,328.85,2832100,328.85
05-12-2016,317.5,328.65,317.5,326.75,2236200,326.75
02-12-2016,315,321.3,314.3,318.6,1654700,318.6
01-12-2016,324,324.8,313.55,318.2,6420800,318.2
30-11-2016,325,326.8,323.8,324.6,4500400,324.6
29-11-2016,320.8,326,316.8,324.85,4070300,324.85
28-11-2016,301,321.2,301,318.8,4403900,318.8
25-11-2016,302.9,306,298.65,301,1891800,301
24-11-2016,301,304.7,298.4,302.4,4321900,302.4
23-11-2016,305.45,308.25,299.15,300.55,1775700,300.55
22-11-2016,301,305.45,295,303.95,2998800,303.95
21-11-2016,304.4,305.55,297.45,299.5,1645800,299.5
18-11-2016,298.4,304.45,295.25,303.75,3281700,303.75
17-11-2016,311.4,315.6,295.15,297.15,3818200,297.15
16-11-2016,305.05,311.35,303.3,309.65,2475700,309.65
15-11-2016,303,304.9,294,302.65,2806800,302.65
14-11-2016,301.4,301.4,301.4,301.4,0,301.4
11-11-2016,304,307.95,298.35,301.4,1699800,301.4
10-11-2016,305,314.1,303.25,308.65,2875800,308.65
09-11-2016,288,305,283.05,301,5110000,301
08-11-2016,306.6,306.75,301,304.9,1376800,304.9
07-11-2016,311.9,311.9,303.7,305.6,1664700,305.6
04-11-2016,309.75,310.55,304.05,306.7,2141500,306.7
03-11-2016,309,315.35,305.3,308.95,2693900,308.95
02-11-2016,315.5,315.6,308.65,309.6,2002200,309.6
01-11-2016,318,320.7,316.25,317.45,2161800,317.45
31-10-2016,318.85,318.85,318.85,318.85,0,318.85
28-10-2016,322.95,322.95,318.25,318.85,1411600,318.85
27-10-2016,314.55,325.65,313.6,323.1,5061200,323.1
26-10-2016,315,322.9,314.8,317.7,5893300,317.7
25-10-2016,303.5,312.4,301.7,311.8,3627300,311.8
24-10-2016,306.35,308,303.65,306.65,1969300,306.65
21-10-2016,311.4,311.4,305.6,309.75,2129400,309.75
20-10-2016,307.1,310.5,305,309.1,4768000,309.1
19-10-2016,306.65,309.45,304,306.95,4572900,306.95
18-10-2016,302,308,297.05,306.65,4599000,306.65
17-10-2016,305.4,305.85,296.25,301.3,3406400,301.3
14-10-2016,307.9,307.9,302.4,305.4,4894900,305.4
13-10-2016,312.95,313.9,305.5,306.75,3100400,306.75
12-10-2016,315.9,315.9,315.9,315.9,0,315.9
11-10-2016,315.9,315.9,315.9,315.9,0,315.9
