Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,734.5,740,727,729.15,582500,729.15
23-03-2017,732.3,735.9,725.05,733.55,451700,733.55
22-03-2017,747,747,726,728,492500,728
21-03-2017,763.4,767.4,742.8,746.3,455300,746.3
20-03-2017,764.5,768.15,757.05,762.1,289200,762.1
17-03-2017,780,783.9,760.6,763.2,770900,763.2
16-03-2017,751.55,782,750.1,776.45,832700,776.45
15-03-2017,747.5,759.95,737.7,752.45,658000,752.45
14-03-2017,755.05,761,743.6,747.5,344300,747.5
13-03-2017,751.85,751.85,751.85,751.85,0,751.85
10-03-2017,753.5,762,747.8,751.85,484800,751.85
09-03-2017,744.8,755.4,741.6,752.75,496200,752.75
08-03-2017,752.7,757.45,743.6,747.35,416600,747.35
07-03-2017,761,766.9,752.15,754.05,578100,754.05
06-03-2017,746,761.2,740.35,759.6,1039800,759.6
03-03-2017,732.6,747,728.55,744.3,212500,744.3
02-03-2017,746,750.5,729.3,732.85,315500,732.85
01-03-2017,737.15,747.45,734.95,743.15,372100,743.15
28-02-2017,730,755.65,730,737.15,896600,737.15
27-02-2017,742,746.85,726.85,728.9,410600,728.9
24-02-2017,741.9,741.9,741.9,741.9,0,741.9
23-02-2017,743.6,754,738,741.9,1148300,741.9
22-02-2017,752.05,758.9,736,740.8,652900,740.8
21-02-2017,753,757.8,746.35,750.6,461500,750.6
20-02-2017,756.7,761.95,744.35,749.65,950500,749.65
17-02-2017,744.75,756,733.5,752.1,771700,752.1
16-02-2017,733.05,745,728.6,742.1,565400,742.1
15-02-2017,741,746.5,723.25,730.5,430600,730.5
14-02-2017,741.5,747.4,728,743.35,769700,743.35
13-02-2017,752,765.1,733.2,741.55,1009100,741.55
10-02-2017,776.85,777.4,749,751.75,1152000,751.75
09-02-2017,765,782.5,765,774.6,1304700,774.6
08-02-2017,749.75,765,747.95,761.05,320400,761.05
07-02-2017,758,764.9,743,746.3,586000,746.3
06-02-2017,754.9,760.95,742.55,755.4,669700,755.4
03-02-2017,760,767.15,747,749.2,1824800,749.2
02-02-2017,726.95,775.4,725.4,756.05,3181900,756.05
01-02-2017,709,724.5,706.7,721.75,941800,721.75
31-01-2017,731.85,734.8,703.8,706.6,914700,706.6
30-01-2017,720,751.3,716.25,729.15,2170800,729.15
27-01-2017,714.45,732.95,711.35,721.8,967500,721.8
26-01-2017,713.6,713.6,713.6,713.6,0,713.6
25-01-2017,708.1,719.8,705.2,713.6,1986300,713.6
24-01-2017,680,713.8,672,708.9,3203600,708.9
23-01-2017,676.8,682.5,664.25,672.95,909100,672.95
20-01-2017,686,692.5,668.3,674.15,1018300,674.15
19-01-2017,680,697.9,680,686.3,1754900,686.3
18-01-2017,671.65,686.5,668.1,674.35,884300,674.35
17-01-2017,673.5,680.7,665.5,671.3,894200,671.3
16-01-2017,666.05,684.5,662.2,675.65,751400,675.65
13-01-2017,680.2,681.15,665.8,672,1461500,672
12-01-2017,636,675.55,631.75,671.85,2642900,671.85
11-01-2017,631.95,638.75,628.7,634.1,479100,634.1
10-01-2017,635,643.05,626.25,631.2,712000,631.2
09-01-2017,633.3,645.5,626.55,630.35,649200,630.35
06-01-2017,638,644.4,630.9,633.6,535500,633.6
05-01-2017,631,639.8,624.1,637.45,481300,637.45
04-01-2017,626,638.8,623.45,625.7,557200,625.7
03-01-2017,629.5,633.5,622,625.65,209500,625.65
02-01-2017,626.85,631.7,620,629.25,290000,629.25
30-12-2016,619.8,629.85,613,627.6,390700,627.6
29-12-2016,601.2,620.9,598.1,616.75,469600,616.75
28-12-2016,619.3,625.9,604.25,605.85,483500,605.85
27-12-2016,604,621,595.25,619.3,450200,619.3
26-12-2016,622.7,631,598,603.4,579100,603.4
