Revenue,3/31/2009
Total Revenue,3639000
Cost of Revenue,2814000
Gross Profit,825000
Operating Expenses
Research Development,-
Selling General and Administrative,-
Non Recurring,-
Others,-
Total Operating Expenses,3369000
Operating Income or Loss,270000
Income from Continuing Operations
Total Other Income/Expenses Net,-
Earnings Before Interest and Taxes,270000
Interest Expense,-99000
Income Before Tax,-
Income Tax Expense,36000
Minority Interest,-
Net Income From Continuing Ops,-
Non-recurring Events
Discontinued Operations,-
Extraordinary Items,-
Effect Of Accounting Changes,-
Other Items,-
Net Income
Net Income,163000
Preferred Stock And Other Adjustments,-
Net Income Applicable To Common Shares,-
