Revenue,6/30/2014
Total Revenue,3491000
Cost of Revenue,2635000
Gross Profit,856000
Operating Expenses
Research Development,-
Selling General and Administrative,-
Non Recurring,-
Others,-
Total Operating Expenses,3115000
Operating Income or Loss,376000
Income from Continuing Operations
Total Other Income/Expenses Net,-
Earnings Before Interest and Taxes,376000
Interest Expense,-52000
Income Before Tax,-
Income Tax Expense,105000
Minority Interest,-
Net Income From Continuing Ops,-
Non-recurring Events
Discontinued Operations,-
Extraordinary Items,-
Effect Of Accounting Changes,-
Other Items,-
Net Income
Net Income,225000
Preferred Stock And Other Adjustments,-
Net Income Applicable To Common Shares,-
