Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,1015.00,1023.50,1003.00,1015.20001,827300,1015.20001
2017-03-23,1014.15002,1014.50,996.65002,1008.34998,866700,1008.34998
2017-03-22,1010.00,1038.80005,995.00,1014.50,1019100,1014.50
2017-03-21,1037.55005,1037.55005,1008.40002,1017.84998,575800,1017.84998
2017-03-20,1041.00,1044.94995,1030.00,1037.55005,346500,1037.55005
2017-03-17,1053.80005,1054.15002,1031.94995,1035.59998,502000,1035.59998
2017-03-16,1040.05005,1054.00,1040.05005,1046.30005,464500,1046.30005
2017-03-15,1036.80005,1048.69995,1031.94995,1034.30005,545700,1034.30005
2017-03-14,1054.00,1054.94995,1030.50,1035.50,494700,1035.50
2017-03-13,1032.69995,1032.69995,1032.69995,1032.69995,000,1032.69995
2017-03-10,1039.90002,1044.00,1028.00,1032.69995,188700,1032.69995
2017-03-09,1042.50,1058.00,1027.00,1031.69995,592800,1031.69995
2017-03-08,1058.94995,1058.94995,1033.00,1042.50,365600,1042.50
2017-03-07,1065.25,1074.84998,1046.00,1049.09998,454600,1049.09998
2017-03-06,1078.00,1089.00,1062.50,1072.90002,1672700,1072.90002
2017-03-03,1040.00,1048.84998,1016.00,1043.00,699700,1043.00
2017-03-02,1058.80005,1075.00,1035.00,1041.80005,847700,1041.80005
2017-03-01,1053.30005,1063.94995,1042.40002,1051.94995,430300,1051.94995
2017-02-28,1056.59998,1061.50,1049.50,1053.44995,354200,1053.44995
2017-02-27,1070.05005,1071.00,1049.19995,1058.34998,428000,1058.34998
2017-02-24,1071.50,1071.50,1071.50,1071.50,000,1071.50
2017-02-23,1063.00,1095.00,1063.00,1071.50,1400600,1071.50
2017-02-22,1082.00,1083.94995,1061.00,1064.80005,530100,1064.80005
2017-02-21,1077.00,1086.94995,1065.00,1081.00,511200,1081.00
2017-02-20,1064.00,1083.84998,1052.59998,1076.30005,639800,1076.30005
2017-02-17,1082.00,1084.30005,1058.00,1061.05005,646000,1061.05005
2017-02-16,1028.00,1091.50,1021.65002,1081.09998,1954700,1081.09998
2017-02-15,1030.09998,1050.00,1011.00,1019.75,842900,1017.24998
2017-02-14,1047.00,1049.00,1032.65002,1039.25,698400,1036.70218
2017-02-13,1012.00,1047.00,1012.00,1040.90002,1072900,1038.34816
2017-02-10,1025.94995,1036.50,1005.00,1011.54999,1281900,1009.07007
2017-02-09,969.50,1023.65002,968.09998,1017.75,1746500,1015.25489
2017-02-08,983.79999,1002.90002,960.00,967.04999,3045500,964.67917
2017-02-07,992.00,994.65002,974.00,981.54999,588400,979.14362
2017-02-06,970.09998,992.00,970.09998,989.15002,1261900,986.72503
2017-02-03,969.75,976.65002,945.00,948.79999,521200,946.47391
2017-02-02,969.50,985.00,957.65002,969.75,873400,967.37256
