Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,6047,6047,5992.1,6004.65,573200,6004.65
23-03-2017,6015.9,6069,6015.9,6034.8,447500,6034.8
22-03-2017,6046.4,6053.4,5977.4,6005.8,462700,6005.8
21-03-2017,6164.75,6200.55,6051.85,6076.3,532100,6076.3
20-03-2017,6220,6220,6151.1,6158.9,207700,6158.9
17-03-2017,6165,6226.8,6150,6192.6,1048000,6192.6
16-03-2017,6159.6,6186.3,6131.7,6155.45,252700,6155.45
15-03-2017,6115,6168.8,6092.5,6137.35,384000,6137.35
14-03-2017,6060,6144.4,6010,6132.4,875000,6132.4
13-03-2017,5955.6,5955.6,5955.6,5955.6,0,5955.6
10-03-2017,5997,6008.4,5936.05,5955.6,443900,5955.6
09-03-2017,5884,5975,5864.15,5964.4,598300,5964.4
08-03-2017,5895,5904.9,5800,5864.15,639900,5864.15
07-03-2017,5931,5954,5881,5888.5,373100,5888.5
06-03-2017,5925.5,5974.8,5912,5934.85,361200,5934.85
03-03-2017,5924,5928.95,5875,5887.75,362000,5887.75
02-03-2017,5951,5998.8,5900.25,5918.75,473700,5918.75
01-03-2017,5960,5998.8,5885.15,5919.6,559800,5919.6
28-02-2017,5946.3,6000,5914.8,5922.5,558800,5922.5
27-02-2017,6005,6050.95,5940,5951.5,394300,5951.5
24-02-2017,6031,6031,6031,6031,0,6031
23-02-2017,6090,6092.1,6015.05,6031,461000,6031
22-02-2017,6073,6116.15,6040,6079.65,431200,6079.65
21-02-2017,6071.1,6090.65,6043,6063.15,287800,6063.15
20-02-2017,5989.75,6120.75,5912.3,6093.15,504400,6093.15
17-02-2017,6038,6055.85,5955.05,5989.75,326300,5989.75
16-02-2017,5860,6037.95,5860,6024.55,576300,6024.55
15-02-2017,5950,5961.8,5842.2,5862.7,609700,5862.7
14-02-2017,6045,6045,5928.1,5939.85,439700,5939.85
13-02-2017,6092,6139.9,6002,6022,404600,6022
10-02-2017,6170,6173.75,6096.4,6112.25,284400,6112.25
09-02-2017,6195.5,6204,6111.6,6157.1,511600,6157.1
08-02-2017,6219.7,6233.9,6165.15,6194.65,410300,6194.65
07-02-2017,6166,6231.5,6144,6213.2,456400,6213.2
06-02-2017,6157,6187,6125,6149.7,322200,6149.7
03-02-2017,6147.9,6156.65,6096.55,6115.45,304000,6115.45
02-02-2017,6170,6218.35,6130,6144.35,745200,6144.35
01-02-2017,5900,6203.5,5886,6179.2,1212000,6179.2
31-01-2017,5889,5934.9,5875.5,5894.25,374600,5894.25
30-01-2017,5916,5939,5885,5894.95,323400,5894.95
27-01-2017,5842,5927.7,5825.05,5915.9,576900,5915.9
26-01-2017,5802.55,5802.55,5802.55,5802.55,0,5802.55
25-01-2017,5763.9,5834,5708.05,5802.55,1148700,5802.55
24-01-2017,5704,5745.75,5688.95,5737.2,301600,5737.2
23-01-2017,5668.95,5712.75,5643.8,5700,297500,5700
20-01-2017,5717,5749,5642,5668.95,444200,5668.95
19-01-2017,5675,5728,5675,5718.35,239000,5718.35
18-01-2017,5685,5719,5665,5684.45,308400,5684.45
17-01-2017,5690,5718.9,5657.05,5669.4,343000,5669.4
16-01-2017,5697.95,5725.2,5661,5676.9,290100,5676.9
13-01-2017,5792,5794,5683.65,5699.5,1086800,5699.5
12-01-2017,5770,5795,5742,5777.35,421600,5777.35
11-01-2017,5691,5772.9,5691,5762.35,539300,5762.35
10-01-2017,5680,5693.7,5641,5674.85,410400,5674.85
09-01-2017,5644.8,5680,5610.6,5658.5,345000,5658.5
06-01-2017,5650,5657.3,5597,5615.55,544600,5615.55
05-01-2017,5525.1,5649.9,5525.1,5634.95,744200,5634.95
04-01-2017,5530,5554.7,5494,5502.15,679400,5502.15
03-01-2017,5466,5524.2,5432.6,5508.4,631700,5508.4
02-01-2017,5320.05,5474.2,5267.8,5466,651300,5466
30-12-2016,5347,5377.9,5303,5319.55,559800,5319.55
29-12-2016,5217.2,5349,5217.2,5314.8,655300,5314.8
28-12-2016,5250,5278,5219.45,5231.25,595500,5231.25
27-12-2016,5185,5237.4,5117.2,5224,486700,5224
26-12-2016,5179,5257.8,5151.1,5167.35,510900,5167.35
23-12-2016,5050,5214,5041,5197.15,589000,5197.15
22-12-2016,5144,5144,5053,5084.4,399500,5084.4
21-12-2016,5119.4,5160,5073.55,5137.85,413000,5137.85
20-12-2016,5135.9,5147.5,5072,5108,377600,5108
19-12-2016,5175,5195.45,5104.05,5115.05,369100,5115.05
16-12-2016,5174.5,5207,5151.2,5188.65,1170500,5188.65
15-12-2016,5099.95,5197,5080,5152.05,457300,5152.05
14-12-2016,5179.95,5214.75,5130.2,5141.05,371600,5141.05
13-12-2016,5178.75,5207,5134.05,5163.15,484200,5163.15
12-12-2016,5228,5228,5120.05,5144.4,357400,5144.4
09-12-2016,5290,5312.5,5201.2,5235,562500,5235
08-12-2016,5172,5269.9,5170,5234.6,845900,5234.6
07-12-2016,5150.95,5209.75,5035.05,5116.65,590400,5116.65
06-12-2016,5220,5261,5118.05,5135.2,646600,5135.2
05-12-2016,5063.9,5219.9,5055,5202.95,578900,5202.95
02-12-2016,5220,5236.2,5046,5068.1,772200,5068.1
01-12-2016,5266,5307.5,5204.25,5252.1,1221800,5252.1
30-11-2016,5110.55,5282,5100.1,5266,1270600,5266
29-11-2016,4898,5119,4896,5088.15,874800,5088.15
28-11-2016,4866,4913,4833,4893.75,1387000,4893.75
25-11-2016,4849,4905,4792.45,4873.6,669500,4873.6
24-11-2016,4862,4883.9,4804,4830.15,550300,4830.15
23-11-2016,4945,4945,4860,4880.85,757700,4880.85
22-11-2016,4830,4956,4825.55,4934.55,845900,4934.55
21-11-2016,4990,4990,4765.3,4787.45,864600,4787.45
18-11-2016,4935,4989.9,4887.9,4950.9,699300,4950.9
17-11-2016,5030,5048,4916.3,4925.55,668700,4925.55
16-11-2016,4924,5009.4,4901.55,4990.8,1952200,4990.8
15-11-2016,5101.9,5119.05,4806.4,4846.6,2793900,4846.6
14-11-2016,5134.25,5134.25,5134.25,5134.25,0,5134.25
11-11-2016,5290,5292.95,5103,5134.25,1058400,5134.25
10-11-2016,5505.5,5517.25,5305,5328.5,942900,5328.5
09-11-2016,5305,5553,5305,5392.95,1299600,5392.95
08-11-2016,5727.8,5731,5581.5,5669,684000,5669
07-11-2016,5763,5784.85,5708,5715.95,532200,5715.95
04-11-2016,5789,5789,5667.3,5704.85,679800,5704.85
03-11-2016,5799.9,5859.9,5780,5805.55,585700,5805.55
02-11-2016,5805,5864.9,5785,5794.6,522300,5794.6
01-11-2016,5919,5974,5855.2,5878.1,1163800,5878.1
31-10-2016,5876.15,5876.15,5876.15,5876.15,0,5876.15
28-10-2016,5922,5928.55,5865.75,5876.15,935500,5876.15
27-10-2016,5897,5948,5789.1,5860.15,1864800,5860.15
26-10-2016,5796.6,5898,5785,5869.1,590800,5869.1
25-10-2016,5734,5799,5725.65,5781.45,339500,5781.45
24-10-2016,5666,5748,5666,5713.9,412400,5713.9
21-10-2016,5650.5,5670,5616,5650.2,224500,5650.2
20-10-2016,5615,5683.5,5615,5644.5,311700,5644.5
19-10-2016,5633.7,5647.9,5593.05,5604.6,384600,5604.6
18-10-2016,5621,5645.35,5580.1,5626.7,487700,5626.7
17-10-2016,5699,5699,5574.6,5599.1,400500,5599.1
14-10-2016,5760.2,5766.95,5669.1,5690.45,352300,5690.45
13-10-2016,5690,5752.8,5652.6,5718.55,441100,5718.55
12-10-2016,5712.35,5712.35,5712.35,5712.35,0,5712.35
11-10-2016,5712.35,5712.35,5712.35,5712.35,0,5712.35
10-10-2016,5724.9,5734.4,5695.95,5712.35,205800,5712.35
07-10-2016,5709.45,5717.25,5667.3,5683.8,309400,5683.8
06-10-2016,5700,5745.6,5700,5710.45,416800,5710.45
05-10-2016,5707,5767,5673,5689.2,644700,5689.2
04-10-2016,5715.15,5717.95,5650,5680,464900,5680
03-10-2016,5661,5720,5631.8,5681,840900,5681
30-09-2016,5420,5497.5,5382.6,5477.3,646600,5477.3
29-09-2016,5575,5577,5395,5438.6,693200,5438.6
28-09-2016,5510.6,5555,5506,5521.8,449800,5521.8
27-09-2016,5598.95,5599.95,5500,5511.4,427900,5511.4
26-09-2016,5586,5625,5555.55,5568.9,418200,5568.9
23-09-2016,5630,5630,5565.6,5601.8,559500,5601.8
22-09-2016,5565.35,5634.1,5564.95,5597.1,526400,5597.1
21-09-2016,5526,5542.5,5462.1,5501.25,549300,5501.25
20-09-2016,5525,5560,5498.35,5514.85,423000,5514.85
19-09-2016,5569,5569,5485,5491.9,632800,5491.9
16-09-2016,5473,5619.9,5473,5573.3,1669900,5573.3
15-09-2016,5356,5461,5349.55,5452.4,704300,5452.4
14-09-2016,5330.05,5384.75,5330.05,5363.9,539700,5363.9
13-09-2016,5329,5329,5329,5329,0,5329
12-09-2016,5305,5350,5251,5329,795600,5329
09-09-2016,5489.7,5489.95,5377.05,5403,547500,5403
08-09-2016,5321,5499,5319,5489.4,942300,5489.4
07-09-2016,5319,5362,5290.1,5336.05,734000,5336.05
06-09-2016,5201,5335,5201,5319.7,970000,5319.7
05-09-2016,5160.45,5160.45,5160.45,5160.45,0,5160.45
02-09-2016,5078,5188.65,5075,5160.45,956000,5160.45
01-09-2016,5074,5100,5019.3,5060.75,870400,5060.75
31-08-2016,5063.9,5103.85,5036.3,5053.65,804200,5053.65
30-08-2016,4955,5103.9,4951,5067.65,996100,5032.65
29-08-2016,4925,4955,4920.9,4927.4,299600,4893.37
26-08-2016,4934.8,4964.9,4910.1,4920.9,337700,4886.91
25-08-2016,4973.8,4982.8,4906.25,4933.7,914300,4899.63
24-08-2016,4890,4983.8,4886.45,4948.55,952400,4914.37
23-08-2016,4835.05,4855.2,4800,4833.8,270800,4800.41
22-08-2016,4896,4897,4828,4837.75,292800,4804.34
19-08-2016,4916,4933.2,4889.05,4900.1,426400,4866.26
18-08-2016,4920.85,4950,4901,4915.85,479500,4881.9
17-08-2016,4860,4911.3,4849.1,4889.85,498200,4856.08
16-08-2016,4948,4948,4852,4864.2,793100,4830.61
15-08-2016,4898.6,4898.6,4898.6,4898.6,0,4864.77
12-08-2016,4882,4940,4847.1,4898.6,686000,4864.77
11-08-2016,4862.1,4923.5,4805,4878.65,623100,4844.96
10-08-2016,4975,4980,4850,4861.6,512300,4828.02
09-08-2016,5009.9,5021.75,4915.4,4960.85,508700,4926.59
08-08-2016,4980,5010,4960.05,4991.75,474500,4957.27
05-08-2016,4919,4965,4900,4941.65,598200,4907.52
04-08-2016,4945,4945,4869.35,4889.65,727000,4855.88
03-08-2016,5014.9,5020,4853.15,4873.85,1019600,4840.19
02-08-2016,4900,5039,4880,4986.05,1611100,4951.61
01-08-2016,4798.95,4885,4772.25,4866.25,1206900,4832.64
29-07-2016,4751,4824,4720.55,4757.6,799200,4724.74
28-07-2016,4579,4784,4570.55,4763.5,1879400,4730.6
27-07-2016,4510.3,4628,4510,4558.15,1212700,4526.67
26-07-2016,4575.15,4584,4451.15,4471.3,1828100,4440.42
25-07-2016,4427,4565,4421,4550.55,499600,4519.12
22-07-2016,4421,4449,4405,4414.7,339800,4384.21
21-07-2016,4489,4493.05,4405.25,4413.7,252200,4383.22
20-07-2016,4471.85,4510,4452.05,4469.15,357500,4438.28
19-07-2016,4455.2,4499,4440,4485.7,378700,4454.72
18-07-2016,4477,4564.4,4432.4,4454.75,684900,4423.98
15-07-2016,4450,4493.55,4404.5,4472.05,654000,4441.16
14-07-2016,4326,4439,4326,4428.3,637500,4397.72
13-07-2016,4350,4360,4301,4321.4,416900,4291.55
12-07-2016,4300,4382,4291,4370.4,688900,4340.22
11-07-2016,4190,4285.9,4189.95,4272.05,518400,4242.54
08-07-2016,4142,4175.65,4126,4161.8,261200,4133.06
07-07-2016,4181.1,4189.9,4125,4141.1,325800,4112.5
06-07-2016,4173.35,4173.35,4173.35,4173.35,0,4144.53
05-07-2016,4180,4202,4150,4173.35,282400,4144.53
04-07-2016,4171,4190.5,4155.75,4173.8,343600,4144.97
01-07-2016,4188.6,4214.2,4132,4165.4,804600,4136.63
30-06-2016,4179.9,4200,4145.55,4187.2,770500,4158.28
29-06-2016,4100,4141,4089.2,4131.25,646900,4102.72
28-06-2016,4041.1,4081.95,4040,4078.7,626400,4050.53
27-06-2016,4061,4061,4004.1,4025.1,836600,3997.3
24-06-2016,4053,4092.1,3866.6,4070.05,1559700,4041.94
23-06-2016,4151.9,4175,4120.45,4168.6,341000,4139.81
22-06-2016,4145,4180.5,4125.05,4151.35,417500,4122.68
21-06-2016,4146,4168.1,4109,4157.4,512300,4128.69
20-06-2016,4076.55,4144.8,4065.7,4133.2,667100,4104.65
17-06-2016,4115,4158,4093.45,4114.5,951600,4086.08
16-06-2016,4160,4164,4062,4084.1,1118500,4055.89
15-06-2016,4125,4215,4112.1,4209.6,510800,4180.53
14-06-2016,4145,4155.9,4096,4104.5,403100,4076.15
13-06-2016,4074,4150,4062,4134.75,385600,4106.19
10-06-2016,4165.1,4197,4100,4111.5,464800,4083.1
09-06-2016,4152.05,4189.75,4140,4169.15,305400,4140.36
08-06-2016,4131,4169.8,4124.7,4160.1,417700,4131.37
07-06-2016,4175,4188.95,4118,4135.65,471300,4107.09
06-06-2016,4216,4217,4118,4142,443000,4113.39
03-06-2016,4192.15,4235,4180,4217.95,591600,4188.82
02-06-2016,4150,4194.95,4124,4186.65,411100,4157.73
01-06-2016,4170.7,4199.95,4150,4165.35,647000,4136.58
31-05-2016,4060,4180,4055.05,4161.6,775400,4132.86
30-05-2016,4132,4155.2,4054,4071.75,555300,4043.63
27-05-2016,4114.7,4162,4091.05,4146.6,880800,4117.96
26-05-2016,4064,4125,4027.2,4118,1074600,4089.56
25-05-2016,3948,4072,3940,4060.95,842600,4032.9
24-05-2016,3913.8,3937.95,3893.15,3924.2,283500,3897.1
23-05-2016,3964,3968.3,3900,3913.85,348300,3886.82
20-05-2016,3883.8,3959,3881.1,3944.95,485200,3917.7
19-05-2016,3900,3940,3881,3926.6,679800,3899.48
18-05-2016,3928.8,3939,3805.05,3914.9,1921000,3887.86
17-05-2016,3891.05,3969,3886.25,3950.7,865000,3923.41
16-05-2016,3870,3895,3840,3881.6,878800,3854.79
13-05-2016,3856,3877.9,3828,3846.25,435000,3819.69
12-05-2016,3884.85,3909.8,3841.5,3854.2,857900,3827.58
11-05-2016,3800,3898,3790,3890.05,679700,3863.18
10-05-2016,3850.5,3897.05,3835.1,3844.8,1094600,3818.25
09-05-2016,3830,3878,3825,3846.5,771300,3819.93
06-05-2016,3829.95,3835,3802,3818.95,411800,3792.57
05-05-2016,3825,3850,3802,3836.85,485700,3810.35
04-05-2016,3800,3844,3796.05,3811.55,557600,3785.23
03-05-2016,3840.8,3879,3795.7,3819.95,795600,3793.57
02-05-2016,3799.9,3840,3751.6,3830.85,762300,3804.39
29-04-2016,3742,3820,3725,3794.65,962800,3768.44
28-04-2016,3819,3854,3735.1,3747.95,1821200,3722.06
27-04-2016,3841.1,3932.75,3830.25,3859.4,1388200,3832.74
26-04-2016,3704.05,3894,3691.9,3871.55,2782500,3844.81
25-04-2016,3806.1,3842,3715.15,3727.95,838200,3702.2
22-04-2016,3703,3833,3680.1,3816.05,1165700,3789.69
21-04-2016,3695,3737.25,3674,3705.3,1928900,3679.71
20-04-2016,3724.35,3724.35,3651,3670.05,1830900,3644.7
19-04-2016,3718.95,3718.95,3718.95,3718.95,0,3693.26
18-04-2016,3720.8,3750,3680,3718.95,999600,3693.26
15-04-2016,3731.6,3731.6,3731.6,3731.6,0,3705.83
14-04-2016,3731.6,3731.6,3731.6,3731.6,0,3705.83
13-04-2016,3613,3745.35,3606.6,3731.6,1107700,3705.83
12-04-2016,3470.2,3609.85,3465.05,3573.7,1404400,3549.02
11-04-2016,3437,3488,3423,3478.65,970300,3454.62
08-04-2016,3460,3474,3418.5,3430.65,1631500,3406.96
07-04-2016,3556.5,3556.5,3450,3471,1221600,3447.03
06-04-2016,3568,3607.3,3546,3573.05,664400,3548.37
05-04-2016,3676,3696.9,3536.5,3554.85,826000,3530.3
04-04-2016,3735,3751.5,3676,3683.25,299800,3657.81
01-04-2016,3700.45,3764.95,3682,3723.2,769700,3697.49
31-03-2016,3739.5,3748.75,3664,3716.3,1223100,3690.63
30-03-2016,3745,3749.9,3684,3727.45,872300,3701.71
29-03-2016,3649,3769,3645,3729.95,686400,3704.19
28-03-2016,3759,3777.8,3629.95,3638.95,743400,3613.82
25-03-2016,3736,3736,3736,3736,0,3710.2
24-03-2016,3736,3736,3736,3736,0,3710.2
23-03-2016,3711.85,3744,3666.45,3736,586200,3710.2
22-03-2016,3669,3735.95,3652,3699.55,713100,3674
21-03-2016,3630.1,3678.8,3605,3669.55,474700,3644.21
18-03-2016,3640,3649.7,3557.05,3621.4,1073700,3596.39
17-03-2016,3686.35,3750,3620,3635.45,710400,3610.34
16-03-2016,3650,3675,3637.5,3667.35,459100,3642.02
15-03-2016,3670,3679.9,3615.5,3654.55,688800,3629.31
14-03-2016,3660,3684,3627.05,3648.15,483200,3622.95
11-03-2016,3633.7,3690,3616.05,3641.2,1002500,3616.05
10-03-2016,3600,3634.7,3573.4,3627.2,1016500,3602.15
09-03-2016,3454.85,3600,3441.1,3576.4,752900,3551.7
08-03-2016,3552.95,3598.95,3450.6,3462.65,1100000,3438.73
07-03-2016,3555.1,3555.1,3555.1,3555.1,0,3530.55
04-03-2016,3619,3619,3526,3555.1,610200,3530.55
03-03-2016,3625.8,3647,3578,3608.65,742200,3583.73
02-03-2016,3542.95,3627.7,3540.05,3612.65,1236900,3587.7
01-03-2016,3200.9,3510,3200.9,3494.4,1924800,3470.27
29-02-2016,3425,3434.95,3193.25,3236.5,2218300,3214.15
26-02-2016,3452,3459.1,3375.1,3409.2,831400,3385.65
25-02-2016,3509.65,3510,3401,3414.15,840500,3390.57
24-02-2016,3499.95,3530,3480,3489.7,605900,3465.6
23-02-2016,3530,3568.45,3480,3487.4,796800,3463.31
22-02-2016,3539,3545,3491.55,3520.8,1291400,3496.48
19-02-2016,3640,3640,3559,3579.15,718600,3554.43
18-02-2016,3781.25,3796.85,3622.1,3653.25,1243800,3628.02
17-02-2016,3679.9,3755,3661.5,3749.15,652000,3723.26
16-02-2016,3725.25,3748.95,3651.2,3705.2,753800,3679.61
15-02-2016,3605.95,3724.9,3604.4,3711.25,1182200,3685.62
12-02-2016,3570,3588,3461,3549.65,1211600,3525.13
11-02-2016,3651.1,3664.3,3518.5,3541.45,1066200,3516.99
10-02-2016,3639.85,3718,3600,3678.55,795300,3653.14
09-02-2016,3685,3689,3620,3657.1,657000,3631.84
08-02-2016,3749,3789,3715.05,3732.55,559500,3706.77
05-02-2016,3784.7,3790,3693.3,3723.4,1245800,3697.68
04-02-2016,3864,3881.9,3774,3794.65,597800,3768.44
03-02-2016,3870,3870,3784.65,3828.35,1101300,3801.91
02-02-2016,3952.6,3985,3851.55,3874.95,902600,3848.19
01-02-2016,4100.9,4119,3933.65,3948.25,1904000,3920.98
29-01-2016,3925,4124,3923,4095.85,2147200,4067.56
28-01-2016,4080,4139.9,4031,4103.3,1677300,4074.96
27-01-2016,4131,4179,4092,4111.95,886500,4083.55
26-01-2016,4081.35,4081.35,4081.35,4081.35,0,4053.16
25-01-2016,4125.95,4172,4073.9,4081.35,608600,4053.16
22-01-2016,3942.95,4119.9,3930.15,4104.95,1063400,4076.6
21-01-2016,4084.95,4084.95,3870,3891.7,1212800,3864.82
20-01-2016,4169.85,4189.95,4028.5,4058.95,679900,4030.92
19-01-2016,4241,4244.95,4165,4198.15,499000,4169.16
18-01-2016,4279,4289.25,4172.85,4236.2,396100,4206.94
15-01-2016,4265,4340,4254,4273.35,592100,4243.84
14-01-2016,4239,4289,4212.7,4248.25,402000,4218.91
13-01-2016,4298,4310,4221.35,4291.25,431200,4261.61
12-01-2016,4310,4324.8,4260,4269,481100,4239.52
11-01-2016,4190,4300,4117,4272.4,865700,4242.89
08-01-2016,4286.3,4325,4195.8,4214.75,994600,4185.64
07-01-2016,4449.7,4449.7,4251.85,4267.9,1200000,4238.42
