Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,470.75,474.8,467.55,470.4,4296500,470.4
23-03-2017,461.3,477,461.3,472.9,8665300,472.9
22-03-2017,469.95,469.95,458.5,459.9,4695600,459.9
21-03-2017,478,478.05,470.65,473.75,4685400,473.75
20-03-2017,476.55,478.2,470.75,476,2871100,476
17-03-2017,481.35,484.2,471.7,476.5,6338200,476.5
16-03-2017,478.7,482,476.15,480.95,6272900,480.95
15-03-2017,475,476.55,470.65,473.45,4801300,473.45
14-03-2017,481,483,468.45,469.75,6348100,469.75
13-03-2017,469.1,469.1,469.1,469.1,0,469.1
10-03-2017,471,471.85,465.1,469.1,5766800,469.1
09-03-2017,462.45,469.7,462,467.6,3837600,467.6
08-03-2017,469.4,469.6,461.15,462.8,5351500,462.8
07-03-2017,469.5,475.9,466.05,467.55,7114500,467.55
06-03-2017,462.5,472.7,462.1,470.8,4036200,470.8
03-03-2017,463.3,466.85,458.6,459.95,7085600,459.95
02-03-2017,457.85,467.9,453.2,461.7,13667600,461.7
01-03-2017,455.9,455.9,448,449.45,8367500,449.45
28-02-2017,460,460,454.1,456.75,5722400,456.75
27-02-2017,464,464,455.1,457.8,5510400,457.8
24-02-2017,462.35,462.35,462.35,462.35,0,462.35
23-02-2017,464,464.7,457.25,462.35,9492400,462.35
22-02-2017,460.25,466.7,455.8,460.05,7315200,460.05
21-02-2017,456.9,462.8,454.5,458.65,6875900,458.65
20-02-2017,451.5,458.45,449,455.45,5866700,455.45
17-02-2017,447.9,456.6,442.4,452.95,10063500,452.95
16-02-2017,442.55,447.6,435.4,446,11622700,446
15-02-2017,449.05,453,434.35,436.45,38638600,436.45
14-02-2017,503,506.7,466.55,482.05,14901400,482.05
13-02-2017,512.7,512.7,503.3,505.3,4700500,505.3
10-02-2017,513,514.8,506.5,509.55,4732000,509.55
09-02-2017,515.4,518,505.75,512.85,4099800,512.85
08-02-2017,512.35,514.95,506.3,513.05,5975000,513.05
07-02-2017,524.8,524.8,502,506.8,7987200,506.8
06-02-2017,527.9,531.45,523.2,525.85,3642500,525.85
03-02-2017,531.9,531.9,519.5,522.6,5298200,522.6
02-02-2017,537.6,537.6,526.8,531.5,6579800,531.5
01-02-2017,527.5,544.5,522.9,542.25,4786700,542.25
31-01-2017,530.2,531.5,518,523.55,6035000,523.55
30-01-2017,542,543.5,530.8,532.3,4163400,532.3
27-01-2017,549,552,539.75,541.95,4493800,541.95
26-01-2017,548.9,548.9,548.9,548.9,0,548.9
25-01-2017,543.25,551.9,541.55,548.9,4504900,548.9
24-01-2017,533,543,532.35,541.55,5183600,541.55
23-01-2017,523.2,534.95,523,532.7,4209800,532.7
20-01-2017,527.4,529.3,521.25,523.2,5013900,523.2
19-01-2017,523,535.6,522.7,531.45,5810100,531.45
18-01-2017,523.05,529.6,521.2,522.45,5874600,522.45
