Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,162,171.55,162,169.05,23265500,169.05
23-03-2017,162.1,163.45,160.3,162.2,7386800,162.2
22-03-2017,161,164.15,160.65,161.6,5537500,161.6
21-03-2017,166.1,166.8,162.15,162.85,5788700,162.85
20-03-2017,164.7,167.4,163.1,165.6,5099700,165.6
17-03-2017,168.7,169.2,164.4,164.9,7160000,164.9
16-03-2017,167.6,169.65,166.4,168.55,9620000,168.55
15-03-2017,160.65,167.7,160.6,166.5,11715400,166.5
14-03-2017,162.85,164.25,160.5,161,7292500,161
13-03-2017,159,159,159,159,0,159
10-03-2017,163,163,158.3,159,5501200,159
09-03-2017,159.35,160.7,158,159.45,5475000,159.45
08-03-2017,160.35,161.7,157.35,159.25,8422800,159.25
07-03-2017,160.8,162.4,160,160.35,6389800,160.35
06-03-2017,161.3,162.2,160.05,160.85,6996200,160.85
03-03-2017,160.1,162.75,159.55,159.95,9478000,159.95
02-03-2017,166.45,167.35,161,161.6,8201600,161.6
01-03-2017,165.9,168.5,165,165.35,6979500,165.35
28-02-2017,165,166.6,163.9,165.3,7175600,165.3
27-02-2017,168.5,168.5,164.1,164.4,7407500,164.4
24-02-2017,168.15,168.15,168.15,168.15,0,168.15
23-02-2017,168.7,169.85,167.05,168.15,10531400,168.15
22-02-2017,169.15,170.55,167.2,167.7,7388800,167.7
21-02-2017,170.1,170.75,168.05,169.3,7720800,169.3
20-02-2017,166,169.45,164.85,168.85,5345100,168.85
17-02-2017,166.15,168.35,164.5,166.15,6994600,166.15
16-02-2017,165.4,167.75,163.65,166.05,9141300,166.05
15-02-2017,169,170.4,162.75,163.2,13176900,163.2
14-02-2017,170,171.25,166.15,168.8,16667600,168.8
13-02-2017,182.8,183,168,168.8,38352700,168.8
10-02-2017,185.7,191,184.55,188.05,18572000,188.05
09-02-2017,187,187.7,180.8,184.05,9428600,184.05
08-02-2017,187.35,188.6,182.25,187,8105400,187
07-02-2017,184.95,190.4,183.2,187.05,10402800,187.05
06-02-2017,187,191.7,183.7,184.6,14311000,184.6
03-02-2017,178,187.25,176.1,186.45,16542400,186.45
02-02-2017,172.9,178.85,170.65,177.65,14260800,177.65
01-02-2017,166.4,173.7,165.3,173.05,17004000,173.05
31-01-2017,167.3,168.8,164.35,165.15,4227800,165.15
30-01-2017,167.1,170.3,165.1,167.75,7176900,167.75
27-01-2017,163,169.2,162.3,167.7,12394600,167.7
26-01-2017,161.95,161.95,161.95,161.95,0,161.95
25-01-2017,156.5,164,155.25,161.95,12590100,161.95
24-01-2017,155.3,156.5,154.5,156.05,4541700,156.05
23-01-2017,153.5,157,153.15,154.2,4199500,154.2
20-01-2017,159.4,160.7,153.55,154.35,4787700,154.35
19-01-2017,158.5,160.8,157.85,160.1,4541200,160.1
18-01-2017,159.4,160.85,157.85,158.85,4034200,158.85
17-01-2017,160.4,162,158.35,159.05,5138400,159.05
16-01-2017,157.75,160,157,159.6,5216500,159.6
13-01-2017,159.15,159.7,156.7,157.75,4635200,157.75
12-01-2017,160,160.65,158,158.7,5849300,158.7
11-01-2017,153.9,160.2,153.25,159.6,11384200,159.6
10-01-2017,153.5,154.15,151.25,152.95,5444600,152.95
09-01-2017,154,155,152.4,152.8,6078600,152.8
06-01-2017,151,154.6,151,153.25,8101300,153.25
05-01-2017,149.55,151.6,149.3,150.95,7807800,150.95
04-01-2017,148,149.85,147.4,148,4993800,148
03-01-2017,149.1,150.2,146.7,148.6,10690900,148.6
02-01-2017,153.95,154.6,147.6,148.9,9644400,148.9
30-12-2016,151.6,153.9,151.3,153.4,6069600,153.4
29-12-2016,150,152.4,148.35,151.5,19597700,151.5
28-12-2016,150.25,152.65,149.1,150.15,6665700,150.15
27-12-2016,147.7,151,146.1,149.9,4460800,149.9
26-12-2016,152,152.35,146,147.35,6151900,147.35
23-12-2016,155,156.35,152.6,153,3909500,153
22-12-2016,157,157,153.3,155.05,4094100,155.05
21-12-2016,156.7,158.2,154.55,157.5,4650400,157.5
20-12-2016,159,160.2,155,155.75,4724700,155.75
19-12-2016,159.5,160.7,158.2,159.35,2403700,159.35
16-12-2016,160.5,162.7,158.85,159.65,5485700,159.65
15-12-2016,157,161.4,156.4,159.9,4977500,159.9
14-12-2016,161,161.05,157.85,158.35,2808000,158.35
13-12-2016,158.5,161,156.6,160.4,5492600,160.4
12-12-2016,162,162,157.65,158.9,5487000,158.9
09-12-2016,159.1,162.75,157.2,162.05,10278000,162.05
