Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,269.65,276.85,269.65,274.75,17479300,274.75
23-03-2017,266.5,268.25,264.8,266.95,12008600,266.95
22-03-2017,267.9,268.75,264.5,265,22303600,265
21-03-2017,276,276.8,271.1,272.05,14821800,272.05
20-03-2017,279.7,279.7,274,275.05,11048300,275.05
17-03-2017,286.1,286.7,279.65,280.6,22742000,280.6
16-03-2017,286.55,287.45,282.45,284.5,9738300,284.5
15-03-2017,285.9,287,284.1,285.15,12195300,285.15
14-03-2017,281.1,288.2,281.1,287.25,39532700,287.25
13-03-2017,270.55,270.55,270.55,270.55,0,270.55
10-03-2017,275.15,276.5,269.4,270.55,14317400,270.55
09-03-2017,274,275.95,272.6,273.5,10588900,273.5
08-03-2017,276.2,276.55,272.1,274.4,11790600,274.4
07-03-2017,277,279.25,275,276,8287500,276
06-03-2017,275.95,279.35,275.5,276.75,11422700,276.75
03-03-2017,278.6,278.9,275.05,275.95,8414600,275.95
02-03-2017,282.05,284.5,277,278.65,18219000,278.65
01-03-2017,277.6,280.95,277.25,279.1,18166500,279.1
28-02-2017,278.95,280.1,275.7,276.35,16527100,276.35
27-02-2017,285,285.55,277.1,278.85,13670800,278.85
24-02-2017,284.5,284.5,284.5,284.5,0,284.5
23-02-2017,284.7,288.75,282.05,284.5,23181000,284.5
22-02-2017,287.9,287.9,281.15,286.15,27988400,286.15
21-02-2017,283,285.8,281.2,284.8,10262300,284.8
20-02-2017,283.05,286.15,281.1,282.35,9043200,282.35
17-02-2017,279.7,286.1,275.85,283,25905700,283
16-02-2017,281.3,281.45,272.85,278.8,18416200,278.8
15-02-2017,285.2,286.4,278.6,280.75,13109700,280.75
14-02-2017,283,285.9,281.3,284.65,11717400,284.65
13-02-2017,282.5,284.1,279.55,281.65,11949400,281.65
10-02-2017,285.6,286.15,280.1,281.6,15246700,281.6
09-02-2017,286.6,288.75,278.6,285,15119200,285
08-02-2017,288,288.5,282.7,285.8,15148100,285.8
07-02-2017,288,292.7,285.3,288.1,11663000,288.1
06-02-2017,283.55,292.25,283.55,290.3,20474400,290.3
03-02-2017,284.95,284.95,278.8,281.55,18235300,281.55
02-02-2017,282,287.5,280.55,285.8,26282600,285.8
01-02-2017,265.85,283.5,262.8,281,40588400,281
31-01-2017,268.8,274,266.45,268.95,18668300,268.95
30-01-2017,273,275.6,269.7,270.8,15488600,270.8
27-01-2017,263.05,274,260.7,272,81303300,272
26-01-2017,259.95,259.95,259.95,259.95,0,259.95
25-01-2017,259,260.8,255.6,259.95,37343700,259.95
24-01-2017,258.55,258.55,255.65,257.15,24109100,257.15
23-01-2017,261.8,261.8,255.15,257.55,39812100,257.55
20-01-2017,267,267.95,262.55,263.45,11097300,263.45
19-01-2017,268.8,270.7,266.2,269.7,7823300,269.7
18-01-2017,267.4,272.1,266.75,268.45,9168700,268.45
17-01-2017,269.5,271.5,265.5,268.4,6334600,268.4
16-01-2017,267.4,270.85,264.8,269.3,8057800,269.3
13-01-2017,270,270,264.8,268.05,7100300,268.05
12-01-2017,266.6,269.5,265.45,268.35,10646600,268.35
11-01-2017,262.5,268.1,261.6,264.7,17786900,264.7
10-01-2017,260,261.9,258.3,260.2,13440000,260.2
09-01-2017,257.9,259.85,256,258.7,7159300,258.7
06-01-2017,258.25,261.4,257.2,258.15,8231900,258.15
05-01-2017,253.2,258.5,252.2,257.25,12573300,257.25
04-01-2017,254.25,255.75,250.4,251.1,6273800,251.1
03-01-2017,252.1,255.4,249.3,254.4,9306000,254.4
02-01-2017,256.3,256.3,248.1,251.95,9458500,251.95
30-12-2016,252,257.5,251.35,255.3,10514300,255.3
29-12-2016,252.1,253,250.05,251.1,5799600,251.1
28-12-2016,254,254.8,251.05,251.75,8342500,251.75
27-12-2016,249,254.35,246.7,253.55,8267700,253.55
26-12-2016,252.25,252.45,247.1,248.15,6151900,248.15
23-12-2016,252.95,254.75,250.15,251.85,6302300,251.85
22-12-2016,252.7,254.8,250.65,252.95,8137700,252.95
21-12-2016,253,255.35,251.2,253.25,6987000,253.25
20-12-2016,256.7,256.7,250.25,251.6,10536300,251.6
19-12-2016,255.4,258.95,254.75,257.1,6743300,257.1
16-12-2016,260,260,254.85,255.6,22713000,255.6
15-12-2016,258.7,261.7,257.75,260.3,21899600,260.3
14-12-2016,264.5,264.7,260,260.55,13062700,260.55
13-12-2016,263.4,265.35,262.5,264.4,9332300,264.4
12-12-2016,267.5,268.3,263.85,264.85,6832600,264.85
09-12-2016,263.95,269.8,263,268.45,15939300,268.45
08-12-2016,260.55,263.4,258.4,262.75,10305600,262.75
07-12-2016,262.8,264.4,251,258.7,12396000,258.7
06-12-2016,262.25,262.65,259.55,261,7577400,261
05-12-2016,259.6,261.4,257.8,260.85,7550000,260.85
02-12-2016,258,264.6,255.85,259.5,11159400,259.5
01-12-2016,266.25,268,257.75,259.15,14356400,259.15
30-11-2016,257.45,266.5,255.95,265.55,18846400,265.55
29-11-2016,255.5,259.4,254.3,255.45,29390600,255.45
28-11-2016,256.65,256.65,253.5,255.3,29945200,255.3
25-11-2016,262.4,262.4,257.05,260.1,15101500,260.1
24-11-2016,263.8,263.8,258,259.3,20511900,259.3
23-11-2016,264.1,265.85,260.5,264.95,15595300,264.95
22-11-2016,265,266.6,259.3,262.7,21733400,262.7
21-11-2016,266.2,267,254.85,261.2,19659800,261.2
18-11-2016,268.45,269,262.3,264.6,9076300,264.6
17-11-2016,267.95,270.65,264,267.65,13321900,267.65
16-11-2016,276.6,278.2,264.2,266.2,24066500,266.2
15-11-2016,277,280.8,266.15,269.75,34510400,269.75
14-11-2016,276.4,276.4,276.4,276.4,0,276.4
11-11-2016,287.25,294.25,274.5,276.4,30033300,276.4
10-11-2016,288.5,298.4,286.7,292.6,26488600,292.6
09-11-2016,254.9,284.75,245,281.45,46413600,281.45
08-11-2016,285.8,287.45,278.25,283.2,31957900,283.2
07-11-2016,275.8,281.2,272.5,278.7,17037200,278.7
04-11-2016,271.9,272.5,265.35,269.8,14874000,269.8
03-11-2016,272,276.4,268.4,269.75,11349700,269.75
02-11-2016,270,273.25,268.75,271.9,13764200,271.9
01-11-2016,279.45,279.75,274.5,275.35,10613900,275.35
31-10-2016,276.85,276.85,276.85,276.85,0,276.85
28-10-2016,282,282.5,275.55,276.85,16649200,276.85
27-10-2016,277.4,285,275,284.3,18061800,284.3
26-10-2016,284.45,284.45,277,278.4,27288800,278.4
25-10-2016,289.2,291.6,284.6,289.25,22809700,289.25
24-10-2016,279.15,286.45,279.15,284.55,20199400,284.55
21-10-2016,276.25,280.05,274.1,277.4,23966200,277.4
20-10-2016,267.15,278.9,267.15,277.6,32981900,277.6
19-10-2016,271.35,271.7,263.25,265.05,18153400,265.05
18-10-2016,259.55,271.4,259.5,270.35,38056000,270.35
17-10-2016,246,259.9,245.55,258.75,62802200,258.75
14-10-2016,241.2,243,239.7,241.75,9783400,241.75
13-10-2016,247.8,248.4,239.1,241.15,18851600,241.15
12-10-2016,250.1,250.1,250.1,250.1,0,250.1
11-10-2016,250.1,250.1,250.1,250.1,0,250.1
10-10-2016,251.9,253.2,249.15,250.1,6010100,250.1
07-10-2016,250.9,253.9,248.2,250.6,9551500,250.6
06-10-2016,257,257.05,249.2,251.25,12594900,251.25
05-10-2016,259.95,260.6,254.6,255.45,14581400,255.45
04-10-2016,256.85,259.95,254.9,258.2,14728400,258.2
03-10-2016,251,256.9,250.1,256.15,16420200,256.15
30-09-2016,248.05,253.3,246.95,252.15,13731700,252.15
29-09-2016,263,263.5,243.3,250.35,43764200,250.35
28-09-2016,260.4,262.45,259.05,260.75,16256100,260.75
27-09-2016,263.55,264.3,259,260,15778900,260
26-09-2016,268.5,268.7,261.8,262.55,14426100,262.55
23-09-2016,275.8,275.85,269.9,271.25,16343200,271.25
22-09-2016,276,277.9,272.3,275.5,13532900,275.5
21-09-2016,272.8,273,266.95,269.9,11578800,269.9
20-09-2016,271.9,274.2,269.35,272.1,10027600,272.1
19-09-2016,268,272.4,267.8,271.6,13767600,271.6
16-09-2016,271.75,275.6,266.3,267.35,29959500,267.35
