Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,269.5,278.95,268.65,276.5,20133400,276.5
23-03-2017,269,269.4,266.7,268.5,7998100,268.5
22-03-2017,270.3,271,266.8,267.5,9887200,267.5
21-03-2017,274.4,277.05,270.15,272.35,11898200,272.35
20-03-2017,274.75,274.75,271.8,273.9,9678100,273.9
17-03-2017,279.45,279.5,273.5,274.15,14265600,274.15
16-03-2017,278,280.2,276.05,279.3,18005100,279.3
15-03-2017,272.65,280.5,272.65,277.35,20055900,277.35
14-03-2017,278.4,278.4,273.8,274.65,15734800,274.65
13-03-2017,272.05,272.05,272.05,272.05,0,272.05
10-03-2017,274.5,275.55,269.5,272.05,9557000,272.05
09-03-2017,269,273.9,268.4,273.25,15594400,273.25
08-03-2017,267.8,270.3,266,269.9,9122900,269.9
07-03-2017,270.8,270.9,266.4,267.8,11599100,267.8
06-03-2017,266.6,270.35,266.35,269.85,9515000,269.85
03-03-2017,266.25,268.9,264.25,265.05,10120000,265.05
02-03-2017,273,274.7,266.5,267.3,14220800,267.3
01-03-2017,270,273.3,269.8,271.75,7656800,271.75
28-02-2017,268.9,271.25,268,269.2,7941500,269.2
27-02-2017,270.8,271.45,267.6,268.25,9645300,268.25
24-02-2017,270.45,270.45,270.45,270.45,0,270.45
23-02-2017,271.7,273,269.6,270.45,13146100,270.45
22-02-2017,271.9,274.7,269.5,272.3,12617600,272.3
21-02-2017,270,271.5,268.65,270.7,7754100,270.7
20-02-2017,269.9,271.55,268,269.65,9229300,269.65
17-02-2017,271.15,273.65,267.7,269.35,17830500,269.35
16-02-2017,277,277,269.65,270.5,21794600,270.5
15-02-2017,270.95,272.5,267.05,268.95,12201500,268.95
14-02-2017,272,273,268.1,270.2,13306700,270.2
13-02-2017,277.8,278.25,270.2,271.65,19853000,271.65
10-02-2017,278.75,282.8,275,276.35,37580400,276.35
09-02-2017,278.8,280.3,270.85,275.85,16080100,275.85
08-02-2017,278.1,279.25,272.6,277.2,13622000,277.2
