Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,278.85001,283,278.75,281,7123900,281
23-03-2017,277.5,282.5,275.10001,277.60001,16897100,277.60001
22-03-2017,285,287.85001,278.60001,279.85001,12397000,279.85001
21-03-2017,283.20001,288.60001,283,287.89999,13225000,287.89999
20-03-2017,282.89999,284.20001,277.79999,281.89999,15897200,281.89999
17-03-2017,276.79999,288.89999,276.79999,281.25,52012200,281.25
16-03-2017,270.25,271.25,267.5,268.45001,8685500,268.45001
15-03-2017,265.20001,270.70001,265.20001,268.20001,13938600,268.20001
14-03-2017,266.20001,271.64999,265.20001,267.10001,17821600,267.10001
13-03-2017,263.45001,263.45001,263.45001,263.45001,0,263.45001
10-03-2017,264.95001,265.04999,262.64999,263.45001,5662300,263.45001
09-03-2017,266.10001,266.29999,262.29999,264.95001,9481900,264.95001
08-03-2017,264.45001,265.5,263.5,264.14999,5771300,264.14999
07-03-2017,264.29999,265,261.14999,264.25,6917100,264.25
06-03-2017,262.70001,265.04999,261.54999,264.10001,9559200,264.10001
03-03-2017,262,263.39999,258.14999,261.54999,9987200,261.54999
02-03-2017,268.5,270.25,263.5,264.75,10066000,264.75
01-03-2017,262.39999,269.70001,262.39999,268.5,14578400,268.5
28-02-2017,263,264.60001,260.89999,262.20001,8240700,262.20001
27-02-2017,265.54999,266,257.85001,264.60001,5075000,264.60001
24-02-2017,265.64999,265.64999,265.64999,265.64999,0,265.64999
23-02-2017,264,268.20001,261.60001,265.64999,12361200,265.64999
22-02-2017,264.39999,266.25,261.64999,263.45001,8488100,263.45001
21-02-2017,266,266.25,260.79999,263.14999,9871000,263.14999
20-02-2017,266,267.45001,265.54999,266.04999,5714300,266.04999
17-02-2017,267.35001,268.89999,264,268.14999,9341000,268.14999
16-02-2017,270.04999,271.5,265.70001,266.64999,10575400,266.64999
15-02-2017,271.20001,275.5,271.20001,273.39999,7537300,273.39999
14-02-2017,270,273.5,269.14999,270.79999,6655600,270.79999
13-02-2017,275.39999,276.35001,268.60001,270.60001,8967500,270.60001
10-02-2017,278.70001,279.10001,271.54999,273.35001,7680000,273.35001
09-02-2017,276,278.39999,272.64999,277.64999,4882300,277.64999
08-02-2017,275.5,279,272,274.79999,10702600,274.79999
07-02-2017,278.60001,292.14999,275.60001,277.10001,24315100,277.10001
06-02-2017,274.89999,279,274.10001,276.79999,8221500,276.79999
03-02-2017,274,275.5,270.5,273.04999,9009900,273.04999
02-02-2017,271,279.89999,269.5,274.29999,29722600,274.29999
01-02-2017,260,270.10001,258.5,269.70001,33840700,269.70001
31-01-2017,256.20001,259.95001,254.60001,258.10001,9995600,258.10001
30-01-2017,258.39999,261,255.5,256.10001,8910500,256.10001
27-01-2017,263.5,266.95001,256.10001,257.39999,24497000,257.39999
26-01-2017,265.5,265.5,265.5,265.5,0,265.5
25-01-2017,259.95001,266.39999,259.60001,265.5,17451400,265.5
24-01-2017,259.60001,260.75,257.35001,259.85001,8031700,259.85001
23-01-2017,255.10001,260.14999,255.05,259.64999,10690100,259.64999
20-01-2017,254.25,256.29999,253.7,255.39999,10843900,255.39999
19-01-2017,249.75,254.75,249.55,254.14999,9184400,254.14999
18-01-2017,251.60001,254.3,249.8,250.85001,7254700,250.85001
17-01-2017,248.8,252.3,248.8,251.95,4811600,251.95
16-01-2017,249.25,250.85001,247.10001,248.8,4635400,248.8
13-01-2017,246,251,242.5,249.64999,4384800,249.64999
12-01-2017,247.7,247.7,244.14999,244.64999,5601000,244.64999
11-01-2017,249.8,250.5,246.60001,247.55,7637200,247.55
10-01-2017,246,249.85001,245.7,248.95,11977300,248.95
09-01-2017,242.85001,246.60001,242.10001,245.85001,4854600,245.85001
06-01-2017,247,249,242.2,242.7,8093200,242.7
05-01-2017,244.5,247.85001,244.10001,246.75,9178600,246.75
04-01-2017,242.85001,247,240.10001,245.45,9310100,245.45
03-01-2017,240.89999,245.7,239.25,243.35001,7508900,243.35001
02-01-2017,242,242.25,238.60001,240.95,4887500,240.95
30-12-2016,237.45,242.39999,236.3,241.64999,10420000,241.64999
29-12-2016,235.3,237,232.3,236,14052700,236
28-12-2016,232.7,236.39999,232.7,235.45,14166100,235.45
27-12-2016,226,234.89999,224.35001,234.05,15605800,234.05
26-12-2016,224.89999,225.85001,222,225,8735200,225
23-12-2016,227.5,227.5,223.8,224.7,10763000,224.7
22-12-2016,225.25,228.39999,224.25,227.55,6420800,227.55
21-12-2016,229,229.8,225.5,226.3,12883000,226.3
20-12-2016,228.5,230.8,227.5,229.95,5917500,229.95
19-12-2016,225.35001,229,225.35001,227,5455300,227
16-12-2016,230.8,230.8,226,226.35001,12925200,226.35001
15-12-2016,232,234.39999,228.5,229.7,5332900,229.7
14-12-2016,236,236.5,232,233.14999,6313300,233.14999
13-12-2016,234.8,236.89999,232.2,235.64999,7440600,235.64999
12-12-2016,234.2,234.7,231.95,232.3,3038600,232.3
09-12-2016,234.05,239.60001,232.55,236.14999,8328200,236.14999
08-12-2016,229.05,235.3,228.3,233.3,7365200,233.3
07-12-2016,231.5,231.5,226.5,227.2,8107500,227.2
06-12-2016,233,233,229.14999,230.2,4911300,230.2
05-12-2016,228.89999,233.2,227.45,232.55,5123000,232.55
02-12-2016,233,233,228,228.5,8371200,228.5
01-12-2016,232.8,235,231.05,233.5,5160000,233.5
30-11-2016,232,234.39999,229.14999,232.5,11081100,232.5
29-11-2016,233.05,235.64999,230.25,231.05,8613600,231.05
28-11-2016,228.39999,234.2,227.3,233.7,9120700,233.7
25-11-2016,224.5,230.45,223.05,228.8,7597500,228.8
24-11-2016,225,225.25,222.10001,223.5,18004000,223.5
23-11-2016,227.25,227.8,223.5,224.64999,10322900,224.64999
22-11-2016,225,228.10001,223.5,226.10001,9215300,226.10001
21-11-2016,228.2,228.60001,223.60001,224.2,7585800,224.2
18-11-2016,230,231.39999,227.10001,227.85001,8257400,227.85001
17-11-2016,228.45,234,228.39999,231.5,9283000,231.5
16-11-2016,237.95,239.10001,228.05,230.89999,30665800,230.89999
15-11-2016,241.95,246.89999,235.8,237.5,21196400,237.5
14-11-2016,242.95,242.95,242.95,242.95,0,242.95
11-11-2016,248,248.95,241,242.95,12741900,242.95
10-11-2016,252.85001,253,245.55,251.05,11567100,251.05
09-11-2016,239.14999,255,238.55,248.14999,23027300,248.14999
08-11-2016,256.5,257.39999,252.2,255.60001,9935300,255.60001
07-11-2016,253.8,259.64999,247,256.5,24268000,256.5
04-11-2016,251.5,256.39999,247.05,249.05,35263000,249.05
03-11-2016,237.05,242.3,236,240.3,8868900,240.3
02-11-2016,237,238.95,235.10001,237.3,4687300,237.3
01-11-2016,242.8,242.8,239.14999,239.95,5517900,239.95
31-10-2016,243.10001,243.10001,243.10001,243.10001,0,243.10001
28-10-2016,244.3,244.3,239.5,243.10001,9315600,243.10001
27-10-2016,241.2,244.8,239.64999,243.10001,15352500,243.10001
26-10-2016,239.85001,242.5,233.5,238.75,23931200,238.75
25-10-2016,242.89999,242.89999,238.14999,238.75,5948200,238.75
24-10-2016,241,242,239.7,241.35001,9575800,241.35001
21-10-2016,239,241.14999,238.75,240.14999,10592000,240.14999
20-10-2016,241,241.35001,238.10001,239.35001,4402600,239.35001
19-10-2016,245.64999,245.64999,238.39999,239.45,8410600,239.45
18-10-2016,241,246.55,240.3,245.95,11780700,245.95
17-10-2016,239.89999,241.75,238.5,240.60001,6143300,240.60001
14-10-2016,239,240.5,238.05,239.89999,9223800,239.89999
13-10-2016,240.10001,241.45,236.95,238.95,10678000,238.95
12-10-2016,240.10001,240.10001,240.10001,240.10001,0,240.10001
11-10-2016,240.10001,240.10001,240.10001,240.10001,0,240.10001
10-10-2016,242,242.60001,239.55,240.10001,5046800,240.10001
07-10-2016,237.89999,240.25,236.75,238.95,4010100,238.95
06-10-2016,242,242,235.64999,237.39999,8652800,237.39999
05-10-2016,241.8,243.25,239.2,240.2,6230500,240.2
04-10-2016,243,243.95,240.35001,241.2,7705900,241.2
03-10-2016,244.2,244.2,241.55,242.3,6465900,242.3
30-09-2016,245.64999,246.95,240.5,241.35001,9545100,241.35001
29-09-2016,248.10001,249.3,241,245.7,17433400,245.7
28-09-2016,246.3,249.39999,245.5,246.95,7362800,246.95
27-09-2016,248.64999,249.25,245,245.85001,6644800,245.85001
26-09-2016,253,253.25,247.5,248.05,9687000,248.05
23-09-2016,255,257,251.8,253.45,4952200,253.45
22-09-2016,255.45,257.20001,253.75,255.25,7692200,255.25
21-09-2016,256.70001,258.79999,253,253.64999,8800300,253.64999
20-09-2016,259.20001,259.25,255.25,256.95001,6686600,256.95001
19-09-2016,261.5,262.60001,258.25,258.85001,6474900,258.85001
16-09-2016,256,262.20001,255.39999,260.35001,14038100,260.35001
15-09-2016,252.5,257.89999,252.5,255.89999,7778200,255.89999
14-09-2016,251,253.10001,249.55,251.85001,12537600,251.85001
13-09-2016,252.25,252.25,252.25,252.25,0,252.25
12-09-2016,255.95,256.70001,251.75,252.25,7344200,252.25
09-09-2016,263,264.45001,257.04999,258.29999,9755900,258.29999
08-09-2016,263.5,265.54999,262.70001,264.89999,8324900,264.89999
07-09-2016,264,264.95001,262,262.79999,6409700,262.79999
06-09-2016,263,265.89999,261.10001,262.60001,9166800,262.60001
05-09-2016,262.89999,262.89999,262.89999,262.89999,0,262.89999
02-09-2016,262,263.70001,260.25,262.89999,9154300,262.89999
01-09-2016,261,263,259.10001,261,8373100,261
31-08-2016,258.29999,261.5,256.39999,260.04999,12773600,260.04999
30-08-2016,253.7,257.89999,253.05,257.29999,7692800,257.29999
29-08-2016,253,253.95,251.05,252.8,4272600,252.8
26-08-2016,253.35001,254.89999,252.05,253.8,4753300,253.8
25-08-2016,252.10001,255,250.25,253.45,9518200,253.45
24-08-2016,251.2,252,249.10001,250.25,5382800,250.25
23-08-2016,254.39999,255,250.3,251.39999,6446400,251.39999
