Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,6326.9,6380,6279.45,6352.55,22700,6329.55
23-03-2017,6316,6352.5,6281.2,6338.2,50700,6315.25
22-03-2017,6301,6356.6,6254.9,6341.6,30700,6318.64
21-03-2017,6300,6345.95,6255,6335.2,33500,6312.26
20-03-2017,6249,6300,6210,6296.8,32600,6274
17-03-2017,6155.05,6249,6145,6222.1,51300,6199.57
16-03-2017,6145,6160,6100,6150.4,44300,6128.13
15-03-2017,6150,6160.95,6089,6104.95,46600,6082.85
14-03-2017,6248,6248,6091.2,6119.4,28500,6097.24
13-03-2017,6131.75,6131.75,6131.75,6131.75,0,6109.55
10-03-2017,6269.9,6269.9,6110,6131.75,19900,6109.55
09-03-2017,6365,6365,6180,6210.8,24700,6188.31
08-03-2017,6306.15,6372.1,6262.85,6346.4,12500,6323.42
07-03-2017,6275.1,6384.15,6190,6319.05,85600,6296.17
06-03-2017,6165.1,6300,6165.1,6272.7,9900,6249.99
03-03-2017,6190.15,6235,6164.3,6189.55,31500,6167.14
02-03-2017,6260,6300,6148,6197.6,25500,6175.16
01-03-2017,6235.15,6324,6233,6250.4,9500,6227.77
28-02-2017,6343.4,6394.75,6230,6254.25,32500,6231.61
27-02-2017,6398.9,6420,6310,6339.7,14200,6316.75
24-02-2017,6381.85,6381.85,6381.85,6381.85,0,6358.74
23-02-2017,6375.05,6415,6306.6,6381.85,15000,6358.74
22-02-2017,6400,6430,6333.5,6397.8,15300,6374.64
21-02-2017,6279,6450,6221.2,6376.5,45900,6353.41
20-02-2017,6155,6290,6155,6284.1,38900,6261.35
17-02-2017,6201,6267,6125,6240.5,31400,6217.91
16-02-2017,6098,6250,5962.35,6207.8,66400,6185.32
15-02-2017,6193.1,6275.35,6141.1,6169.35,20200,6147.01
14-02-2017,6200.05,6205,6115.05,6193.1,16300,6170.68
13-02-2017,6160.05,6210,6160.05,6200.15,65600,6177.7
10-02-2017,6195,6200,6090.6,6178.2,35600,6155.83
09-02-2017,6138,6220,6138,6196.7,54500,6174.26
08-02-2017,6194.95,6210,6140,6193.1,34300,6170.68
07-02-2017,6300,6350,6075,6128.25,35200,6106.06
06-02-2017,6085,6346,6085,6305.5,30100,6282.67
03-02-2017,5999.8,6145,5971,6088.5,25600,6066.46
02-02-2017,5934,6030,5885,5994.3,28600,5972.6
01-02-2017,5898,5935,5834.75,5912.45,18500,5891.04
31-01-2017,5882,5920,5828,5851.85,227600,5830.66
30-01-2017,5966.2,5975,5880,5899.5,41900,5878.14
27-01-2017,5975,6005,5851,5914.2,35900,5892.79
26-01-2017,5965.95,5965.95,5965.95,5965.95,0,5944.35
25-01-2017,5979.95,5993,5920,5965.95,76000,5944.35
24-01-2017,5915.2,5999,5881.65,5957.75,18500,5936.18
23-01-2017,5854.05,5940.05,5854.05,5924.05,19800,5902.6
20-01-2017,5905,5910.1,5871,5899.8,229200,5878.44
19-01-2017,5918.25,5939,5886,5911.45,31500,5890.05
18-01-2017,5885.15,5950,5872,5918.25,44100,5896.82
17-01-2017,5882.95,5914.5,5851.05,5895.8,10300,5874.45
16-01-2017,5910.05,5915,5870.9,5883.45,5000,5862.15
13-01-2017,5877,5915,5859,5899.3,20600,5877.94
12-01-2017,5900,5935,5833,5855,50000,5833.8
11-01-2017,5912.1,5940,5877,5914.8,26100,5893.38
10-01-2017,5940,5945,5856.15,5905.75,13400,5884.37
09-01-2017,5960,5980,5891,5910.85,5200,5889.45
06-01-2017,5916.15,5959,5890,5929.85,10900,5908.38
05-01-2017,5939.9,5965,5830.05,5921.8,49900,5900.36
04-01-2017,6040,6049.85,5851,5890.15,44100,5868.82
03-01-2017,5975.1,6069.95,5975.1,6027.4,13900,6005.58
02-01-2017,6030,6081.05,5939.95,5974.4,16300,5952.77
30-12-2016,5959.95,6048.4,5902.05,6028.35,16600,6006.52
29-12-2016,5865,6029.95,5865,5974.3,36300,5952.67
28-12-2016,5869.95,5931.1,5840.3,5897.65,36500,5876.3
27-12-2016,5835,5913.95,5799,5877.55,25100,5856.27
26-12-2016,5810,5856,5750,5838,8200,5816.86
23-12-2016,5760,5935.05,5746,5803.6,53300,5782.59
22-12-2016,5849,5849,5750,5767.85,46800,5746.97
21-12-2016,5916,5949.55,5820,5846.45,53100,5825.28
20-12-2016,6050,6074,5900,5917.95,19700,5896.52
19-12-2016,6139,6139,5975,6030.75,28200,6008.92
16-12-2016,6223.3,6226.95,5912.05,6115.2,49700,6093.06
15-12-2016,6200,6270.95,6134.05,6176.75,23600,6154.39
14-12-2016,6333.4,6356,6190,6235.15,20000,6212.58
13-12-2016,6331,6339.9,6300,6329.55,29100,6306.63
12-12-2016,6306.3,6332.85,6264,6313.7,8100,6290.84
09-12-2016,6330,6392.7,6265,6352.35,15600,6329.35
08-12-2016,6285,6375,6281.1,6330.7,19200,6291.84
07-12-2016,6278.8,6336,6245,6281.95,16000,6243.39
06-12-2016,6244.5,6299.8,6190.75,6265.9,23600,6227.43
05-12-2016,6275,6365.4,6125,6229,21100,6190.76
02-12-2016,6272,6272,6211.35,6230.95,63000,6192.7
01-12-2016,6243,6325.95,6212.6,6284.05,39300,6245.47
30-11-2016,6290,6400,6252,6289.7,43800,6251.09
29-11-2016,6300,6519.8,6226.25,6289,79400,6250.39
28-11-2016,6158.25,6310,6124,6288.9,14500,6250.29
25-11-2016,6123.45,6200,6112.2,6159.25,63400,6121.44
24-11-2016,5867.5,6252.05,5867.5,6123.45,27000,6085.86
23-11-2016,5894,6000,5870,5915.85,134300,5879.53
22-11-2016,5899.6,5940.5,5850,5893.95,61400,5857.77
21-11-2016,5895,5947,5830,5868.05,28800,5832.03
18-11-2016,5960,5980,5851,5881.7,61100,5845.59
17-11-2016,6029,6029,5933,5958,61200,5921.43
16-11-2016,5999,6080.05,5950,5965.6,174300,5928.98
15-11-2016,6260,6294.9,5911.55,5957.65,106100,5921.08
14-11-2016,6255.25,6255.25,6255.25,6255.25,0,6216.85
11-11-2016,6488,6488,6163,6255.25,44200,6216.85
10-11-2016,6450,6543.3,6401,6420.1,19600,6380.69
09-11-2016,6139,6459.9,5656.05,6387.9,40300,6348.69
08-11-2016,6462,6508.95,6410,6451.7,12800,6412.09
07-11-2016,6660.1,6750,6355,6458.05,23500,6418.41
04-11-2016,6717.8,6776,6618,6654.05,17700,6613.2
