Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,4120,4194.9502,4106.5,4129.3501,51800,4129.3501
23-03-2017,4200,4200.1001,4110.9502,4148.5,79500,4148.5
22-03-2017,4025,4217,3966,4107.8501,140900,4107.8501
21-03-2017,3990,4089,3960,4057.45,109600,4057.45
20-03-2017,3970,3998,3942.3999,3965.8,46400,3965.8
17-03-2017,4050,4060,3950,3969.1001,114300,3969.1001
16-03-2017,3950.1001,4081.3,3950,4040.05,110500,4040.05
15-03-2017,3940,3978,3910.05,3938.6499,93600,3938.6499
14-03-2017,3900,3950,3840.7,3931.25,144300,3931.25
13-03-2017,3826.05,3826.05,3826.05,3826.05,0,3826.05
10-03-2017,3802.5,3844,3792.3501,3826.05,60000,3826.05
09-03-2017,3811,3847,3776,3804.8501,83600,3804.8501
08-03-2017,3805.1001,3862,3762.05,3832.05,72200,3832.05
07-03-2017,3839,3858,3781,3805.1001,72400,3805.1001
06-03-2017,3784,3849,3775,3817.7,81700,3817.7
03-03-2017,3846.7,3867.55,3740,3761.75,100300,3761.75
02-03-2017,3940,3959.95,3846.75,3875.5,88400,3875.5
01-03-2017,3969,4020,3895.95,3923.8501,121100,3923.8501
28-02-2017,3849.95,3980,3795.05,3914.1499,166700,3914.1499
27-02-2017,3847.2,3876,3752,3836.6001,107400,3836.6001
24-02-2017,3847.2,3847.2,3847.2,3847.2,0,3847.2
23-02-2017,3779,3907.95,3742.3999,3847.2,200300,3847.2
22-02-2017,3638,3775,3630.3999,3750.2,119500,3750.2
21-02-2017,3649.75,3649.75,3581.1499,3624.1001,60500,3624.1001
20-02-2017,3670,3715.3501,3622.8501,3641.75,42600,3641.75
17-02-2017,3675,3698.95,3651.6499,3685.5,45100,3685.5
16-02-2017,3628.3501,3679,3628.3501,3671.2,50700,3671.2
15-02-2017,3599,3690,3595,3628.3501,130700,3628.3501
14-02-2017,3639.8999,3654.7,3572.6001,3592.8999,71600,3592.8999
