Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,600.5,606,599.3,601.7,1599400,601.7
23-03-2017,587,601,586,599.45,1729400,599.45
22-03-2017,584,588.4,578.9,585.35,1356300,585.35
21-03-2017,591.6,593.1,582.2,589.25,1103000,589.25
20-03-2017,588.4,592.5,581.45,590.7,893900,590.7
17-03-2017,594.65,594.65,584.6,585.4,1832800,585.4
16-03-2017,590,594,589.5,592.9,1954600,592.9
15-03-2017,582.05,590,582.05,587,2598800,587
14-03-2017,574.9,581.9,567.3,580.2,2442200,580.2
13-03-2017,565.5,565.5,565.5,565.5,0,565.5
10-03-2017,569.3,570.5,560.45,565.5,1348300,565.5
09-03-2017,567.2,570.5,565.45,567.5,896700,567.5
08-03-2017,570.3,579,565.1,569.45,3174600,569.45
07-03-2017,568.5,573,564.45,568.9,1934700,568.9
06-03-2017,557,568.45,555.15,566.5,1608700,566.5
03-03-2017,552.5,556,550.3,554.9,1265800,554.9
02-03-2017,564,567.3,550.7,552.7,1384300,552.7
01-03-2017,563,567,560,561.1,904100,561.1
28-02-2017,568,568.45,559.55,560.8,1346500,560.8
27-02-2017,568,569.2,564.15,565.55,1373000,565.55
24-02-2017,565.7,565.7,565.7,565.7,0,565.7
23-02-2017,562.3,568.95,562.2,565.7,5321400,565.7
22-02-2017,558.5,563,554.6,559.5,1788000,559.5
21-02-2017,559,562.4,552.55,557.05,1952600,557.05
20-02-2017,556.5,562.4,553.5,559.25,1055700,559.25
17-02-2017,550.5,561.85,549.2,556.5,2476300,556.5
16-02-2017,550.3,553.65,544.5,549.15,2131300,549.15
15-02-2017,546.05,552,538.1,548.45,2578900,548.45
14-02-2017,556,556.05,543.15,546.05,1700700,546.05
13-02-2017,556.1,559.85,550,555.15,1240800,555.15
10-02-2017,561,563.75,552,554.1,1421000,554.1
09-02-2017,555,561,551.1,557.9,1082500,557.9
08-02-2017,557,560.7,550,554.95,2388100,554.95
07-02-2017,561,561.05,551.25,555,1721900,555
06-02-2017,561.7,563.95,553.4,561,1668800,561
03-02-2017,560.1,564.95,555.85,558.95,2225900,558.95
02-02-2017,572.9,573.55,557.55,559.95,2658500,559.95
01-02-2017,557,572.7,556.15,570.8,4237500,570.8
31-01-2017,561.75,568.5,551.1,553.55,2512900,553.55
30-01-2017,557.45,563,549.1,559.5,1459600,559.5
27-01-2017,548,563,546.1,557.75,4817400,557.75
26-01-2017,546.1,546.1,546.1,546.1,0,546.1
25-01-2017,529.5,548,528,546.1,4476800,546.1
24-01-2017,528.5,528.85,523.3,526.35,1297700,526.35
23-01-2017,516,526.55,513.05,525.7,2079400,525.7
20-01-2017,526,530.55,515,517.1,2526400,517.1
19-01-2017,531.7,532.5,525,525.95,2728000,525.95
18-01-2017,531.9,538,527.3,529.55,2775100,529.55
17-01-2017,545.35,548.6,529.05,531.9,6961000,531.9
16-01-2017,531.15,543.8,530.65,541.05,6422500,541.05
13-01-2017,528.95,534.2,522,530.55,3315400,530.55
12-01-2017,535.35,537,523.3,525.6,4378200,525.6
11-01-2017,524.2,533.85,523.05,532.85,4172500,532.85
10-01-2017,525.9,527.1,518.6,521.55,2355700,521.55
09-01-2017,526,530.75,522.95,524.4,1934700,524.4
06-01-2017,524.5,530.7,522.05,524.6,1736500,524.6
05-01-2017,519.05,525.8,516.8,523.1,2396000,523.1
