Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,482,482,472,474.15,2203300,474.15
23-03-2017,476.9,483.5,475.6,482.15,3259700,482.15
22-03-2017,477,479.5,472.85,475.4,2797500,475.4
21-03-2017,482,484.5,475.05,476.95,4422800,476.95
20-03-2017,483,491,480.1,481.9,3734200,481.9
17-03-2017,485.5,487.8,469.35,484.25,5857400,484.25
16-03-2017,482,483.85,478.5,481.1,4191300,481.1
15-03-2017,483.4,484.75,471.6,479.65,3941500,479.65
14-03-2017,482,485.9,476.2,479.85,4483100,479.85
13-03-2017,475.8,475.8,475.8,475.8,0,475.8
10-03-2017,493.5,497.3,474.5,475.8,3875700,475.8
09-03-2017,493,495.5,487.55,488.95,1752300,488.95
08-03-2017,499.5,503.1,488.1,491.9,1430400,491.9
07-03-2017,506,507.25,498.6,499.95,3221100,499.95
06-03-2017,499.8,505.75,494.6,499.95,1234100,499.95
03-03-2017,501.1,505.35,500,503.7,2136800,503.7
02-03-2017,503,505.05,497.3,499.9,2392400,499.9
01-03-2017,488.95,502.2,487.95,499.75,1979400,499.75
28-02-2017,506,509,488.45,499.4,31171400,499.4
27-02-2017,500.25,510.05,495,499.8,2250200,499.8
24-02-2017,503.65,503.65,503.65,503.65,0,503.65
23-02-2017,508,515,499.8,503.65,5868500,503.65
22-02-2017,508.5,511.4,503.6,507.95,3036400,507.95
21-02-2017,500,515.25,500,507.9,3268800,507.9
20-02-2017,503.55,507.4,497,499.95,2610900,499.95
17-02-2017,502.3,505,496,503.5,1688500,503.5
16-02-2017,494.05,505.5,494.05,504.5,2591400,504.5
15-02-2017,503.25,511.6,489.1,495.65,2584100,495.65
14-02-2017,501,508.55,500.35,504.6,2664700,504.6
13-02-2017,500,504.7,495.5,499.65,1903800,499.65
10-02-2017,490,503.5,486,499.9,7225400,499.9
09-02-2017,477.9,486.75,474.5,485,3013000,485
08-02-2017,470,483.75,468.8,474.6,1754200,474.6
07-02-2017,480,480,469.1,470.85,1794300,470.85
06-02-2017,481.05,488.6,471.2,477.5,2105300,477.5
03-02-2017,464.1,482,464.1,480.45,2677000,480.45
02-02-2017,449.7,465,440,461.1,3771000,461.1
01-02-2017,452.25,457,436.45,449.7,4061000,449.7
31-01-2017,484.7,484.7,425.5,452.2,7804600,452.2
30-01-2017,467,478,461.2,471.6,3024000,471.6
27-01-2017,465.4,470.6,463.2,467.1,1795000,467.1
26-01-2017,465.65,465.65,465.65,465.65,0,465.65
25-01-2017,470.25,473.75,462.2,465.65,3368700,465.65
24-01-2017,471.4,473.5,465.4,469.9,1255900,469.9
23-01-2017,465,471.8,460.8,469.7,1400600,469.7
20-01-2017,476,484,466,468.65,1442100,468.65
19-01-2017,480,485.25,477.45,481.4,1586500,481.4
18-01-2017,488,494.9,481.5,483.65,1336500,483.65
17-01-2017,488,495,484.7,486.75,1233800,486.75
16-01-2017,488.25,490.55,479,487.15,1258500,487.15
13-01-2017,484.2,492.9,481.9,488.5,2754700,488.5
12-01-2017,475,486.8,472.2,481.2,1970000,481.2
11-01-2017,473.3,478.45,469,474.05,2058600,474.05
10-01-2017,474.35,475,467.65,473.5,1634800,473.5
09-01-2017,465.05,477.9,462,473.45,1812400,473.45
06-01-2017,487.5,487.9,466.2,469.75,3307500,469.75
05-01-2017,505,507,485.95,488.1,2295800,488.1
04-01-2017,490,504.5,488.55,500.6,1989100,500.6
03-01-2017,488.7,495,487.2,491.55,1006500,491.55
02-01-2017,494.5,496.9,486.5,488,1203100,488
30-12-2016,482,493,482,488.9,1817100,488.9
29-12-2016,471.05,484.45,469.5,482.7,2079900,482.7
28-12-2016,469,477,469,474.15,1658300,474.15
27-12-2016,460.5,474,460.05,468.2,1061500,468.2
26-12-2016,463.25,468.05,460.4,463.6,572300,463.6
23-12-2016,474,477.45,465.25,467.1,942200,467.1
22-12-2016,472.3,477.2,464.55,473.95,932700,473.95
21-12-2016,478,479.6,472.5,474.45,667500,474.45
20-12-2016,476.9,480.75,473.65,476.75,1919700,476.75
19-12-2016,474,475.6,470.45,473.35,1389000,473.35
16-12-2016,481.4,482.1,475,477.15,2185700,477.15
15-12-2016,475.25,482,468.05,477.45,3292400,477.45
14-12-2016,484,487,473.35,476.65,1702300,476.65
13-12-2016,470,487.5,467.3,484.55,1863400,484.55
12-12-2016,473.95,474.05,466.7,469.4,709900,469.4
09-12-2016,467,474.95,465,471.7,2017000,471.7
08-12-2016,459.9,465.6,457.1,463.75,1158600,463.75
07-12-2016,468.85,470,453.75,455.6,1540200,455.6
06-12-2016,463,469.5,462.4,465.45,1073600,465.45
05-12-2016,467,476.6,459.35,462.4,1727400,462.4
02-12-2016,477,481.95,471,473.4,2450500,473.4
01-12-2016,480.05,485.2,471.4,475.05,2059500,475.05
30-11-2016,487.25,489.8,481.35,485.2,2604800,485.2
29-11-2016,489.4,494.4,481.3,483.85,2029100,483.85
28-11-2016,485.95,495.85,482.5,489.35,2279400,489.35
25-11-2016,461.9,489.5,461.15,487.25,4561900,487.25
24-11-2016,450.7,464.5,450.1,458.65,2574400,458.65
23-11-2016,457,458.95,448.05,453.1,1950800,453.1
22-11-2016,448,455,446.2,453.4,2409600,453.4
21-11-2016,445.9,452,440.9,447.15,2718900,447.15
18-11-2016,440,449,437.8,445.3,2041600,445.3
17-11-2016,447,455,439.5,441.85,2616300,441.85
16-11-2016,434,448,433,443.6,9156100,443.6
15-11-2016,435,437.2,427.3,430.95,6787200,430.95
14-11-2016,429.4,429.4,429.4,429.4,0,429.4
11-11-2016,440,440,428,429.4,1161600,429.4
10-11-2016,447.5,449.15,435,442.25,3301200,442.25
09-11-2016,419.9,444,409,434.5,4852400,434.5
08-11-2016,446.2,455.8,445.35,454.15,5501800,454.15
07-11-2016,435,449.45,430.55,444.85,7039200,444.85
04-11-2016,428,434.9,414.8,430.05,7835800,430.05
03-11-2016,431,432,424,428,2159000,428
02-11-2016,422.25,433.45,422.25,429.8,3387300,429.8
01-11-2016,436,436,429.55,433.55,4643900,433.55
31-10-2016,435.65,435.65,435.65,435.65,0,435.65
28-10-2016,429,444,429,435.65,12710300,435.65
27-10-2016,423,426.55,412.65,414.1,3706800,414.1
26-10-2016,434,435,421.95,423.05,2685900,423.05
25-10-2016,431,437.75,429.3,434.05,1684600,434.05
