Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,168,169.75,166.55,167.05,3308400,167.05
23-03-2017,166.5,168.85,164.8,167.95,4439300,167.95
22-03-2017,167.25,167.55,164.65,165.85,4539800,165.85
21-03-2017,171.5,172.1,168.3,168.95,5022900,168.95
20-03-2017,168.6,171.65,167.75,170.9,5754400,170.9
17-03-2017,169.9,171.75,166,168.65,8965400,168.65
16-03-2017,167.85,169.4,167.4,168.85,5652600,168.85
15-03-2017,162,167.85,161.4,166.9,10664800,166.9
14-03-2017,162.95,164.5,160.1,161.35,7921100,161.35
13-03-2017,158.1,158.1,158.1,158.1,0,158.1
10-03-2017,158.95,160.4,157.05,158.1,3360700,158.1
09-03-2017,157.05,159.65,156.4,157.5,2786800,157.5
08-03-2017,160,160.75,157,158.25,3101800,158.25
07-03-2017,162,164.35,159.45,160.15,7063200,160.15
06-03-2017,158.65,162.2,158.5,161.05,4805900,161.05
03-03-2017,156.95,160.4,155.8,158.15,6016300,158.15
02-03-2017,162,164.25,157.65,158.2,6401100,158.2
01-03-2017,163,164.3,159.6,160.25,7971400,160.25
28-02-2017,152.3,163.8,152.3,162.45,11035400,162.45
27-02-2017,153,154.9,151.85,152.8,2713200,152.8
24-02-2017,153.45,153.45,153.45,153.45,0,153.45
23-02-2017,154.25,155.75,152.5,153.45,9309700,153.45
22-02-2017,155.9,157.9,153.9,154.3,6055100,154.3
21-02-2017,154,156.7,153.1,154.6,3398400,154.6
20-02-2017,153,154.85,152.1,153.45,3444100,153.45
17-02-2017,150,154.4,149.55,153.35,6882800,153.35
16-02-2017,152,154.05,148.65,153.35,5689800,153.35
15-02-2017,157,157,151.25,152.1,5433500,152.1
14-02-2017,154.9,157.95,153.7,157.4,5628600,157.4
13-02-2017,158,158,152.1,155.15,4853900,154.35
10-02-2017,157.6,159.6,156.35,158,8535700,157.185
09-02-2017,156.3,158.85,152.7,157.2,12610800,156.389
08-02-2017,151.4,157.15,150,156.25,25137000,155.444
07-02-2017,145.2,155,140.3,152.1,45093100,151.316
06-02-2017,143.95,145.6,142.2,144.05,8314900,143.307
03-02-2017,140,142.95,139.5,142.7,7444600,141.964
02-02-2017,140.05,141,137.7,139,5345100,138.283
01-02-2017,137.7,140.7,135.7,139.9,8356700,139.179
31-01-2017,138,141.1,136.2,137.05,6697700,136.343
30-01-2017,139,139.8,137.45,138,4207900,137.288
27-01-2017,132.75,142.2,132.75,139.6,16301200,138.88
26-01-2017,131.9,131.9,131.9,131.9,0,131.22
25-01-2017,132.45,133,129.85,131.9,7756000,131.22
24-01-2017,128.7,132.4,128.7,131.75,7770900,131.071
23-01-2017,128.9,129.65,127,128.3,4019400,127.638
20-01-2017,131.8,132.95,128.5,129.05,3274100,128.385
