Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,896.5,898.15,883.1,886.55,367000,886.55
23-03-2017,888,898.85,885.8,895.5,494300,895.5
22-03-2017,884.7,888,875.5,884.3,377900,884.3
21-03-2017,887.95,892.05,875.4,889.3,1625200,889.3
20-03-2017,879.9,887,871.95,878.7,1042400,878.7
17-03-2017,902.85,903.65,877.8,884.25,908700,884.25
16-03-2017,905,906.2,891.2,896.15,498500,896.15
15-03-2017,920,927.65,892.35,899.45,1182000,899.45
14-03-2017,886.7,891.95,883.4,889.6,430200,889.6
13-03-2017,878.95,878.95,878.95,878.95,0,878.95
10-03-2017,892.35,892.4,876.7,878.95,390800,878.95
09-03-2017,900.5,901.15,883.2,885.7,264400,885.7
08-03-2017,905,910,891.25,893.85,370600,893.85
07-03-2017,910,912.05,895,900.4,329900,900.4
06-03-2017,912,917.35,904.85,910.4,345100,910.4
03-03-2017,905,914,900.6,908.2,481700,908.2
02-03-2017,934,944.1,901.6,905.6,497600,905.6
01-03-2017,925,936.75,925,929.45,246600,929.45
28-02-2017,930.2,942.55,922.15,925.5,358500,925.5
27-02-2017,935,942,931.25,935.05,323800,935.05
24-02-2017,933.45,933.45,933.45,933.45,0,933.45
23-02-2017,940,950,926.2,933.45,796200,933.45
22-02-2017,950,957.95,932,942.85,449000,942.85
21-02-2017,925,955,917,950,421800,950
20-02-2017,946,954.7,938.2,940.65,234600,940.65
17-02-2017,939.5,953.8,933.3,946.5,403000,946.5
16-02-2017,933.7,938,913,931.75,597300,931.75
15-02-2017,944.6,944.6,913.1,927.5,329000,927.5
14-02-2017,938.6,955.8,937.7,945.75,399700,945.75
13-02-2017,952.3,957.15,933.5,941.5,237300,941.5
10-02-2017,957.9,958.4,949.15,953.15,230600,953.15
09-02-2017,957.6,968,945,955.8,684900,955.8
08-02-2017,964,964,945.1,957.7,304600,957.7
07-02-2017,958.9,972.95,953.2,959.35,438500,959.35
06-02-2017,957,965.25,939.6,958.65,702600,958.65
03-02-2017,970,970,940.65,947.3,2365800,947.3
02-02-2017,904.95,923.8,899.55,909.05,858000,909.05
01-02-2017,890.25,903.7,880.5,898,368000,898
31-01-2017,918.25,919.85,891,893.85,325000,893.85
30-01-2017,901,924.7,901,917.2,464000,917.2
27-01-2017,870,905,870,898.55,374300,898.55
26-01-2017,874.2,874.2,874.2,874.2,0,874.2
25-01-2017,881.95,881.95,863,874.2,405000,874.2
24-01-2017,877.4,883.85,869.25,874.75,411700,874.75
23-01-2017,881.1,885.75,865.8,876.4,622400,876.4
20-01-2017,889,897.8,884,889.1,295900,889.1
19-01-2017,887.3,896.95,887.3,891.05,324000,891.05
18-01-2017,884.8,897,881,887.9,284900,887.9
17-01-2017,890,895,883.05,884.35,177000,884.35
16-01-2017,895.85,898.95,884.5,888.1,170600,888.1
13-01-2017,886,898,870,894.45,545000,894.45
12-01-2017,896.1,904.4,888.2,890.4,590400,890.4
11-01-2017,904.8,909.35,901.3,904.5,376300,904.5
10-01-2017,897,906.7,895.2,899.9,533400,899.9
09-01-2017,893.8,901.35,886.8,894.75,415800,894.75
06-01-2017,896,906,890,892.65,398900,892.65
05-01-2017,902.8,909,896,897.65,438300,897.65
04-01-2017,905,913.3,896.1,899,728000,899
03-01-2017,888.8,895.95,880.6,893.15,203500,893.15
02-01-2017,894,896.45,881.2,884,333600,884
30-12-2016,890,894.9,885,888.45,383900,888.45
29-12-2016,900,904,884.3,887.75,292700,887.75
28-12-2016,893.1,912.8,893.1,897.8,442300,897.8
27-12-2016,898.5,904.5,883.3,890.2,478900,890.2
26-12-2016,925,925,877,888.7,371400,888.7
23-12-2016,924.7,935.5,919.75,925.7,490400,925.7
22-12-2016,939.7,941.95,922.6,925.55,494300,925.55
21-12-2016,932.5,952.2,929.8,940.95,540900,940.95
20-12-2016,943.1,944.8,927.45,937.25,444600,937.25
19-12-2016,943.9,954.9,930.7,942.05,894300,942.05
16-12-2016,906.65,934,896.75,930,1005400,930
15-12-2016,904.8,913.75,887.65,905.6,211300,905.6
14-12-2016,912,918,906,909.85,279400,909.85
13-12-2016,924,924,906.7,913,384500,913
12-12-2016,914,924.8,901.8,914.3,734100,914.3
09-12-2016,893,907.4,878.5,903,438300,903
08-12-2016,877,895,868.55,892.05,335200,892.05
07-12-2016,872,877,862.2,871.1,314700,871.1
06-12-2016,877,886.75,867.25,870.35,381600,870.35
05-12-2016,862.05,874.7,852.05,871.55,559500,871.55
02-12-2016,876.55,876.6,859.3,861.85,390400,861.85
01-12-2016,884.75,889.8,872,876.4,447700,876.4
30-11-2016,888.2,894.5,873.1,875.6,704700,875.6
29-11-2016,906,906,881.55,886.4,624200,886.4
28-11-2016,903.7,917.3,899,903.1,391400,903.1
25-11-2016,892.75,910,882,906.55,616900,906.55
24-11-2016,900,908.95,881.8,889.3,525200,889.3
23-11-2016,885.1,909.45,881,903,507900,903
22-11-2016,884.35,894.95,872.65,883.4,645700,883.4
21-11-2016,908,908,872.2,884.7,591400,884.7
18-11-2016,883.8,908.8,870.5,901.4,415600,901.4
17-11-2016,871,888.95,865,883.95,268900,883.95
16-11-2016,884.8,894.5,863,870.4,398500,870.4
15-11-2016,884,903,860.5,870.3,500000,870.3
14-11-2016,882.3,882.3,882.3,882.3,0,882.3
11-11-2016,905,925,869.55,882.3,782300,882.3
10-11-2016,915,926.95,912.7,915.45,719800,915.45
09-11-2016,834.2,912.1,807,899.5,1221300,899.5
08-11-2016,899,907.3,884.4,896.4,670400,896.4
07-11-2016,893.5,909.95,885,897.1,804900,897.1
04-11-2016,908.45,908.45,851.3,869.15,1386200,869.15
03-11-2016,943.75,954.45,903.45,912.55,1131800,912.55
02-11-2016,958.9,960,933.65,941.2,738400,941.2
01-11-2016,940,994,935,965.25,1818800,965.25
31-10-2016,933.05,933.05,933.05,933.05,0,933.05
28-10-2016,908.5,948.85,906.05,933.05,1274000,933.05
27-10-2016,901.05,925,900,902.35,467300,902.35
26-10-2016,928,928.8,907,909.6,234200,909.6
25-10-2016,945,945,925.4,933.6,320400,933.6
24-10-2016,937,937,921.85,934.65,233000,934.65
21-10-2016,929.6,935.5,918.75,932.8,193000,932.8
20-10-2016,938,943.55,926,929.6,106400,929.6
19-10-2016,940,951.5,931.5,936.8,740700,936.8
18-10-2016,907.5,939.95,907.2,937.2,247700,937.2
17-10-2016,922,927.5,905.1,908.2,172100,908.2
14-10-2016,900.05,929.15,888.15,924.9,305700,924.9
13-10-2016,929,931,886,899.2,416600,899.2
12-10-2016,927.25,927.25,927.25,927.25,0,927.25
11-10-2016,927.25,927.25,927.25,927.25,0,927.25
10-10-2016,934,940.9,925.2,927.25,1228100,927.25
07-10-2016,920,932.75,917.2,929.95,389200,929.95
06-10-2016,932,944,906.8,923.6,509900,923.6
05-10-2016,941,945.95,925.2,930.55,354100,930.55
04-10-2016,930,945,930,939.8,476800,939.8
03-10-2016,925,937.9,922.8,927.25,729800,927.25
30-09-2016,906,926.55,898.55,923.45,442000,923.45
29-09-2016,955,956,879.55,905.75,1078800,905.75
28-09-2016,944,955.9,939.1,950.4,876700,950.4
27-09-2016,925.95,947.75,922.3,939.85,732000,939.85
26-09-2016,941.6,955.5,921,923.95,756600,923.95
23-09-2016,935,954,932,945.75,1216300,945.75
22-09-2016,911.15,933.45,908.05,930,969500,930
21-09-2016,909,911.9,897.35,901.15,348000,901.15
20-09-2016,921.7,922,901.5,904.6,481700,904.6
19-09-2016,919.95,929.9,907,920.55,881900,920.55
16-09-2016,894,922.55,891,913.35,1135800,913.35
15-09-2016,899,904.5,882.65,889.2,553500,889.2
14-09-2016,884,898.95,876.15,893.4,550800,893.4
13-09-2016,874.85,874.85,874.85,874.85,0,874.85
12-09-2016,889.7,904.4,871.55,874.85,755400,874.85
09-09-2016,907.75,914.7,890.15,896.7,717700,896.7
08-09-2016,880.5,904,879.35,901.75,983400,901.75
07-09-2016,846.5,882,843.15,876.6,959700,876.6
06-09-2016,845.5,850.7,833.6,845.9,381700,845.9
05-09-2016,838.6,838.6,838.6,838.6,0,838.6
02-09-2016,847,847,832.7,838.6,259100,838.6
01-09-2016,844,847,837.2,840.45,178200,840.45
31-08-2016,854.8,858.95,837.05,841.1,384500,841.1
30-08-2016,860.05,862.1,847.25,851.95,282700,851.95
29-08-2016,852,862,838,857.2,325100,857.2
26-08-2016,851,855.4,842.7,849.6,166100,849.6
25-08-2016,862.25,872,845,848.75,549400,848.75
24-08-2016,852,865,847,856.25,445500,856.25
23-08-2016,854.8,854.8,841,848.7,326000,848.7
22-08-2016,869,869,850.05,855.55,189100,855.55
19-08-2016,877.9,877.9,861.35,865.25,261000,865.25
18-08-2016,864,877.95,862.6,871.3,491300,871.3
17-08-2016,863.35,870,854.5,862.45,345500,862.45
16-08-2016,836.6,862.95,836.6,859.25,580200,859.25
15-08-2016,844.4,844.4,844.4,844.4,0,844.4
12-08-2016,834.9,870,827.3,844.4,2196400,844.4
11-08-2016,848,848,820.4,833.55,460700,833.55
10-08-2016,870,874.9,840.2,849.05,533700,849.05
09-08-2016,860,870.5,854.1,867.15,488300,867.15
08-08-2016,851.1,860.5,843.55,858.4,290100,858.4
05-08-2016,829,844.95,827.25,843,226700,843
04-08-2016,830,833.45,817.15,824.45,514000,824.45
03-08-2016,845,845,814.25,822.35,601800,822.35
02-08-2016,857.25,864.15,834.5,843.65,264900,841.65
01-08-2016,865.5,866.65,848.05,856.55,368200,854.5194
29-07-2016,857.85,864.75,851.25,860.95,452200,858.909
28-07-2016,846,857.75,840,851.45,441500,849.4315
27-07-2016,845,851.9,838,850.45,318500,848.4339
26-07-2016,868,868.95,836.5,843.1,390600,841.1013
25-07-2016,870.5,872,859.25,864.7,457300,862.6501
22-07-2016,851.6,870,842.7,863.15,578800,861.1038
21-07-2016,857,863.6,845,850.6,391100,848.5835
20-07-2016,852.4,857.9,845,852.7,1096100,850.6786
19-07-2016,827,837,825.15,832.1,297200,830.1274
18-07-2016,853,855.9,832,834.05,269700,832.0727
15-07-2016,852,858.45,846.75,852.25,483800,850.2296
14-07-2016,848,851.5,841.55,848.4,335700,846.3888
13-07-2016,839,848.7,833.2,844.95,559700,842.9469
12-07-2016,844.2,846.75,830.1,838.35,279300,836.3625
11-07-2016,844.35,848.05,837.2,845.85,773500,843.8448
08-07-2016,820.8,846,820.05,836,1056000,834.0181
07-07-2016,830,833.5,815.1,818.95,780400,817.0086
06-07-2016,824.9,824.9,824.9,824.9,0,822.9445
05-07-2016,825.5,832.95,821.25,824.9,1453900,822.9445
04-07-2016,816,822.5,808.05,820.15,444100,818.2057
01-07-2016,800,812,797.5,801.15,654100,799.2508
30-06-2016,795,805.95,793.6,799.05,1342600,797.1557
29-06-2016,787.5,798.95,787,792.3,640200,790.4217
28-06-2016,785,789.95,774,784.65,502600,782.7899
27-06-2016,774,782.9,763,781.3,322600,779.4478
24-06-2016,765,769.6,730,765.4,663100,763.5855
23-06-2016,778,782,772.6,775.5,165400,773.6616
22-06-2016,762,779.95,760.05,777.4,435600,775.5571
21-06-2016,771.95,771.95,760.1,762.3,285300,760.4928
20-06-2016,756.9,774.2,746.6,765.9,469500,764.0843
17-06-2016,775,779.7,746.3,759.45,826400,757.6496
16-06-2016,782,783.85,766.35,771.05,965700,769.2221
15-06-2016,770.4,784.6,770,780.9,489300,779.0488
14-06-2016,773,775.6,766.35,769.95,875900,768.1247
13-06-2016,769.95,775.8,763.05,770.85,429700,769.0226
10-06-2016,772.1,779.5,768,771.45,520600,769.6212
09-06-2016,770,776.4,765.55,770.1,558700,768.2743
08-06-2016,761.95,775,760.55,762.7,802800,760.8919
07-06-2016,783,784.9,758.4,761.95,1805400,760.1437
06-06-2016,805,805,779.9,781.85,978800,779.9965
03-06-2016,838.55,840.2,806.55,809.95,903900,808.0299
02-06-2016,845.9,845.9,831.85,834.65,295400,832.6714
01-06-2016,854,865.8,842,850,530800,847.9849
31-05-2016,880.7,880.75,848.25,851.15,699200,849.1322
30-05-2016,876.5,887.35,873.45,876,285900,873.9233
27-05-2016,869.8,892.7,868.15,875.5,753800,873.4245
26-05-2016,860.5,868.9,858.65,865.15,426400,863.0991
25-05-2016,863,873.95,855.75,861.65,701200,859.6073
24-05-2016,866,866,851.05,860.15,387600,858.1109
23-05-2016,864.05,869.3,850.85,858.15,819600,856.1156
20-05-2016,855.1,879.7,855.05,861.45,931400,859.4078
19-05-2016,855,866.7,850.55,854.1,465100,852.0752
18-05-2016,865,865,842.1,849.75,389800,847.7355
17-05-2016,875,877.5,854,859.6,444100,857.5622
16-05-2016,875.6,881,869.15,873.95,421100,871.8782
13-05-2016,868,884.9,863.25,868.65,1211800,866.5908
12-05-2016,860.55,868.75,855.5,858.65,541400,856.6145
11-05-2016,847,865,842.6,858,988200,855.966
10-05-2016,840,863.4,838.3,856.5,741400,854.4695
09-05-2016,822.5,839.9,815.15,835,409100,833.0205
06-05-2016,819,826.15,817.9,820.55,280800,818.6047
05-05-2016,820.8,824.9,810.6,816.25,539300,814.315
04-05-2016,817.5,826.25,814.5,819.95,347300,818.0062
03-05-2016,837.9,840,812,819.45,467000,817.5074
02-05-2016,830,835.9,825.5,829.25,325000,827.2841
29-04-2016,826,834,818.05,829.45,561300,827.4837
28-04-2016,826.95,831.6,814.35,818,375100,816.0608
27-04-2016,832.95,835,822.5,826.65,302100,824.6903
26-04-2016,840,845,826.3,829.5,625900,827.5335
25-04-2016,820,834.9,814.2,832.7,559400,830.726
22-04-2016,790,817,782.7,813.65,851600,811.7211
21-04-2016,797,802.4,758.6,784.05,2087900,782.1913
20-04-2016,793.5,809.4,787.15,792.75,636900,790.8707
19-04-2016,791.9,791.9,791.9,791.9,0,790.0227
18-04-2016,787,794.1,779,791.9,779800,790.0227
15-04-2016,780.3,780.3,780.3,780.3,0,778.4502
14-04-2016,780.3,780.3,780.3,780.3,0,778.4502
13-04-2016,792,798,772.5,780.3,545300,778.4502
12-04-2016,778.5,790,778,787,240300,785.1343
11-04-2016,770.45,780,766.4,778.5,214500,776.6544
08-04-2016,766,771.4,763,766.15,149000,764.3337
07-04-2016,770.5,782,762,764.6,507200,762.7874
06-04-2016,780,791.7,768.3,771.15,466200,769.3219
05-04-2016,800.2,802.5,783.05,788.75,305300,786.8801
04-04-2016,798,804.5,787.8,800.2,233400,798.303
01-04-2016,789.7,796.75,781.25,792.25,377500,790.3718
31-03-2016,776.9,798.7,776.9,795.05,844100,793.1652
30-03-2016,780,781,763.1,774.75,1240800,772.9133
29-03-2016,811.8,811.8,775.25,780.65,832100,778.7994
28-03-2016,830,834,805.3,815.05,323900,813.1178
25-03-2016,821.85,821.85,821.85,821.85,0,819.9017
24-03-2016,821.85,821.85,821.85,821.85,0,819.9017
23-03-2016,828,835,820,821.85,383100,819.9017
22-03-2016,814,825,809.5,821.15,362100,819.2034
