Date,Open,High,Low,Close,Volume,Adj Close
24-03-2017,92.2,92.6,90.4,90.9,28337300,90.9
23-03-2017,92.4,92.6,91.1,91.6,30108800,91.6
22-03-2017,90.55,93.75,89.5,91.3,54741700,91.3
21-03-2017,98,98.05,90.1,92.95,88600700,92.95
20-03-2017,109.9,123.5,92.35,97.7,200829600,97.7
17-03-2017,114,114,107,108.1,28804700,108.1
16-03-2017,113.35,115.2,111.3,112.95,36790400,112.95
15-03-2017,103.2,116.45,103.1,113.1,62998400,113.1
14-03-2017,107.95,107.95,101.7,103.05,23000900,103.05
13-03-2017,104.25,104.25,104.25,104.25,0,104.25
10-03-2017,104,106.9,103.5,104.25,13937600,104.25
09-03-2017,106.2,106.2,103,103.95,11865000,103.95
08-03-2017,108.35,108.95,105.3,106.2,12028300,106.2
07-03-2017,110,110.65,107.85,108.6,10601000,108.6
06-03-2017,110.85,111.85,107.55,109.75,13579100,109.75
03-03-2017,110,112.8,109.3,110.55,13211800,110.55
02-03-2017,113.45,114.25,108.15,109.6,20901600,109.6
01-03-2017,115,115.9,112,113.25,16706200,113.25
28-02-2017,110.3,117.15,109.1,115.85,54891900,115.85
27-02-2017,118.5,119,113.05,114.55,20145200,114.55
24-02-2017,119.6,119.6,119.6,119.6,0,119.6
23-02-2017,115.1,122.4,115.1,119.6,91523900,119.6
22-02-2017,108,114.35,107.15,112.6,24625300,112.6
21-02-2017,109,110.1,106.6,108.35,20247300,108.35
20-02-2017,111.3,111.75,107.45,108.45,23233200,108.45
17-02-2017,105.35,108,101.65,105.9,27497900,105.9
16-02-2017,107.25,109.3,106.15,107.85,7395000,107.85
15-02-2017,109.5,109.75,106.65,107.3,9781000,107.3
14-02-2017,107.3,112.2,105.8,109.9,20056200,109.9
13-02-2017,105,109,104.3,107.25,19169300,107.25
10-02-2017,111.65,111.8,109.7,110.45,11506800,110.45
09-02-2017,110.5,111,108.7,110.6,13644900,110.6
08-02-2017,107.5,111,107.1,109.55,30160100,109.55
07-02-2017,109,109.4,106.7,107.35,16396200,107.35
06-02-2017,111,111.3,106.55,108.4,27298700,108.4
03-02-2017,111.5,113.95,108.9,109.45,26502400,109.45
02-02-2017,106.95,114.8,105.1,109.8,63493100,109.8
01-02-2017,110.3,112,104.15,107.4,66753300,107.4
31-01-2017,101.2,119,97.8,110.1,283053000,110.1
30-01-2017,79.8,100.8,79.5,97.7,154863500,97.7
27-01-2017,76,78.25,75.65,78,7972300,78
26-01-2017,76.15,76.15,76.15,76.15,0,76.15
25-01-2017,75.45,76.9,73.75,76.15,24904000,76.15
24-01-2017,73.5,76.25,73.4,75.9,16981200,75.9
23-01-2017,71.4,73.65,70.4,73.35,16183300,73.35
20-01-2017,69.5,72.6,69.5,71.5,27427300,71.5
19-01-2017,67.3,69.85,66.85,69.35,21453800,69.35
18-01-2017,69.35,69.6,66.85,67.45,9667600,67.45
17-01-2017,69.95,70.25,68.9,69.25,5404700,69.25
16-01-2017,69.5,70.35,68.9,69.9,5485500,69.9
13-01-2017,72,72,66.3,68.8,26945200,68.8
12-01-2017,74.45,74.5,71.35,72.15,15143400,72.15
11-01-2017,74.7,75.45,74.25,74.6,2825500,74.6
10-01-2017,75,75,73.7,74.5,2250000,74.5
09-01-2017,73.45,74.5,73,74.1,2810400,74.1
06-01-2017,73.8,74.9,72.7,72.9,5192100,72.9
05-01-2017,74,75.2,73.4,74.8,5251100,74.8
04-01-2017,72.85,74.8,72.2,74.15,4840700,74.15
03-01-2017,74.9,75.45,72.85,73.4,4051100,73.4
02-01-2017,74.5,75.65,73.4,74.95,3312600,74.95
30-12-2016,73.1,74.55,72.15,74.15,6154900,74.15
29-12-2016,71.4,73.1,70.8,72.75,11121300,72.75
28-12-2016,70.05,72,70.05,71.4,7177300,71.4
27-12-2016,69.45,70.35,68.15,70,4907200,70
26-12-2016,71.45,71.45,69.1,69.4,3545500,69.4
23-12-2016,72,72,70.5,70.8,3829300,70.8
22-12-2016,72.3,72.65,71.1,71.5,4521700,71.5
21-12-2016,73.8,74.65,72,72.75,5324100,72.75
20-12-2016,76.65,76.65,73,73.25,8448500,73.25
19-12-2016,76,77.15,75.8,76.4,4973800,76.4
16-12-2016,77,77.2,75.25,76.2,5184600,76.2
15-12-2016,75.6,77.5,75.6,76.95,4585300,76.95
14-12-2016,76.95,77.85,75.95,77.15,6911400,77.15
13-12-2016,75.6,77.35,75.5,77.05,5589300,77.05
12-12-2016,76,76.55,74.5,75.6,6320900,75.6
09-12-2016,76.55,77.4,75.8,76.8,4396900,76.8
08-12-2016,76.05,77.05,75.8,76.65,4707600,76.65
07-12-2016,74.7,76.6,73.95,75.45,11419300,75.45
06-12-2016,72.65,74.65,72.65,74.4,5464100,74.4
05-12-2016,72.65,74.25,71.7,72.65,7542200,72.65
02-12-2016,71.05,74,71.05,73.45,12503600,73.45
01-12-2016,77.1,77.25,72,72.8,15678700,72.8
30-11-2016,79.6,79.9,76.6,77.45,11079100,77.45
29-11-2016,78.3,79.7,77.5,79.25,18331300,79.25
28-11-2016,73.5,76.4,73.35,75.8,7104100,75.8
25-11-2016,72,74,71.75,73.65,3677000,73.65
24-11-2016,71.9,72.95,71.1,71.45,8439100,71.45
23-11-2016,71.5,73.4,71,72.9,4517500,72.9
22-11-2016,71.4,71.95,70.45,70.95,9318200,70.95
21-11-2016,71.1,72.4,70.75,71.1,9381600,71.1
18-11-2016,70.6,71.8,69.3,71.1,4389400,71.1
17-11-2016,70,71.45,69.5,69.95,4351200,69.95
16-11-2016,72.8,72.8,69.6,70.55,6466400,70.55
15-11-2016,70.9,72.2,69.1,71.35,6970000,71.35
14-11-2016,69.95,69.95,69.95,69.95,0,69.95
11-11-2016,72.7,72.8,69.8,69.95,6117600,69.95
10-11-2016,72.9,74.45,72.6,73.05,4783800,73.05
09-11-2016,69,72.7,65.8,72.3,10839900,72.3
08-11-2016,72.95,73.7,71.75,73,5116800,73
07-11-2016,73.9,74.1,72.5,73.2,4510900,73.2
04-11-2016,73.8,74.45,71.6,72.15,6357900,72.15
03-11-2016,74,75.95,73.2,73.55,7406900,73.55
02-11-2016,76,76.2,74.05,74.3,5945700,74.3
01-11-2016,76.8,77.85,76.35,76.6,4494000,76.6
31-10-2016,76.2,76.2,76.2,76.2,0,76.2
28-10-2016,78,78.6,76,76.2,6669500,76.2
27-10-2016,78,79,76.2,77.5,19099200,77.5
26-10-2016,75.95,79.7,75.15,78.7,18478600,78.7
25-10-2016,74.05,76.95,74.05,75.3,20412100,75.3
24-10-2016,78.1,79.4,76.2,76.8,15832800,76.8
21-10-2016,78.3,80.6,77.4,80,9529000,80
20-10-2016,78.05,79.95,77.55,78.3,11699500,78.3
19-10-2016,72.65,78.2,72.55,76.3,9686600,76.3
18-10-2016,72.75,73.8,71.1,72.8,12077200,72.8
17-10-2016,75,75.35,72.05,72.25,7458900,72.25
14-10-2016,76.4,76.8,74.45,74.7,7388900,74.7
13-10-2016,79.75,80.05,75.7,76.05,11479700,76.05
12-10-2016,79.85,79.85,79.85,79.85,0,79.85
11-10-2016,79.85,79.85,79.85,79.85,0,79.85
10-10-2016,80.5,80.75,79.7,79.85,2035100,79.85
07-10-2016,80.55,80.55,79.55,80,4357900,80
06-10-2016,80.05,80.8,79.55,79.95,4704500,79.95
05-10-2016,82.3,82.6,79.5,79.95,10691600,79.95
04-10-2016,80.5,81.9,80.1,81.2,5319400,81.2
03-10-2016,80.1,81.4,79,81.1,6320600,81.1
30-09-2016,78,81.2,78,79.1,9836100,79.1
29-09-2016,82.95,83.1,78.5,79.8,13390600,79.8
28-09-2016,79.5,83.2,79.5,82.5,10044000,82.5
27-09-2016,79.9,80.5,79.15,79.55,9748400,79.55
26-09-2016,82.3,82.5,80,80.3,7827500,80.3
23-09-2016,83.4,83.5,82.1,82.5,5772800,82.5
22-09-2016,84.9,84.9,83,83.35,6186800,83.35
21-09-2016,84.3,84.7,83.8,84.45,5714000,84.45
20-09-2016,85.2,85.2,83.65,83.9,3768700,83.9
19-09-2016,84.3,85.7,84.3,84.85,3340200,84.85
16-09-2016,84.65,86.05,83.5,85.15,9389100,85.15
15-09-2016,83.6,85.1,83.05,84.5,6273100,84.5
14-09-2016,82.85,84.15,82.8,83.75,5343800,83.75
13-09-2016,82.8,82.8,82.8,82.8,0,82.8
12-09-2016,82.5,83.8,82.05,82.8,8544800,82.8
09-09-2016,84.5,85.15,83.45,83.6,6334800,83.6
08-09-2016,83.7,85.35,83.6,84.5,12383200,84.5
07-09-2016,83.65,84.85,83.25,83.7,13850600,83.7
06-09-2016,83.75,85.3,82.25,84.85,24026500,84.85
05-09-2016,84.45,84.45,84.45,84.45,0,84.45
02-09-2016,82.1,85.15,80.6,84.45,50448800,84.45
01-09-2016,93.1,93.7,83.1,83.65,62238700,83.65
31-08-2016,93.7,94.45,93.2,93.45,7054500,93.45
30-08-2016,94.95,95.2,93.3,93.8,5065900,93.8
29-08-2016,93.5,95.25,93.1,94.45,4411500,94.45
26-08-2016,95.15,95.7,93.2,93.95,6069700,93.95
25-08-2016,98.05,98.55,95.2,95.65,9490900,95.65
24-08-2016,98.6,98.9,97,98.35,14394800,98.35
23-08-2016,95,102,94.55,101,26221400,101
22-08-2016,95,95,93.5,94.5,5088000,94.5
19-08-2016,93.9,94.2,93.1,93.6,4599400,93.6
18-08-2016,94.05,94.55,93.45,93.65,4512300,93.65
17-08-2016,95,95.3,92.9,93.25,9323600,93.25
16-08-2016,94.8,95,92.95,94.75,7629100,94.75
15-08-2016,93.95,93.95,93.95,93.95,0,93.95
12-08-2016,96,96,93.15,93.95,10140200,93.95
11-08-2016,93.5,96.2,93.2,95.45,15064100,95.45
10-08-2016,96.95,98,92.5,92.95,14646700,92.95
09-08-2016,98,99.5,96.75,97.15,28022900,97.15
08-08-2016,106.2,106.25,102.5,103.1,10388800,103.1
05-08-2016,105.5,107,105,106.2,2739400,106.2
04-08-2016,105.25,105.8,103.45,105.5,3439400,105.5
03-08-2016,105,105.9,103.55,104.6,3480600,104.6
02-08-2016,104.1,105.35,102.3,103.95,6967000,103.95
01-08-2016,105.05,105.7,103.2,103.9,2678300,103.9
29-07-2016,104.8,105.9,104,104.7,3868500,104.7
28-07-2016,107.65,108.2,104.5,105.05,5858200,105.05
27-07-2016,108,109,105.2,106.3,4545400,106.3
26-07-2016,107.25,109.2,106.85,107.95,4193300,107.95
25-07-2016,106.9,107.75,106.05,107.4,3762400,107.4
22-07-2016,105.3,107.5,105.2,106.7,2870900,106.7
21-07-2016,105.6,106.45,105,105.45,3435300,105.45
20-07-2016,106.4,107.35,105,105.35,4013600,105.35
19-07-2016,104.7,106.75,102.8,106.3,7649100,106.3
18-07-2016,112.25,112.65,102.6,103.85,14281400,103.85
15-07-2016,108,111.65,107.95,111.1,10279100,111.1
14-07-2016,106.75,108.25,106,107.6,4891500,107.6
13-07-2016,104.5,107.2,104.05,106.6,6386400,106.6
12-07-2016,103.55,104.5,102.6,104.3,3416300,104.3
11-07-2016,103.9,103.9,102.8,103.3,2178000,103.3
08-07-2016,104,104.2,100.5,102,5968200,102
07-07-2016,105.5,106.45,104.4,104.75,3370900,104.75
06-07-2016,105.3,105.3,105.3,105.3,0,105.3
05-07-2016,106.5,106.5,104.8,105.3,4205000,105.3
04-07-2016,105.5,107.8,105.5,106.3,7458700,106.3
01-07-2016,107,107.45,105.7,106.05,5353000,106.05
30-06-2016,106,108.15,105.25,106.6,42462100,106.6
29-06-2016,105.75,105.75,104.4,105,7655400,105
28-06-2016,101.35,105.15,100.7,104.35,15006500,104.35
27-06-2016,100.7,101.1,99.7,100.35,5395600,100.35
24-06-2016,99.4,100,96.55,99.55,6302700,99.55
23-06-2016,102,102.3,101.3,101.6,3787100,101.6
22-06-2016,101.95,102.8,101.15,101.5,4021900,101.5
21-06-2016,103,103.45,102,102.2,3347800,102.2
20-06-2016,100.5,103.55,100.25,103,7223100,103
17-06-2016,100.65,101.6,99.85,101.2,4974500,101.2
16-06-2016,100.6,101.1,99.5,100,5238100,100
15-06-2016,100.1,102.15,100.1,100.5,6559000,100.5
14-06-2016,99.5,100.7,98.55,99.75,8515600,99.75
13-06-2016,102.25,102.9,99.45,99.85,10962300,99.85
10-06-2016,104.3,105.35,103.15,103.5,5493400,103.5
09-06-2016,105.4,105.6,104.15,104.9,5042600,104.9
08-06-2016,106.5,106.85,104.65,105.1,7603000,105.1
07-06-2016,106.5,106.9,104.8,105.35,8311500,105.35
06-06-2016,105.9,106.5,104,106,12669500,106
03-06-2016,113.3,114.3,104.2,105.45,209414900,105.45
02-06-2016,115.5,121.8,115.5,118.55,7531300,118.55
01-06-2016,115.75,118.25,114.45,117.75,4208300,117.75
31-05-2016,114.45,116.2,111.7,114.95,12823700,114.95
30-05-2016,112.8,117.35,112,113.45,4894800,113.45
27-05-2016,113.9,115.4,112,113,4327300,113
26-05-2016,110,114.8,110,113.8,7679500,113.8
25-05-2016,105.3,110.6,105.3,109.55,5384100,109.55
24-05-2016,110,110.9,105.35,107.4,6318700,107.4
23-05-2016,109.75,111,108.65,110.2,3785000,110.2
20-05-2016,108,111.4,107.45,109.15,4363200,109.15
19-05-2016,110.6,110.95,106.75,107.55,3256000,107.55
18-05-2016,110.5,111.25,109.35,110.5,2842200,110.5
17-05-2016,112.8,114.65,110.75,111.2,4272100,111.2
16-05-2016,113.85,114.05,110.5,112.1,2739600,112.1
13-05-2016,112.45,114.4,111.95,113.55,4810800,113.55
12-05-2016,111.8,113.25,111.2,111.95,2993600,111.95
11-05-2016,112.3,117.45,109.8,110.8,11957300,110.8
10-05-2016,114.1,114.5,112.25,112.75,3248800,112.75
09-05-2016,114.5,115.45,112.5,113.45,3561400,113.45
06-05-2016,113,114.8,112.05,114.2,4157200,114.2
05-05-2016,120.8,120.95,111.6,113.5,6199000,113.5
04-05-2016,118.55,121.05,117.35,119.85,2419600,119.85
03-05-2016,118,121.25,117,119.9,3611000,119.9
02-05-2016,118,119.7,116.1,117.7,3489000,117.7
29-04-2016,122.5,124.8,115.3,118.55,14291300,118.55
28-04-2016,125.05,128.35,125.05,126.5,8621900,126.5
27-04-2016,123.5,127.6,123.05,125,5653100,125
26-04-2016,118.1,124.4,118.1,123.75,6112700,123.75
25-04-2016,117.45,119.15,117,118.15,2909000,118.15
22-04-2016,115.1,118.5,115,117.65,2569400,117.65
21-04-2016,116.75,118.65,115.7,117,3535200,117
20-04-2016,121,121.45,116.6,116.9,5379800,116.9
19-04-2016,120.7,120.7,120.7,120.7,0,120.7
18-04-2016,115.2,122,115.2,120.7,7575600,120.7
15-04-2016,114.65,114.65,114.65,114.65,0,114.65
14-04-2016,114.65,114.65,114.65,114.65,0,114.65
13-04-2016,114.9,116.7,113.6,114.65,6911400,114.65
12-04-2016,116,116.8,112.3,113.05,4362900,113.05
11-04-2016,109.6,115.5,108.75,115.2,4961700,115.2
08-04-2016,109.4,110,107.25,109.05,1779600,109.05
07-04-2016,111.8,111.8,108.85,109.35,1656500,109.35
06-04-2016,109.4,113.5,109.35,111.1,3286800,111.1
05-04-2016,113.5,113.5,108.75,109.4,4505800,109.4
04-04-2016,107.3,114.3,107.3,113.45,7192900,113.45
01-04-2016,110.5,110.8,106.4,107.1,4306700,107.1
31-03-2016,108.5,115.1,107.75,110.2,10301600,110.2
30-03-2016,108.65,110.45,106.75,109.2,4376700,109.2
29-03-2016,105.6,108.4,105.4,107.35,3830300,107.35
28-03-2016,105.5,106.35,103.5,105.35,5280200,105.35
25-03-2016,104.95,104.95,104.95,104.95,0,104.95
24-03-2016,104.95,104.95,104.95,104.95,0,104.95
23-03-2016,102.5,106.5,102,104.95,9142800,104.95
22-03-2016,102.5,102.95,101.5,102.05,5035300,102.05
21-03-2016,102.2,103,101.55,102.05,4141500,102.05
18-03-2016,102.4,103.5,101.2,102.05,6464600,102.05
17-03-2016,99.25,101.5,98.75,100.5,8949400,100.5
16-03-2016,99.25,99.55,98.05,98.4,3697300,98.4
15-03-2016,101.2,101.5,98.8,99.1,4384900,99.1
14-03-2016,103,103.45,101.1,101.3,3130800,101.3
11-03-2016,103.6,105.95,101.3,102.2,3564600,102.2
10-03-2016,107,107.05,104,104.65,3580600,104.65
09-03-2016,105.9,107.25,103.6,106.1,1909500,106.1
08-03-2016,106,107.1,104.65,105.9,8377200,105.9
07-03-2016,105.65,105.65,105.65,105.65,0,105.65
