SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
3IINFOTECH,3i Infotech Limited,EQ,22-APR-2005,10,1,INE748C01020,10
8KMILES,8K Miles Software Services Limited,EQ,29-JAN-2014,5,1,INE650K01021,5
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,EQ,23-DEC-2010,10,1,INE619I01012,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
ABAN,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
ABGSHIP,ABG Shipyard Limited,BZ,11-APR-2007,10,1,INE067H01016,10
ABIRLANUVO,Aditya Birla Nuvo Limited,EQ,13-SEP-1995,10,1,INE069A01017,10
ABMINTLTD,ABM International Limited,BE,14-JUN-2016,10,1,INE251C01017,10
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACCELYA,Accelya Kale Solutions Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
ADANITRANS,Adani Transmission Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,10,1,INE982B01019,10
ADHUNIK,Adhunik Metaliks Limited,EQ,05-APR-2006,10,1,INE400H01019,10
ADHUNIKIND,Adhunik Industries Limited,EQ,01-JUL-2016,10,1,INE452L01012,10
ADLABS,Adlabs Entertainment Limited,EQ,06-APR-2015,10,1,INE172N01012,10
ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
ADSL,Allied Digital Services Limited,BE,25-JUL-2007,5,1,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,10,1,INE837H01012,10
AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
AFL,Accel Frontline Limited,EQ,30-OCT-2006,10,1,INE020G01017,10
AGARIND,Agarwal Industrial Corporation Limited,BE,26-MAY-2014,10,1,INE204E01012,10
AGCNET,AGC Networks Limited,EQ,22-JUL-2003,10,1,INE676A01019,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10
