Ticker,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Net Income Avl to Common ,Annualized Return,output
SUMEETINDS,133.76,5.2,0.14,0.67,2.62,6.31,,,248.36,1960000000,5520000000,,,0.38,4.96,14430000000,1280000000,1110000000,6.51,75.2,18.7,366010000,6.3,3920000000,,50.45,,378230000,0.0778613431,0
SUMMITSEC,2.02,11.69,10.96,1.12,93.72,94.85,6.26,10.09,49,5860000000,5870000000,,,10.99,11.58,534220000,506830000,506830000,45.92,,,65970000,6.05,81290000,4.26,478.74,483640000,500670000,-0.1108189753,0
SUNCLAYLTD,,30.26,0.58,5.26,1.93,5.02,6.9,22.03,227.77,73390000000,73690000000,,,0.58,8.31,227.77,40010000000,8870000000,120.35,,,,,,0.87,693.02,9600000000,2440000000,0.0740560937,0
SUNDARAM,83.01,6.81,0.68,0.73,-8.85,8.88,2.68,-9.87,4.57,668430000,1430000000,,,1.46,11.26,985280000,127350000,127350000,0.4,-80.8,9.5,20470000,0.09,861360000,1.03,3.79,217530000,-87180000,0.0803821081,0
SUNDARMFIN,,30.76,5.67,4.28,18.52,28.96,2.46,14.78,283.38,178550000000,179400000000,,,5.7,,31480000000,,,52.49,,,,,,1.08,377.54,3100000000,5830000000,-0.122983189,0
SUNDRMBRAK,61.74,41.57,0.49,2.27,1.69,2.09,,,584.11,1120000000,2020000000,,,0.88,21.61,2290000000,1110000000,93360000,9.89,,-10.6,45050000,11.42,440860000,,181.54,,38870000,0.0689336268,0
SUNDRMFAST,,65.98,2.49,8.72,3.77,8.36,7.48,13.34,155.19,81180000000,81110000000,,,2.49,21.12,32610000000,18520000000,3840000000,5.85,,,,,,1.11,44.26,5930000000,1230000000,-0.0767900614,0
SUNFLAG,40.96,11.95,0.4,1.04,3.34,8.3,6.74,9.06,92.19,6610000000,8580000000,,,0.52,4.52,16610000000,4500000000,1900000000,3.08,,,678900000,3.77,2620000000,1.55,35.46,2440000000,555800000,0.1502567311,0
SUNILHITEC,62.25,7.37,0.22,0.88,2.64,8.59,6.22,12.29,60.65,4460000000,4430000000,,,0.22,2.12,20210000000,3390000000,2090000000,1.6,,,689610000,1.99,1030000000,1.26,13.47,937110000,534020000,-0.0751754737,0
SUNPHARMA,20.53,22.56,5.19,4.51,22.96,31.55,,,132.87,1660000000000,1600000000000,,,5.02,14.6,319190000000,213880000000,109690000000,30.5,3.9,12.3,141730000000,58.74,82950000000,,152.69,,73270000000,-0.0226130674,0
SUNTECK,59.19,7.13,1.58,1.29,22.17,33.49,,,240.15,22820000000,32430000000,8.17,0.03,2.25,6.69,14400000000,2910000000,4850000000,53.23,331.2,80.9,1120000000,18.69,10790000000,,293.35,,3190000000,0.3644385315,1
SUNTV,24.03,34.11,12.11,8.84,35.52,49.68,20.38,25.53,65.26,311320000000,311330000000,26.55,1.78,12.11,22.71,25720000000,19730000000,13710000000,23.18,,,975800000,2.48,720600000,9.73,89.48,13250000000,9130000000,-0.0148823105,0
